Massachusetts, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,21.4,1.8
189612,16.2,-3.4
189712,21.7,2.1
189812,18.3,-1.3
189912,22.3,2.7
190012,18.8,-0.8
190112,17.8,-1.8
190212,14.2,-5.4
190312,13.5,-6.1
190412,11,-8.6
190512,21,1.4
190612,15.7,-3.9
190712,22.9,3.3
190812,18.6,-1.0
190912,17.4,-2.2
191012,12.8,-6.8
191112,25.3,5.7
191212,24.3,4.7
191312,23.3,3.7
191412,16.6,-3.0
191512,19.7,0.1
191612,19.6,0.0
191712,9.5,-10.1
191812,21.3,1.7
191912,14.1,-5.5
192012,22.9,3.3
192112,17,-2.6
192212,16.7,-2.9
192312,26.4,6.8
192412,16.5,-3.1
192512,21.1,1.5
192612,12.6,-7.0
192712,21.9,2.3
192812,23.4,3.8
192912,19.9,0.3
193012,20.6,1.0
193112,23.1,3.5
193212,21.5,1.9
193312,13.9,-5.7
193412,17.3,-2.3
193512,16.9,-2.7
193612,22.6,3.0
193712,19,-0.6
193812,21.7,2.1
193912,20.3,0.7
194012,21,1.4
194112,22.2,2.6
194212,16,-3.6
194312,14.1,-5.5
194412,16.4,-3.2
194512,14.4,-5.2
194612,20.1,0.5
194712,16,-3.6
194812,22.6,3.0
194912,21.7,2.1
195012,21.5,1.9
195112,20.2,0.6
195212,23.4,3.8
195312,25.6,6.0
195412,21.5,1.9
195512,13.6,-6.0
195612,23.7,4.1
195712,26.4,6.8
195812,11.3,-8.3
195912,23.5,3.9
196012,12.4,-7.2
196112,20.8,1.2
196212,14.4,-5.2
196312,13.2,-6.4
196412,20.9,1.3
196512,22.2,2.6
196612,20.3,0.7
196712,21.2,1.6
196812,17.3,-2.3
196912,19.3,-0.3
197012,16.8,-2.8
197112,21.9,2.3
197212,23.3,3.7
197312,23.9,4.3
197412,23.4,3.8
197512,19.2,-0.4
197612,12.3,-7.3
197712,18.9,-0.7
197812,20.2,0.6
197912,24,4.4
198012,12.7,-6.9
198112,21,1.4
198212,26.1,6.5
198312,18.8,-0.8
198412,25.6,6.0
198512,17.3,-2.3
198612,23.6,4.0
198712,23.7,4.1
198812,17.9,-1.7
198912,6.2,-13.4
199012,25.9,6.3
199112,21.8,2.2
199212,21.8,2.2
199312,21.4,1.8
199412,24.9,5.3
199512,17.4,-2.2
199612,28,8.4
199712,22.6,3.0
199812,26,6.4
199912,24.3,4.7
200012,16,-3.6
200112,27.2,7.6
200212,19.9,0.3
200312,22.8,3.2
200412,21.2,1.6
200512,19.6,0.0
200612,28.4,8.8
200712,20.8,1.2
200812,22.5,2.9
200912,20.9,1.3
201012,20.1,0.5
201112,26.6,7.0
201212,27.4,7.8
201312,21.1,1.5
201412,28.2,8.6
201512,34.2,14.6
