Kentucky, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,63.2,-1.6
189607,66.1,1.3
189707,65.9,1.1
189807,66.1,1.3
189907,63.8,-1.0
190007,66,1.2
190107,68,3.2
190207,65.1,0.3
190307,65.1,0.3
190407,62.6,-2.2
190507,64.7,-0.1
190607,63.7,-1.1
190707,65.5,0.7
190807,64.7,-0.1
190907,63.9,-0.9
191007,66.2,1.4
191107,63.2,-1.6
191207,66.2,1.4
191307,67,2.2
191407,64.5,-0.3
191507,64,-0.8
191607,67,2.2
191707,64.2,-0.6
191807,60.8,-4.0
191907,65.6,0.8
192007,62.2,-2.6
192107,67,2.2
192207,64.1,-0.7
192307,63.9,-0.9
192407,61.2,-3.6
192507,63.6,-1.2
192607,64,-0.8
192707,62.7,-2.1
192807,65.1,0.3
192907,64.3,-0.5
193007,65.3,0.5
193107,66.8,2.0
193207,65.4,0.6
193307,64.6,-0.2
193407,68.8,4.0
193507,66.8,2.0
193607,67.9,3.1
193707,62.8,-2.0
193807,65.7,0.9
193907,64.6,-0.2
194007,63.8,-1.0
194107,66.3,1.5
194207,66.3,1.5
194307,66.1,1.3
194407,62.5,-2.3
194507,62.9,-1.9
194607,64.5,-0.3
194707,59.7,-5.1
194807,65.2,0.4
194907,68.6,3.8
195007,62.4,-2.4
195107,64.5,-0.3
195207,65.6,0.8
195307,64.5,-0.3
195407,65.1,0.3
195507,68.2,3.4
195607,64.5,-0.3
195707,63.8,-1.0
195807,66.6,1.8
195907,64.2,-0.6
196007,63.2,-1.6
196107,63.8,-1.0
196207,63.2,-1.6
196307,62.5,-2.3
196407,63.8,-1.0
196507,63.2,-1.6
196607,65.5,0.7
196707,61.4,-3.4
196807,63.6,-1.2
196907,66.7,1.9
197007,62.6,-2.2
197107,62.9,-1.9
197207,63.9,-0.9
197307,65.2,0.4
197407,63.3,-1.5
197507,63.1,-1.7
197607,61.8,-3.0
197707,66.7,1.9
197807,65.1,0.3
197907,64.6,-0.2
198007,66.8,2.0
198107,66.5,1.7
198207,66,1.2
198307,66.1,1.3
198407,61.9,-2.9
198507,64.5,-0.3
198607,67.4,2.6
198707,65.5,0.7
198807,65.1,0.3
198907,65.5,0.7
199007,63.9,-0.9
199107,66.5,1.7
199207,66.1,1.3
199307,68.2,3.4
199407,65.5,0.7
199507,65.4,0.6
199607,63.2,-1.6
199707,64.7,-0.1
199807,66.5,1.7
199907,68.1,3.3
200007,63.7,-1.1
200107,65,0.2
200207,67.8,3.0
200307,64.9,0.1
200407,64.2,-0.6
200507,67.4,2.6
200607,65.7,0.9
200707,63.1,-1.7
200807,63.5,-1.3
200907,62,-2.8
201007,67.6,2.8
201107,69.1,4.3
201207,68.9,4.1
201307,64.3,-0.5
201407,61.3,-3.5
201507,67.2,2.4
