Massachusetts, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,33,-1.0
189604,34.4,0.4
189704,34.1,0.1
189804,32.1,-1.9
189904,32.4,-1.6
190004,33.6,-0.4
190104,35.5,1.5
190204,35,1.0
190304,34,0.0
190404,31.6,-2.4
190504,32.9,-1.1
190604,33,-1.0
190704,30.2,-3.8
190804,32.3,-1.7
190904,32.9,-1.1
191004,37.2,3.2
191104,30,-4.0
191204,33.6,-0.4
191304,35.5,1.5
191404,31.4,-2.6
191504,36.5,2.5
191604,33,-1.0
191704,32,-2.0
191804,32.7,-1.3
191904,33.4,-0.6
192004,31.9,-2.1
192104,37.9,3.9
192204,33.4,-0.6
192304,32.5,-1.5
192404,32.3,-1.7
192504,34.2,0.2
192604,29.6,-4.4
192704,31.9,-2.1
192804,31.5,-2.5
192904,34.6,0.6
193004,31.9,-2.1
193104,34.6,0.6
193204,32.3,-1.7
193304,34.4,0.4
193404,33.8,-0.2
193504,34,0.0
193604,33.1,-0.9
193704,32.8,-1.2
193804,35.2,1.2
193904,31.5,-2.5
194004,31,-3.0
194104,36.4,2.4
194204,35.7,1.7
194304,29.2,-4.8
194404,31.2,-2.8
194504,38.5,4.5
194604,32.7,-1.3
194704,33.1,-0.9
194804,34,0.0
194904,36.1,2.1
195004,32.2,-1.8
195104,36.4,2.4
195204,37.5,3.5
195304,37.2,3.2
195404,35.4,1.4
195504,36.7,2.7
195604,31.2,-2.8
195704,35.9,1.9
195804,35.7,1.7
195904,35,1.0
196004,36,2.0
196104,33.5,-0.5
196204,34,0.0
196304,32.4,-1.6
196404,33.1,-0.9
196504,31.4,-2.6
196604,31.3,-2.7
196704,32.1,-1.9
196804,35.6,1.6
196904,35.5,1.5
197004,33.6,-0.4
197104,31.4,-2.6
197204,29.8,-4.2
197304,37.3,3.3
197404,36,2.0
197504,30.5,-3.5
197604,37.3,3.3
197704,34.4,0.4
197804,32.8,-1.2
197904,34.9,0.9
198004,36.4,2.4
198104,37,3.0
198204,31.4,-2.6
198304,36.4,2.4
198404,35,1.0
198504,35.6,1.6
198604,36.9,2.9
198704,36.7,2.7
198804,35.5,1.5
198904,32.1,-1.9
199004,35.4,1.4
199104,37,3.0
199204,32.7,-1.3
199304,35.5,1.5
199404,35.7,1.7
199504,32.3,-1.7
199604,35.2,1.2
199704,32.7,-1.3
199804,35.9,1.9
199904,34.8,0.8
200004,35.9,1.9
200104,34.2,0.2
200204,37.3,3.3
200304,32.9,-1.1
200404,36.3,2.3
200504,35.6,1.6
200604,35.7,1.7
200704,33.8,-0.2
200804,35.6,1.6
200904,37,3.0
201004,38.5,4.5
201104,37.9,3.9
201204,36.8,2.8
201304,34.9,0.9
201404,34.6,0.6
201504,34.7,0.7
