Idaho, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,29,-0.2
189604,27.7,-1.5
189704,30,0.8
189804,29.9,0.7
189904,27.9,-1.3
190004,32.2,3.0
190104,27.1,-2.1
190204,28.7,-0.5
190304,27.9,-1.3
190404,29.1,-0.1
190504,30.7,1.5
190604,30.7,1.5
190704,30.1,0.9
190804,29.6,0.4
190904,25.6,-3.6
191004,32.5,3.3
191104,27.1,-2.1
191204,29.1,-0.1
191304,29.3,0.1
191404,31.5,2.3
191504,33.8,4.6
191604,29.8,0.6
191704,27.2,-2.0
191804,26.8,-2.4
191904,30.3,1.1
192004,27.2,-2.0
192104,28,-1.2
192204,25.4,-3.8
192304,28.6,-0.6
192404,28,-1.2
192504,31.5,2.3
192604,32.8,3.6
192704,27.8,-1.4
192804,27.5,-1.7
192904,27,-2.2
193004,33.3,4.1
193104,28.6,-0.6
193204,29.6,0.4
193304,26.9,-2.3
193404,34.1,4.9
193504,28.6,-0.6
193604,30.4,1.2
193704,28,-1.2
193804,30.2,1.0
193904,30.4,1.2
194004,31.8,2.6
194104,29.7,0.5
194204,30.4,1.2
194304,33.1,3.9
194404,29.4,0.2
194504,26.2,-3.0
194604,30.4,1.2
194704,29.3,0.1
194804,29,-0.2
194904,29.8,0.6
195004,27.3,-1.9
195104,28.4,-0.8
195204,28.9,-0.3
195304,27.4,-1.8
195404,29.7,0.5
195504,26.2,-3.0
195604,29.4,0.2
195704,29.4,0.2
195804,28.4,-0.8
195904,29.3,0.1
196004,29.9,0.7
196104,28.4,-0.8
196204,30.2,1.0
196304,28.1,-1.1
196404,27.1,-2.1
196504,31.8,2.6
196604,27.3,-1.9
196704,26.9,-2.3
196804,25.9,-3.3
196904,30,0.8
197004,25,-4.2
197104,28.2,-1.0
197204,27.3,-1.9
197304,27.6,-1.6
197404,29.4,0.2
197504,25.3,-3.9
197604,28.5,-0.7
197704,29.2,0.0
197804,31.5,2.3
197904,28.6,-0.6
198004,31.1,1.9
198104,31.1,1.9
198204,24.6,-4.6
198304,26.8,-2.4
198404,28.1,-1.1
198504,30.6,1.4
198604,29.9,0.7
198704,32,2.8
198804,31.4,2.2
198904,31.7,2.5
199004,33.7,4.5
199104,28.7,-0.5
199204,33.1,3.9
199304,29.7,0.5
199404,32,2.8
199504,28.8,-0.4
199604,30.1,0.9
199704,27.5,-1.7
199804,29.7,0.5
199904,26.9,-2.3
200004,32.4,3.2
200104,28.8,-0.4
200204,29.6,0.4
200304,30,0.8
200404,31.8,2.6
200504,29.9,0.7
200604,31.5,2.3
200704,30.7,1.5
200804,23.6,-5.6
200904,29.1,-0.1
201004,28.3,-0.9
201104,26,-3.2
201204,31.6,2.4
201304,28.3,-0.9
201404,29.3,0.1
201504,29.4,0.2
