North Carolina, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,36,-1.6
189603,34.8,-2.8
189703,41.1,3.5
189803,43.3,5.7
189903,38.3,0.7
190003,34.8,-2.8
190103,37.7,0.1
190203,37.9,0.3
190303,45.6,8.0
190403,38.1,0.5
190503,39.8,2.2
190603,34.8,-2.8
190703,41.8,4.2
190803,42.7,5.1
190903,36.2,-1.4
191003,41.5,3.9
191103,35.1,-2.5
191203,37.1,-0.5
191303,41.7,4.1
191403,32,-5.6
191503,29.4,-8.2
191603,34.8,-2.8
191703,37.6,0.0
191803,41.5,3.9
191903,39,1.4
192003,35.7,-1.9
192103,46,8.4
192203,40.2,2.6
192303,38.4,0.8
192403,35.1,-2.5
192503,38.8,1.2
192603,31.4,-6.2
192703,39,1.4
192803,36.9,-0.7
192903,42.1,4.5
193003,35.3,-2.3
193103,33.3,-4.3
193203,33.8,-3.8
193303,36.9,-0.7
193403,34.5,-3.1
193503,42.7,5.1
193603,40.4,2.8
193703,34.3,-3.3
193803,42.4,4.8
193903,39.9,2.3
194003,34.7,-2.9
194103,31.1,-6.5
194203,38.9,1.3
194303,35.4,-2.2
194403,36,-1.6
194503,45.9,8.3
194603,44,6.4
194703,30.4,-7.2
194803,41.5,3.9
194903,37.4,-0.2
195003,35.3,-2.3
195103,38.1,0.5
195203,36.5,-1.1
195303,39.2,1.6
195403,36.7,-0.9
195503,40.2,2.6
195603,36,-1.6
195703,37.5,-0.1
195803,35.2,-2.4
195903,34.7,-2.9
196003,26.6,-11.0
196103,40.6,3.0
196203,35,-2.6
196303,39.6,2.0
196403,37,-0.6
196503,34.8,-2.8
196603,35,-2.6
196703,37.9,0.3
196803,36.3,-1.3
196903,31.6,-6.0
197003,36.4,-1.2
197103,34.1,-3.5
197203,36.9,-0.7
197303,43.4,5.8
197403,40.8,3.2
197503,36.2,-1.4
197603,41.5,3.9
197703,41.3,3.7
197803,35.2,-2.4
197903,38.2,0.6
198003,35.4,-2.2
198103,32.7,-4.9
198203,38.8,1.2
198303,39.4,1.8
198403,35.4,-2.2
198503,38.7,1.1
198603,36.8,-0.8
198703,36.1,-1.5
198803,36.4,-1.2
198903,39.4,1.8
199003,41.9,4.3
199103,41,3.4
199203,36.5,-1.1
199303,35.8,-1.8
199403,38.8,1.2
199503,38.9,1.3
199603,34,-3.6
199703,41.7,4.1
199803,38.8,1.2
199903,34.1,-3.5
200003,40.4,2.8
200103,36.1,-1.5
200203,38.7,1.1
200303,41.7,4.1
200403,39.5,1.9
200503,35.8,-1.8
200603,37.6,0.0
200703,40.3,2.7
200803,38.1,0.5
200903,38.5,0.9
201003,37.9,0.3
201103,38.9,1.3
201203,46.3,8.7
201303,32.7,-4.9
201403,33.4,-4.2
201503,39.1,1.5
201603,44,6.4
