Maryland, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,61.7,1.9
189606,59.8,0.0
189706,57.7,-2.1
189806,60.3,0.5
189906,62.4,2.6
190006,61,1.2
190106,59.6,-0.2
190206,58.3,-1.5
190306,56.8,-3.0
190406,59.5,-0.3
190506,60,0.2
190606,61.9,2.1
190706,54.6,-5.2
190806,58.7,-1.1
190906,62.1,2.3
191006,58.4,-1.4
191106,60.4,0.6
191206,58.1,-1.7
191306,59,-0.8
191406,59.8,0.0
191506,57.5,-2.3
191606,56.6,-3.2
191706,59.6,-0.2
191806,57.8,-2.0
191906,60.8,1.0
192006,58.4,-1.4
192106,60,0.2
192206,63.1,3.3
192306,61.9,2.1
192406,59.4,-0.4
192506,63.1,3.3
192606,56.1,-3.7
192706,55.3,-4.5
192806,59.4,-0.4
192906,58.7,-1.1
193006,60,0.2
193106,59.5,-0.3
193206,59.7,-0.1
193306,60.1,0.3
193406,63.7,3.9
193506,59.2,-0.6
193606,59.5,-0.3
193706,61.7,1.9
193806,59,-0.8
193906,61.9,2.1
194006,60.7,0.9
194106,59.4,-0.4
194206,62,2.2
194306,65.9,6.1
194406,60.9,1.1
194506,59.9,0.1
194606,57.9,-1.9
194706,58.1,-1.7
194806,59.6,-0.2
194906,61.5,1.7
195006,58.6,-1.2
195106,59.8,0.0
195206,62,2.2
195306,60.3,0.5
195406,59.3,-0.5
195506,56.3,-3.5
195606,59.4,-0.4
195706,62.7,2.9
195806,56.9,-2.9
195906,60.2,0.4
196006,59,-0.8
196106,58.8,-1.0
196206,60.3,0.5
196306,58.8,-1.0
196406,59.1,-0.7
196506,58,-1.8
196606,58.6,-1.2
196706,58.2,-1.6
196806,59.3,-0.5
196906,61.8,2.0
197006,59.9,0.1
197106,61.4,1.6
197206,57.4,-2.4
197306,63.4,3.6
197406,57.7,-2.1
197506,61.2,1.4
197606,61.8,2.0
197706,57.5,-2.3
197806,59.2,-0.6
197906,56.7,-3.1
198006,56.8,-3.0
198106,62.2,2.4
198206,58.9,-0.9
198306,59.6,-0.2
198406,60.9,1.1
198506,58.8,-1.0
198606,60.1,0.3
198706,62.3,2.5
198806,58.7,-1.1
198906,63.9,4.1
199006,60,0.2
199106,60.7,0.9
199206,57.4,-2.4
199306,59.7,-0.1
199406,63.1,3.3
199506,61.5,1.7
199606,61.9,2.1
199706,58.2,-1.6
199806,61,1.2
199906,60.3,0.5
200006,62.4,2.6
200106,62,2.2
200206,61.6,1.8
200306,60.2,0.4
200406,60.9,1.1
200506,62.5,2.7
200606,61.4,1.6
200706,61.6,1.8
200806,63,3.2
200906,61.4,1.6
201006,65.6,5.8
201106,63.2,3.4
201206,60.3,0.5
201306,63.1,3.3
201406,62,2.2
201506,64,4.2
