Missouri, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,52.7,0.0
189605,58.4,5.7
189705,49.5,-3.2
189805,54.5,1.8
189905,55.9,3.2
190005,54,1.3
190105,50.5,-2.2
190205,58.1,5.4
190305,55.1,2.4
190405,52,-0.7
190505,54,1.3
190605,53.1,0.4
190705,47.4,-5.3
190805,54.5,1.8
190905,50.7,-2.0
191005,49.4,-3.3
191105,55.3,2.6
191205,55.2,2.5
191305,53.4,0.7
191405,53.4,0.7
191505,51.7,-1.0
191605,53.8,1.1
191705,46.9,-5.8
191805,56.6,3.9
191905,51.2,-1.5
192005,53.3,0.6
192105,53.9,1.2
192205,55.2,2.5
192305,51.3,-1.4
192405,46.6,-6.1
192505,48.3,-4.4
192605,53.3,0.6
192705,53.6,0.9
192805,52.3,-0.4
192905,50.6,-2.1
193005,52.7,0.0
193105,49.1,-3.6
193205,52.4,-0.3
193305,55.1,2.4
193405,54.2,1.5
193505,50.8,-1.9
193605,55.7,3.0
193705,54.2,1.5
193805,53.8,1.1
193905,54.8,2.1
194005,49.5,-3.2
194105,55.4,2.7
194205,51.8,-0.9
194305,53,0.3
194405,56.7,4.0
194505,49.1,-3.6
194605,50.1,-2.6
194705,49.5,-3.2
194805,51.3,-1.4
194905,55.5,2.8
195005,54.2,1.5
195105,52,-0.7
195205,52,-0.7
195305,53.7,1.0
195405,48,-4.7
195505,55.3,2.6
195605,56.2,3.5
195705,53.7,1.0
195805,53,0.3
195905,57,4.3
196005,49.8,-2.9
196105,49.1,-3.6
196205,59.7,7.0
196305,53.2,0.5
196405,56.6,3.9
196505,57.3,4.6
196605,49.2,-3.5
196705,49.4,-3.3
196805,49.6,-3.1
196905,53,0.3
197005,55.4,2.7
197105,49.1,-3.6
197205,52.4,-0.3
197305,49.7,-3.0
197405,54.5,1.8
197505,54.9,2.2
197605,47.9,-4.8
197705,57.7,5.0
197805,52.5,-0.2
197905,51.5,-1.2
198005,52.1,-0.6
198105,49.4,-3.3
198205,56.2,3.5
198305,49.8,-2.9
198405,49.6,-3.1
198505,54.1,1.4
198605,55.3,2.6
198705,57.8,5.1
198805,52.5,-0.2
198905,49.9,-2.8
199005,50.7,-2.0
199105,59.2,6.5
199205,50.5,-2.2
199305,52.7,0.0
199405,50.2,-2.5
199505,51.5,-1.2
199605,55.7,3.0
199705,47.3,-5.4
199805,58.1,5.4
199905,52.4,-0.3
200005,56,3.3
200105,54.9,2.2
200205,50.1,-2.6
200305,52.4,-0.3
200405,56.6,3.9
200505,50.3,-2.4
200605,53.9,1.2
200705,57.6,4.9
200805,51.1,-1.6
200905,53.3,0.6
201005,54.2,1.5
201105,52.5,-0.2
201205,57.3,4.6
201305,52.7,0.0
201405,54.1,1.4
201505,54.8,2.1
