North Dakota, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,47,-3.7
189606,52.6,1.9
189706,49.6,-1.1
189806,50.6,-0.1
189906,50.1,-0.6
190006,52.5,1.8
190106,50.2,-0.5
190206,46.6,-4.1
190306,49,-1.7
190406,49.7,-1.0
190506,48.9,-1.8
190606,51.3,0.6
190706,50.4,-0.3
190806,50,-0.7
190906,52.4,1.7
191006,53.2,2.5
191106,54.7,4.0
191206,49.2,-1.5
191306,53.3,2.6
191406,51.2,0.5
191506,45.4,-5.3
191606,47.3,-3.4
191706,45.8,-4.9
191806,51,0.3
191906,55,4.3
192006,50.5,-0.2
192106,56.8,6.1
192206,53,2.3
192306,53.6,2.9
192406,47.1,-3.6
192506,50.4,-0.3
192606,47.8,-2.9
192706,49.6,-1.1
192806,46.2,-4.5
192906,47.8,-2.9
193006,51.3,0.6
193106,54.8,4.1
193206,55.3,4.6
193306,56.2,5.5
193406,51.1,0.4
193506,48.9,-1.8
193606,51.7,1.0
193706,50.6,-0.1
193806,51.6,0.9
193906,48.7,-2.0
194006,49.7,-1.0
194106,53.5,2.8
194206,49.2,-1.5
194306,49.4,-1.3
194406,50.7,0.0
194506,46.3,-4.4
194606,49.8,-0.9
194706,49.1,-1.6
194806,50.7,0.0
194906,50.2,-0.5
195006,48.4,-2.3
195106,46.5,-4.2
195206,51.3,0.6
195306,52,1.3
195406,49.9,-0.8
195506,50.3,-0.4
195606,55,4.3
195706,48.4,-2.3
195806,46,-4.7
195906,52.5,1.8
196006,49.3,-1.4
196106,52,1.3
196206,52.4,1.7
196306,54.3,3.6
196406,50.4,-0.3
196506,50.8,0.1
196606,50.7,0.0
196706,49.1,-1.6
196806,49.7,-1.0
196906,44.8,-5.9
197006,54.1,3.4
197106,53.3,2.6
197206,51.3,0.6
197306,50.7,0.0
197406,49.7,-1.0
197506,51.2,0.5
197606,53,2.3
197706,52.5,1.8
197806,50.2,-0.5
197906,50.6,-0.1
198006,51,0.3
198106,48.9,-1.8
198206,47,-3.7
198306,49.9,-0.8
198406,51.4,0.7
198506,46.1,-4.6
198606,52.5,1.8
198706,53.1,2.4
198806,59.1,8.4
198906,48.6,-2.1
199006,51.8,1.1
199106,55.1,4.4
199206,48.7,-2.0
199306,47.7,-3.0
199406,52.6,1.9
199506,54.3,3.6
199606,52.7,2.0
199706,53.8,3.1
199806,49.4,-1.3
199906,51.2,0.5
200006,48.5,-2.2
200106,51.4,0.7
200206,53.1,2.4
200306,50.8,0.1
200406,46.9,-3.8
200506,54.5,3.8
200606,52.5,1.8
200706,53.5,2.8
200806,48.8,-1.9
200906,48.5,-2.2
201006,52.2,1.5
201106,51.7,1.0
201206,52.8,2.1
201306,52.3,1.6
201406,51.9,1.2
201506,53.2,2.5
