Michigan, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,53.1,-1.1
189608,54.1,-0.1
189708,50.7,-3.5
189808,53.8,-0.4
189908,54.1,-0.1
190008,58.7,4.5
190108,54.2,0.0
190208,50.6,-3.6
190308,51,-3.2
190408,49.6,-4.6
190508,54.5,0.3
190608,57.2,3.0
190708,50.9,-3.3
190808,52.4,-1.8
190908,55.6,1.4
191008,52.8,-1.4
191108,53.1,-1.1
191208,51.8,-2.4
191308,55.3,1.1
191408,53.7,-0.5
191508,50.1,-4.1
191608,55.7,1.5
191708,51.4,-2.8
191808,55.4,1.2
191908,53.6,-0.6
192008,52.4,-1.8
192108,54.4,0.2
192208,53.5,-0.7
192308,50.5,-3.7
192408,52.1,-2.1
192508,53.5,-0.7
192608,55.2,1.0
192708,47,-7.2
192808,54.5,0.3
192908,50.2,-4.0
193008,53.1,-1.1
193108,54.2,0.0
193208,54.9,0.7
193308,51.6,-2.6
193408,50.7,-3.5
193508,56.6,2.4
193608,54.9,0.7
193708,57.6,3.4
193808,58.1,3.9
193908,55.8,1.6
194008,55.5,1.3
194108,53,-1.2
194208,54.7,0.5
194308,55.3,1.1
194408,55.3,1.1
194508,54,-0.2
194608,50.9,-3.3
194708,60.2,6.0
194808,54.9,0.7
194908,55.5,1.3
195008,50.3,-3.9
195108,52,-2.2
195208,53.5,-0.7
195308,55.4,1.2
195408,52.8,-1.4
195508,59.4,5.2
195608,54.6,0.4
195708,52.8,-1.4
195808,53.1,-1.1
195908,60.6,6.4
196008,55,0.8
196108,54.8,0.6
196208,53.2,-1.0
196308,51.9,-2.3
196408,51.9,-2.3
196508,53.2,-1.0
196608,53.7,-0.5
196708,50.7,-3.5
196808,54.5,0.3
196908,56.1,1.9
197008,54.8,0.6
197108,51.5,-2.7
197208,54.6,0.4
197308,58.2,4.0
197408,54.2,0.0
197508,55.9,1.7
197608,51.5,-2.7
197708,52,-2.2
197808,55.1,0.9
197908,53.4,-0.8
198008,58.2,4.0
198108,55.5,1.3
198208,51.7,-2.5
198308,58.5,4.3
198408,57.1,2.9
198508,54.1,-0.1
198608,51.9,-2.3
198708,56.1,1.9
198808,58.7,4.5
198908,54.4,0.2
199008,55.3,1.1
199108,56.2,2.0
199208,50.9,-3.3
199308,57.4,3.2
199408,53.1,-1.1
199508,61.6,7.4
199608,55.7,1.5
199708,52.6,-1.6
199808,57.5,3.3
199908,54.2,0.0
200008,55,0.8
200108,58.1,3.9
200208,56.7,2.5
200308,57.2,3.0
200408,52.3,-1.9
200508,57.7,3.5
200608,56.3,2.1
200708,57.4,3.2
200808,54.1,-0.1
200908,55.1,0.9
201008,60.1,5.9
201108,57,2.8
201208,55.7,1.5
201308,55,0.8
201408,55.4,1.2
201508,56.8,2.6
