Arkansas, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,50,1.1
189604,57,8.1
189704,49.8,0.9
189804,46.1,-2.8
189904,49,0.1
190004,49.7,0.8
190104,45.8,-3.1
190204,49.2,0.3
190304,47.9,-1.0
190404,44.9,-4.0
190504,50.4,1.5
190604,50.5,1.6
190704,43.9,-5.0
190804,52.3,3.4
190904,48.3,-0.6
191004,47.4,-1.5
191104,48.6,-0.3
191204,50.7,1.8
191304,48.3,-0.6
191404,48.9,0.0
191504,51.4,2.5
191604,47.7,-1.2
191704,47.7,-1.2
191804,47,-1.9
191904,48.6,-0.3
192004,47.2,-1.7
192104,47.1,-1.8
192204,51.6,2.7
192304,48.7,-0.2
192404,48.9,0.0
192504,54,5.1
192604,44.4,-4.5
192704,54.6,5.7
192804,45.3,-3.6
192904,52.5,3.6
193004,51,2.1
193104,46.3,-2.6
193204,51.3,2.4
193304,48.8,-0.1
193404,49.8,0.9
193504,49.3,0.4
193604,45.2,-3.7
193704,48.5,-0.4
193804,50.1,1.2
193904,46.7,-2.2
194004,48.2,-0.7
194104,51.7,2.8
194204,51,2.1
194304,50.2,1.3
194404,48.9,0.0
194504,51.3,2.4
194604,52.6,3.7
194704,50.2,1.3
194804,52.8,3.9
194904,48.2,-0.7
195004,46,-2.9
195104,45.9,-3.0
195204,45.8,-3.1
195304,45.1,-3.8
195404,54.1,5.2
195504,53.3,4.4
195604,46.5,-2.4
195704,50.7,1.8
195804,48.7,-0.2
195904,48.2,-0.7
196004,49.6,0.7
196104,45.8,-3.1
196204,46.9,-2.0
196304,52.5,3.6
196404,52.7,3.8
196504,52.2,3.3
196604,48.7,-0.2
196704,54.5,5.6
196804,49.6,0.7
196904,49.6,0.7
197004,51.3,2.4
197104,45.8,-3.1
197204,49.8,0.9
197304,48.2,-0.7
197404,48.3,-0.6
197504,47.5,-1.4
197604,49.3,0.4
197704,51.2,2.3
197804,50.4,1.5
197904,49,0.1
198004,45.8,-3.1
198104,54.7,5.8
198204,45.7,-3.2
198304,44.1,-4.8
198404,47.7,-1.2
198504,50.9,2.0
198604,50.9,2.0
198704,45.2,-3.7
198804,46.5,-2.4
198904,48.4,-0.5
199004,48.2,-0.7
199104,52.7,3.8
199204,48.3,-0.6
199304,46,-2.9
199404,50.1,1.2
199504,48.2,-0.7
199604,45.5,-3.4
199704,44.5,-4.4
199804,47.7,-1.2
199904,52.8,3.9
200004,47.4,-1.5
200104,54.2,5.3
200204,52.4,3.5
200304,49.1,0.2
200404,49.4,0.5
200504,49.1,0.2
200604,54.4,5.5
200704,45.6,-3.3
200804,47.4,-1.5
200904,48.5,-0.4
201004,51,2.1
201104,51.4,2.5
201204,52.8,3.9
201304,46.7,-2.2
201404,48,-0.9
201504,52.1,3.2
