Massachusetts, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,55.7,2.7
189606,52.1,-0.9
189706,49.8,-3.2
189806,54,1.0
189906,54.8,1.8
190006,53.2,0.2
190106,53.1,0.1
190206,50.2,-2.8
190306,49.1,-3.9
190406,50.9,-2.1
190506,51.1,-1.9
190606,52.3,-0.7
190706,49.6,-3.4
190806,53,0.0
190906,53.8,0.8
191006,51.8,-1.2
191106,51.9,-1.1
191206,50.8,-2.2
191306,51,-2.0
191406,51.4,-1.6
191506,50.7,-2.3
191606,50,-3.0
191706,53.6,0.6
191806,50,-3.0
191906,53.5,0.5
192006,51.9,-1.1
192106,52.4,-0.6
192206,55.9,2.9
192306,53.6,0.6
192406,50.3,-2.7
192506,55.6,2.6
192606,48.6,-4.4
192706,49.2,-3.8
192806,52.2,-0.8
192906,52.7,-0.3
193006,56.9,3.9
193106,53.5,0.5
193206,52.1,-0.9
193306,54.2,1.2
193406,54.5,1.5
193506,53.2,0.2
193606,53.4,0.4
193706,54,1.0
193806,53.5,0.5
193906,52.7,-0.3
194006,51.6,-1.4
194106,53.6,0.6
194206,54.6,1.6
194306,56.5,3.5
194406,53.8,0.8
194506,53.2,0.2
194606,51.5,-1.5
194706,50.3,-2.7
194806,51.1,-1.9
194906,55.9,2.9
195006,52.3,-0.7
195106,52.7,-0.3
195206,55.1,2.1
195306,52.7,-0.3
195406,53.6,0.6
195506,52.5,-0.5
195606,53.7,0.7
195706,55.7,2.7
195806,49.3,-3.7
195906,53,0.0
196006,53.5,0.5
196106,53.9,0.9
196206,53.6,0.6
196306,53.1,0.1
196406,51.6,-1.4
196506,50.7,-2.3
196606,53.3,0.3
196706,54.1,1.1
196806,53.3,0.3
196906,53.9,0.9
197006,53.6,0.6
197106,52.7,-0.3
197206,53.9,0.9
197306,57.2,4.2
197406,52.5,-0.5
197506,54.5,1.5
197606,57.3,4.3
197706,52.5,-0.5
197806,52.3,-0.7
197906,51.9,-1.1
198006,50.4,-2.6
198106,54.6,1.6
198206,51.5,-1.5
198306,53.8,0.8
198406,54.8,1.8
198506,51,-2.0
198606,51.1,-1.9
198706,54.7,1.7
198806,51.5,-1.5
198906,55.8,2.8
199006,53.9,0.9
199106,54.2,1.2
199206,52,-1.0
199306,53,0.0
199406,56.8,3.8
199506,53.8,0.8
199606,55.7,2.7
199706,53.2,0.2
199806,55.4,2.4
199906,55.7,2.7
200006,54.5,1.5
200106,56.3,3.3
200206,52.8,-0.2
200306,54.6,1.6
200406,52.7,-0.3
200506,57.3,4.3
200606,57.8,4.8
200706,54.6,1.6
200806,56.8,3.8
200906,54.4,1.4
201006,56.9,3.9
201106,54.8,1.8
201206,54.6,1.6
201306,56.5,3.5
201406,54.3,1.3
201506,53.3,0.3
