Montana, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,3.2,-7.7
189602,15.3,4.4
189702,6.9,-4.0
189802,14.7,3.8
189902,-3.2,-14.1
190002,6.2,-4.7
190102,6.2,-4.7
190202,11.7,0.8
190302,2.8,-8.1
190402,1,-9.9
190502,2,-8.9
190602,14.4,3.5
190702,11.9,1.0
190802,11.4,0.5
190902,11.8,0.9
191002,1.2,-9.7
191102,2.2,-8.7
191202,14.1,3.2
191302,3.7,-7.2
191402,5.4,-5.5
191502,14.4,3.5
191602,8.2,-2.7
191702,2.9,-8.0
191802,7.8,-3.1
191902,7.1,-3.8
192002,12.6,1.7
192102,16.3,5.4
192202,-4.5,-15.4
192302,3,-7.9
192402,19.5,8.6
192502,17.7,6.8
192602,21.3,10.4
192702,10.7,-0.2
192802,11.3,0.4
192902,-1,-11.9
193002,21,10.1
193102,19.7,8.8
193202,10.5,-0.4
193302,3.6,-7.3
193402,18.2,7.3
193502,16.4,5.5
193602,-15.1,-26.0
193702,4.2,-6.7
193802,4.8,-6.1
193902,1.5,-9.4
194002,12.1,1.2
194102,12.5,1.6
194202,7.8,-3.1
194302,13.1,2.2
194402,9.8,-1.1
194502,11.5,0.6
194602,13.6,2.7
194702,7.7,-3.2
194802,6,-4.9
194902,-.4,-11.3
195002,13.5,2.6
195102,9.1,-1.8
195202,11.8,0.9
195302,17.2,6.3
195402,23.2,12.3
195502,6,-4.9
195602,5.5,-5.4
195702,9.1,-1.8
195802,12.8,1.9
195902,2.2,-8.7
196002,8.9,-2.0
196102,20.5,9.6
196202,10.4,-0.5
196302,19.2,8.3
196402,15.9,5.0
196502,9.8,-1.1
196602,8.5,-2.4
196702,15.5,4.6
196802,15.8,4.9
196902,6.7,-4.2
197002,16,5.1
197102,13.5,2.6
197202,10.1,-0.8
197302,13,2.1
197402,18.7,7.8
197502,4.3,-6.6
197602,18.3,7.4
197702,20.4,9.5
197802,7.2,-3.7
197902,3.5,-7.4
198002,13.8,2.9
198102,16.1,5.2
198202,7.4,-3.5
198302,21.1,10.2
198402,21,10.1
198502,6.4,-4.5
198602,9.8,-1.1
198702,19.2,8.3
198802,12.7,1.8
198902,-.6,-11.5
199002,12.4,1.5
199102,23.5,12.6
199202,20,9.1
199302,4,-6.9
199402,4.2,-6.7
199502,16.8,5.9
199602,12.2,1.3
199702,16.9,6.0
199802,20.4,9.5
199902,21.2,10.3
200002,16.2,5.3
200102,5.8,-5.1
200202,14.9,4.0
200302,11.4,0.5
200402,14.2,3.3
200502,16.1,5.2
200602,12.5,1.6
200702,12.9,2.0
200802,13.4,2.5
200902,15.2,4.3
201002,11.2,0.3
201102,6,-4.9
201202,14.5,3.6
201302,18.1,7.2
201402,4.3,-6.6
201502,16.2,5.3
201602,23.1,12.2
