Colorado, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,48.8,-3.4
189607,53,0.8
189707,49.5,-2.7
189807,52.1,-0.1
189907,51.6,-0.6
190007,50.2,-2.0
190107,53.4,1.2
190207,48.4,-3.8
190307,50.8,-1.4
190407,48.8,-3.4
190507,49.4,-2.8
190607,49.2,-3.0
190707,51,-1.2
190807,50.9,-1.3
190907,52.9,0.7
191007,52.1,-0.1
191107,51.9,-0.3
191207,51.2,-1.0
191307,51,-1.2
191407,53,0.8
191507,49.5,-2.7
191607,52.7,0.5
191707,52.3,0.1
191807,51.6,-0.6
191907,54.1,1.9
192007,50.8,-1.4
192107,52.6,0.4
192207,50.9,-1.3
192307,53.2,1.0
192407,50.2,-2.0
192507,53.4,1.2
192607,50.9,-1.3
192707,51.3,-0.9
192807,50.4,-1.8
192907,52.8,0.6
193007,52.7,0.5
193107,52.8,0.6
193207,53.4,1.2
193307,53.7,1.5
193407,54.3,2.1
193507,53.1,0.9
193607,54.3,2.1
193707,53.1,0.9
193807,50.4,-1.8
193907,52,-0.2
194007,53.3,1.1
194107,50.9,-1.3
194207,51,-1.2
194307,52.3,0.1
194407,50.5,-1.7
194507,51.4,-0.8
194607,52.8,0.6
194707,51.8,-0.4
194807,50.7,-1.5
194907,52.6,0.4
195007,50.1,-2.1
195107,52.8,0.6
195207,51.8,-0.4
195307,54.3,2.1
195407,55.7,3.5
195507,52.6,0.4
195607,51.1,-1.1
195707,53.2,1.0
195807,50.2,-2.0
195907,50.6,-1.6
196007,51.2,-1.0
196107,51.6,-0.6
196207,50.8,-1.4
196307,54.1,1.9
196407,54.3,2.1
196507,52.9,0.7
196607,55.3,3.1
196707,53.1,0.9
196807,51.9,-0.3
196907,54,1.8
197007,52.8,0.6
197107,51.4,-0.8
197207,51,-1.2
197307,51.1,-1.1
197407,52.7,0.5
197507,52.5,0.3
197607,52.8,0.6
197707,54.1,1.9
197807,52.6,0.4
197907,52.1,-0.1
198007,53.9,1.7
198107,54.1,1.9
198207,52,-0.2
198307,53.1,0.9
198407,53.7,1.5
198507,53.4,1.2
198607,52.2,0.0
198707,51.6,-0.6
198807,52.6,0.4
198907,53.6,1.4
199007,52.2,0.0
199107,52,-0.2
199207,50.5,-1.7
199307,50.9,-1.3
199407,51.5,-0.7
199507,50.5,-1.7
199607,53.6,1.4
199707,52.1,-0.1
199807,55.2,3.0
199907,54.5,2.3
200007,54.1,1.9
200107,55.4,3.2
200207,55,2.8
200307,55.6,3.4
200407,51.4,-0.8
200507,53.3,1.1
200607,55.5,3.3
200707,54.6,2.4
200807,53.5,1.3
200907,52,-0.2
201007,53.9,1.7
201107,55.2,3.0
201207,55.6,3.4
201307,54.2,2.0
201407,54.2,2.0
201507,53,0.8
