Virginia, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,21.9,-3.1
189601,24.3,-0.7
189701,21.5,-3.5
189801,29.2,4.2
189901,24.4,-0.6
190001,25.1,0.1
190101,25.6,0.6
190201,22.8,-2.2
190301,24.4,-0.6
190401,19.6,-5.4
190501,20.4,-4.6
190601,29.9,4.9
190701,29.9,4.9
190801,23.2,-1.8
190901,28.8,3.8
191001,24.2,-0.8
191101,28.6,3.6
191201,17.2,-7.8
191301,31.5,6.5
191401,28.2,3.2
191501,25.8,0.8
191601,29.4,4.4
191701,26.6,1.6
191801,14.8,-10.2
191901,25.5,0.5
192001,22.3,-2.7
192101,26.6,1.6
192201,23.3,-1.7
192301,27.4,2.4
192401,22.2,-2.8
192501,23.8,-1.2
192601,23.2,-1.8
192701,25.9,0.9
192801,24,-1.0
192901,25,0.0
193001,26.9,1.9
193101,26,1.0
193201,35.6,10.6
193301,31.9,6.9
193401,28.5,3.5
193501,24.9,-0.1
193601,20.4,-4.6
193701,35.9,10.9
193801,25.5,0.5
193901,27.5,2.5
194001,13.9,-11.1
194101,25,0.0
194201,22.4,-2.6
194301,27.6,2.6
194401,25.3,0.3
194501,23.6,-1.4
194601,26.8,1.8
194701,31.1,6.1
194801,19.2,-5.8
194901,33.8,8.8
195001,36.1,11.1
195101,26.2,1.2
195201,30.2,5.2
195301,30.2,5.2
195401,25.3,0.3
195501,23.5,-1.5
195601,23.4,-1.6
195701,24.5,-0.5
195801,21.6,-3.4
195901,22.4,-2.6
196001,27.6,2.6
196101,18.6,-6.4
196201,23.4,-1.6
196301,19.9,-5.1
196401,23.5,-1.5
196501,23.3,-1.7
196601,20.6,-4.4
196701,27.6,2.6
196801,19.9,-5.1
196901,22,-3.0
197001,18.1,-6.9
197101,22.2,-2.8
197201,27.9,2.9
197301,24.5,-0.5
197401,34.4,9.4
197501,27.5,2.5
197601,22,-3.0
197701,13.5,-11.5
197801,18.9,-6.1
197901,23,-2.0
198001,26.8,1.8
198101,18.9,-6.1
198201,18.8,-6.2
198301,25.7,0.7
198401,21.3,-3.7
198501,20.8,-4.2
198601,22.5,-2.5
198701,23.9,-1.1
198801,19.4,-5.6
198901,28.7,3.7
199001,31.3,6.3
199101,27.4,2.4
199201,27.3,2.3
199301,30.1,5.1
199401,20.4,-4.6
199501,28.7,3.7
199601,23.3,-1.7
199701,25,0.0
199801,32,7.0
199901,28.3,3.3
200001,23.3,-1.7
200101,23.7,-1.3
200201,28.3,3.3
200301,22.3,-2.7
200401,22.3,-2.7
200501,28.1,3.1
200601,32,7.0
200701,30,5.0
200801,25.7,0.7
200901,23,-2.0
201001,23.8,-1.2
201101,23.3,-1.7
201201,28.3,3.3
201301,29.1,4.1
201401,18.3,-6.7
201501,24.5,-0.5
201601,23.2,-1.8
