Louisiana, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,47.9,-0.1
189603,46.5,-1.5
189703,57.6,9.6
189803,52.6,4.6
189903,49.7,1.7
190003,47.6,-0.4
190103,45.4,-2.6
190203,50,2.0
190303,53.3,5.3
190403,52.1,4.1
190503,51.6,3.6
190603,45.4,-2.6
190703,57.8,9.8
190803,56,8.0
190903,49.6,1.6
191003,50.6,2.6
191103,51.9,3.9
191203,45.9,-2.1
191303,47.3,-0.7
191403,43.7,-4.3
191503,39.2,-8.8
191603,47.6,-0.4
191703,49.4,1.4
191803,53.7,5.7
191903,48.1,0.1
192003,47.1,-0.9
192103,57.3,9.3
192203,47.8,-0.2
192303,46.4,-1.6
192403,44,-4.0
192503,49.4,1.4
192603,44.9,-3.1
192703,49.2,1.2
192803,50.1,2.1
192903,51.6,3.6
193003,45.6,-2.4
193103,41.6,-6.4
193203,44.2,-3.8
193303,49.4,1.4
193403,45.1,-2.9
193503,54.4,6.4
193603,50.1,2.1
193703,43.5,-4.5
193803,55.6,7.6
193903,49.6,1.6
194003,47.1,-0.9
194103,43.3,-4.7
194203,45.6,-2.4
194303,45.5,-2.5
194403,48.9,0.9
194503,55.2,7.2
194603,50.6,2.6
194703,41.6,-6.4
194803,49.7,1.7
194903,47.1,-0.9
195003,45.3,-2.7
195103,48.7,0.7
195203,45.3,-2.7
195303,53.9,5.9
195403,46.2,-1.8
195503,50.5,2.5
195603,46.8,-1.2
195703,46.6,-1.4
195803,44.3,-3.7
195903,44.3,-3.7
196003,41.3,-6.7
196103,51.6,3.6
196203,42.8,-5.2
196303,49.1,1.1
196403,45.8,-2.2
196503,43.5,-4.5
196603,46.1,-1.9
196703,49.9,1.9
196803,44,-4.0
196903,41.1,-6.9
197003,45.7,-2.3
197103,43.7,-4.3
197203,48.1,0.1
197303,52.7,4.7
197403,53.7,5.7
197503,46.8,-1.2
197603,51.4,3.4
197703,49.1,1.1
197803,43.3,-4.7
197903,48,0.0
198003,46.6,-1.4
198103,45.1,-2.9
198203,51.9,3.9
198303,43.8,-4.2
198403,47.6,-0.4
198503,52.9,4.9
198603,45.8,-2.2
198703,45,-3.0
198803,46.5,-1.5
198903,48.2,0.2
199003,50.5,2.5
199103,49.8,1.8
199203,49.1,1.1
199303,45.5,-2.5
199403,47.4,-0.6
199503,51.2,3.2
199603,42.4,-5.6
199703,53.2,5.2
199803,47.1,-0.9
199903,47.2,-0.8
200003,52.1,4.1
200103,45.1,-2.9
200203,46.9,-1.1
200303,48.2,0.2
200403,52.2,4.2
200503,47.1,-0.9
200603,50.9,2.9
200703,51.4,3.4
200803,48.1,0.1
200903,49.6,1.6
201003,43.4,-4.6
201103,50.4,2.4
201203,57.3,9.3
201303,43,-5.0
201403,43.6,-4.4
201503,50.5,2.5
