North Dakota, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,11.3,-3.4
189603,4.2,-10.5
189703,.5,-14.2
189803,9.4,-5.3
189903,-4.5,-19.2
190003,9.6,-5.1
190103,15.7,1.0
190203,18,3.3
190303,11.1,-3.6
190403,7,-7.7
190503,21.4,6.7
190603,8,-6.7
190703,12.7,-2.0
190803,10.4,-4.3
190903,15.5,0.8
191003,27.8,13.1
191103,18.4,3.7
191203,3.1,-11.6
191303,5.9,-8.8
191403,15.7,1.0
191503,11.9,-2.8
191603,11.1,-3.6
191703,12.4,-2.3
191803,22.5,7.8
191903,7.8,-6.9
192003,11.5,-3.2
192103,13.6,-1.1
192203,17.2,2.5
192303,6.6,-8.1
192403,16.2,1.5
192503,15.9,1.2
192603,13.9,-0.8
192703,21,6.3
192803,16.6,1.9
192903,20,5.3
193003,15.8,1.1
193103,15.5,0.8
193203,9.1,-5.6
193303,18.2,3.5
193403,13.9,-0.8
193503,15.5,0.8
193603,16.2,1.5
193703,14.9,0.2
193803,22.1,7.4
193903,11.4,-3.3
194003,13.8,-0.9
194103,14.2,-0.5
194203,20.3,5.6
194303,5.9,-8.8
194403,6.2,-8.5
194503,21.3,6.6
194603,24.3,9.6
194703,13.1,-1.6
194803,6.6,-8.1
194903,12.2,-2.5
195003,9,-5.7
195103,1.4,-13.3
195203,8.9,-5.8
195303,15.6,0.9
195403,12.4,-2.3
195503,6.7,-8.0
195603,10.9,-3.8
195703,16,1.3
195803,17.4,2.7
195903,20.9,6.2
196003,6.7,-8.0
196103,22.2,7.5
196203,11.3,-3.4
196303,19.5,4.8
196403,7.1,-7.6
196503,3.9,-10.8
196603,19.7,5.0
196703,14.6,-0.1
196803,21.5,6.8
196903,6.8,-7.9
197003,7.2,-7.5
197103,15.6,0.9
197203,14.7,0.0
197303,26.5,11.8
197403,12.7,-2.0
197503,9.5,-5.2
197603,11.9,-2.8
197703,21.4,6.7
197803,15.3,0.6
197903,11.1,-3.6
198003,10.8,-3.9
198103,22.1,7.4
198203,13.8,-0.9
198303,21.1,6.4
198403,15.4,0.7
198503,21.3,6.6
198603,24.7,10.0
198703,20.3,5.6
198803,18.6,3.9
198903,11.4,-3.3
199003,20.9,6.2
199103,18.8,4.1
199203,23,8.3
199303,18.3,3.6
199403,21.3,6.6
199503,16.3,1.6
199603,7.5,-7.2
199703,12.4,-2.3
199803,13.4,-1.3
199903,21.5,6.8
200003,23.9,9.2
200103,17.5,2.8
200203,5.9,-8.8
200303,11.6,-3.1
200403,20.3,5.6
200503,18.3,3.6
200603,18.6,3.9
200703,21.8,7.1
200803,15,0.3
200903,10.5,-4.2
201003,23.5,8.8
201103,10.6,-4.1
201203,27.7,13.0
201303,6.9,-7.8
201403,12.4,-2.3
201503,21.1,6.4
