Massachusetts, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,13,-2.0
189601,12.2,-2.8
189701,14.9,-0.1
189801,14.5,-0.5
189901,13.8,-1.2
190001,14.6,-0.4
190101,14.5,-0.5
190201,12.8,-2.2
190301,15.6,0.6
190401,6,-9.0
190501,11.4,-3.6
190601,21.1,6.1
190701,13.5,-1.5
190801,16.2,1.2
190901,16.8,1.8
191001,17,2.0
191101,18,3.0
191201,6.4,-8.6
191301,24.2,9.2
191401,14.1,-0.9
191501,18.6,3.6
191601,18.1,3.1
191701,15.1,0.1
191801,5.7,-9.3
191901,19.2,4.2
192001,6.1,-8.9
192101,16,1.0
192201,10.8,-4.2
192301,10.7,-4.3
192401,15.7,0.7
192501,10.7,-4.3
192601,16.2,1.2
192701,15,0.0
192801,18.6,3.6
192901,14.1,-0.9
193001,17.1,2.1
193101,14.1,-0.9
193201,25.9,10.9
193301,23.2,8.2
193401,16.5,1.5
193501,9.4,-5.6
193601,14.3,-0.7
193701,23.4,8.4
193801,12.5,-2.5
193901,15.1,0.1
194001,8.8,-6.2
194101,12.7,-2.3
194201,13.4,-1.6
194301,13.1,-1.9
194401,17.1,2.1
194501,8.7,-6.3
194601,15,0.0
194701,18.1,3.1
194801,8.4,-6.6
194901,22.8,7.8
195001,23,8.0
195101,19.5,4.5
195201,19.4,4.4
195301,21.5,6.5
195401,12.7,-2.3
195501,15.8,0.8
195601,19.7,4.7
195701,7.6,-7.4
195801,18,3.0
195901,14,-1.0
196001,16.5,1.5
196101,7.5,-7.5
196201,14.3,-0.7
196301,13.9,-1.1
196401,16.1,1.1
196501,12,-3.0
196601,15.4,0.4
196701,20.8,5.8
196801,9.6,-5.4
196901,15.5,0.5
197001,5.9,-9.1
197101,7.6,-7.4
197201,16.4,1.4
197301,17.8,2.8
197401,17.6,2.6
197501,19.8,4.8
197601,9.5,-5.5
197701,6.3,-8.7
197801,14.1,-0.9
197901,18.2,3.2
198001,17.7,2.7
198101,5.6,-9.4
198201,6.3,-8.7
198301,17.6,2.6
198401,12,-3.0
198501,11,-4.0
198601,16.6,1.6
198701,14,-1.0
198801,11.2,-3.8
198901,19.5,4.5
199001,24.4,9.4
199101,15.3,0.3
199201,17.2,2.2
199301,19.6,4.6
199401,6.5,-8.5
199501,24.3,9.3
199601,15.3,0.3
199701,16.8,1.8
199801,23.8,8.8
199901,15.8,0.8
200001,13.6,-1.4
200101,14.8,-0.2
200201,24.1,9.1
200301,10.2,-4.8
200401,9.5,-5.5
200501,14.1,-0.9
200601,24,9.0
200701,21.7,6.7
200801,18.9,3.9
200901,10.3,-4.7
201001,17.8,2.8
201101,13.1,-1.9
201201,21.8,6.8
201301,18.7,3.7
201401,13.8,-1.2
201501,12.4,-2.6
201601,20.1,5.1
