Mississippi, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,68,1.1
189606,67.3,0.4
189706,68.5,1.6
189806,69.1,2.2
189906,67.9,1.0
190006,68.7,1.8
190106,67.8,0.9
190206,68.2,1.3
190306,62.4,-4.5
190406,66.1,-0.8
190506,68.7,1.8
190606,67.5,0.6
190706,64.6,-2.3
190806,67.1,0.2
190906,68.4,1.5
191006,64.8,-2.1
191106,68.6,1.7
191206,65.2,-1.7
191306,64.8,-2.1
191406,70.1,3.2
191506,66.8,-0.1
191606,65.9,-1.0
191706,64.8,-2.1
191806,68.8,1.9
191906,67.4,0.5
192006,65.5,-1.4
192106,68.4,1.5
192206,67.8,0.9
192306,66.6,-0.3
192406,69.7,2.8
192506,68.9,2.0
192606,65.8,-1.1
192706,68.4,1.5
192806,66.8,-0.1
192906,66.1,-0.8
193006,63.4,-3.5
193106,65.3,-1.6
193206,68.3,1.4
193306,64.6,-2.3
193406,68.5,1.6
193506,65.1,-1.8
193606,67,0.1
193706,68.1,1.2
193806,65.6,-1.3
193906,68.9,2.0
194006,66,-0.9
194106,67,0.1
194206,67.6,0.7
194306,69.8,2.9
194406,68.3,1.4
194506,67,0.1
194606,65.8,-1.1
194706,67.1,0.2
194806,67.2,0.3
194906,68.3,1.4
195006,67.4,0.5
195106,67.6,0.7
195206,69.6,2.7
195306,70.6,3.7
195406,67.3,0.4
195506,62.3,-4.6
195606,65.5,-1.4
195706,68.7,1.8
195806,67.5,0.6
195906,66.7,-0.2
196006,66.1,-0.8
196106,64,-2.9
196206,66.4,-0.5
196306,67.2,0.3
196406,67.3,0.4
196506,65.9,-1.0
196606,63.5,-3.4
196706,66.7,-0.2
196806,66.1,-0.8
196906,65.9,-1.0
197006,66,-0.9
197106,67,0.1
197206,64.9,-2.0
197306,67.5,0.6
197406,63.1,-3.8
197506,66.6,-0.3
197606,64,-2.9
197706,67.6,0.7
197806,67.6,0.7
197906,65.2,-1.7
198006,67,0.1
198106,69.9,3.0
198206,66.1,-0.8
198306,65.5,-1.4
198406,65.5,-1.4
198506,66.9,0.0
198606,69,2.1
198706,67.2,0.3
198806,63.9,-3.0
198906,67.2,0.3
199006,67.7,0.8
199106,68.7,1.8
199206,65.6,-1.3
199306,68,1.1
199406,69.3,2.4
199506,64.5,-2.4
199606,67.2,0.3
199706,67,0.1
199806,70.9,4.0
199906,68.4,1.5
200006,66.9,0.0
200106,66.2,-0.7
200206,66.9,0.0
200306,66.9,0.0
200406,68.5,1.6
200506,67.2,0.3
200606,65.8,-1.1
200706,67.2,0.3
200806,68,1.1
200906,68.5,1.6
201006,71.7,4.8
201106,70.3,3.4
201206,66.3,-0.6
201306,68.7,1.8
201406,69.2,2.3
201506,69.1,2.2
