Washington, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,19.9,-2.5
189601,24.1,1.7
189701,22.3,-0.1
189801,20.6,-1.8
189901,23.3,0.9
190001,27.8,5.4
190101,23,0.6
190201,22.1,-0.3
190301,26.2,3.8
190401,25.5,3.1
190501,25,2.6
190601,25.7,3.3
190701,12.9,-9.5
190801,24.2,1.8
190901,14,-8.4
191001,20.5,-1.9
191101,20.8,-1.6
191201,21.5,-0.9
191301,18,-4.4
191401,28.4,6.0
191501,20.4,-2.0
191601,9.3,-13.1
191701,19.1,-3.3
191801,27.7,5.3
191901,23.6,1.2
192001,22.6,0.2
192101,24.1,1.7
192201,14.4,-8.0
192301,25.8,3.4
192401,19.3,-3.1
192501,25,2.6
192601,26.5,4.1
192701,21.9,-0.5
192801,24,1.6
192901,13.4,-9.0
193001,6.8,-15.6
193101,28.1,5.7
193201,20.3,-2.1
193301,23.5,1.1
193401,29.6,7.2
193501,23.1,0.7
193601,25.7,3.3
193701,6.3,-16.1
193801,25.8,3.4
193901,28.1,5.7
194001,25.1,2.7
194101,26.8,4.4
194201,19.3,-3.1
194301,15.3,-7.1
194401,21.9,-0.5
194501,27,4.6
194601,24.4,2.0
194701,18.6,-3.8
194801,22.2,-0.2
194901,5.7,-16.7
195001,4.9,-17.5
195101,22.7,0.3
195201,18.4,-4.0
195301,31.9,9.5
195401,20.9,-1.5
195501,24.3,1.9
195601,23.5,1.1
195701,11.4,-11.0
195801,28.7,6.3
195901,24.6,2.2
196001,19.1,-3.3
196101,26.7,4.3
196201,20.5,-1.9
196301,17.7,-4.7
196401,26.5,4.1
196501,25.7,3.3
196601,24.8,2.4
196701,29.5,7.1
196801,24.7,2.3
196901,13.9,-8.5
197001,23.8,1.4
197101,25,2.6
197201,20,-2.4
197301,21.6,-0.8
197401,20.5,-1.9
197501,23,0.6
197601,26.2,3.8
197701,20,-2.4
197801,26.6,4.2
197901,11.6,-10.8
198001,17,-5.4
198101,31.2,8.8
198201,22.4,0.0
198301,30.1,7.7
198401,25.9,3.5
198501,20.9,-1.5
198601,27.5,5.1
198701,24.2,1.8
198801,23.2,0.8
198901,25.9,3.5
199001,29.3,6.9
199101,22.2,-0.2
199201,29.5,7.1
199301,18.4,-4.0
199401,31.2,8.8
199501,27.1,4.7
199601,23.6,1.2
199701,24.6,2.2
199801,26.7,4.3
199901,29.1,6.7
200001,25,2.6
200101,26.4,4.0
200201,27.6,5.2
200301,31.1,8.7
200401,25.1,2.7
200501,25.8,3.4
200601,31.1,8.7
200701,22.1,-0.3
200801,21,-1.4
200901,24,1.6
201001,31.5,9.1
201101,26.4,4.0
201201,23.9,1.5
201301,23.6,1.2
201401,28.3,5.9
201501,29.6,7.2
201601,28.2,5.8
