New Hampshire, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,51.4,-0.9
189608,53.1,0.8
189708,51.3,-1.0
189808,55.1,2.8
189908,51.4,-0.9
190008,53.6,1.3
190108,54.7,2.4
190208,49.3,-3.0
190308,46.8,-5.5
190408,50,-2.3
190508,49.7,-2.6
190608,54.4,2.1
190708,49,-3.3
190808,50.4,-1.9
190908,49.1,-3.2
191008,50,-2.3
191108,51.7,-0.6
191208,49.6,-2.7
191308,49.8,-2.5
191408,52.4,0.1
191508,52.4,0.1
191608,53,0.7
191708,55,2.7
191808,52,-0.3
191908,50.2,-2.1
192008,55.5,3.2
192108,49.7,-2.6
192208,52.8,0.5
192308,48.4,-3.9
192408,51.4,-0.9
192508,50.4,-1.9
192608,52.4,0.1
192708,49.6,-2.7
192808,57,4.7
192908,49,-3.3
193008,50.5,-1.8
193108,52.4,0.1
193208,52.7,0.4
193308,52.3,0.0
193408,48.2,-4.1
193508,53.1,0.8
193608,51.1,-1.2
193708,57.8,5.5
193808,55.3,3.0
193908,55.8,3.5
194008,49.8,-2.5
194108,48.5,-3.8
194208,52.1,-0.2
194308,52.2,-0.1
194408,53.7,1.4
194508,51.7,-0.6
194608,50.7,-1.6
194708,55.7,3.4
194808,54.1,1.8
194908,53.7,1.4
195008,51.5,-0.8
195108,52.1,-0.2
195208,52.5,0.2
195308,49.8,-2.5
195408,49.7,-2.6
195508,56.6,4.3
195608,50.4,-1.9
195708,47.5,-4.8
195808,51.3,-1.0
195908,55.8,3.5
196008,51.4,-0.9
196108,53.2,0.9
196208,52.8,0.5
196308,50.3,-2.0
196408,46.7,-5.6
196508,52.7,0.4
196608,52.1,-0.2
196708,53.9,1.6
196808,50.2,-2.1
196908,54.6,2.3
197008,53.4,1.1
197108,52.6,0.3
197208,51.3,-1.0
197308,57.5,5.2
197408,52.4,0.1
197508,53.4,1.1
197608,52.3,0.0
197708,53,0.7
197808,53.9,1.6
197908,53.6,1.3
198008,55,2.7
198108,51.9,-0.4
198208,50.1,-2.2
198308,53.9,1.6
198408,56.2,3.9
198508,51.8,-0.5
198608,52.6,0.3
198708,49.8,-2.5
198808,56.4,4.1
198908,52.9,0.6
199008,55.6,3.3
199108,55.3,3.0
199208,52.8,0.5
199308,54.8,2.5
199408,52,-0.3
199508,52.8,0.5
199608,53.9,1.6
199708,52.8,0.5
199808,54.3,2.0
199908,53,0.7
200008,53,0.7
200108,55.6,3.3
200208,55.3,3.0
200308,57.6,5.3
200408,55.1,2.8
200508,56,3.7
200608,52.7,0.4
200708,53,0.7
200808,53.2,0.9
200908,55.9,3.6
201008,54.4,2.1
201108,55.4,3.1
201208,55.9,3.6
201308,53.1,0.8
201408,52.8,0.5
201508,56.1,3.8
