Illinois, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,23.3,1.9
189612,25.7,4.3
189712,18.7,-2.7
189812,16.9,-4.5
189912,19,-2.4
190012,22.6,1.2
190112,16.7,-4.7
190212,19.6,-1.8
190312,13,-8.4
190412,18.6,-2.8
190512,21.5,0.1
190612,23.9,2.5
190712,25.1,3.7
190812,22.3,0.9
190912,12.3,-9.1
191012,17.1,-4.3
191112,26.2,4.8
191212,23.3,1.9
191312,28.9,7.5
191412,15.2,-6.2
191512,21.3,-0.1
191612,16.6,-4.8
191712,11.9,-9.5
191812,29.1,7.7
191912,14.3,-7.1
192012,23.7,2.3
192112,24.6,3.2
192212,20.8,-0.6
192312,30.6,9.2
192412,14.7,-6.7
192512,17.5,-3.9
192612,19.8,-1.6
192712,18,-3.4
192812,24.1,2.7
192912,21.5,0.1
193012,22.8,1.4
193112,31.4,10.0
193212,19.5,-1.9
193312,24.8,3.4
193412,19.9,-1.5
193512,16.9,-4.5
193612,24.7,3.3
193712,20.6,-0.8
193812,22,0.6
193912,24.9,3.5
194012,26.9,5.5
194112,28.8,7.4
194212,17.8,-3.6
194312,19.1,-2.3
194412,16,-5.4
194512,15.3,-6.1
194612,25.3,3.9
194712,24,2.6
194812,24,2.6
194912,24.8,3.4
195012,12.7,-8.7
195112,19,-2.4
195212,25.9,4.5
195312,22.5,1.1
195412,24.8,3.4
195512,18.1,-3.3
195612,26.7,5.3
195712,26.7,5.3
195812,15.1,-6.3
195912,28.8,7.4
196012,17.3,-4.1
196112,19.3,-2.1
196212,16.7,-4.7
196312,9,-12.4
196412,20.3,-1.1
196512,29.1,7.7
196612,22.8,1.4
196712,24,2.6
196812,21,-0.4
196912,20.4,-1.0
197012,24.2,2.8
197112,29.1,7.7
197212,19.7,-1.7
197312,20.4,-1.0
197412,25.1,3.7
197512,25.2,3.8
197612,12.8,-8.6
197712,17.7,-3.7
197812,21.2,-0.2
197912,25,3.6
198012,22.8,1.4
198112,19.3,-2.1
198212,30.7,9.3
198312,10.3,-11.1
198412,26.7,5.3
198512,11.5,-9.9
198612,25.2,3.8
198712,27.6,6.2
198812,21,-0.4
198912,8.4,-13.0
199012,21.5,0.1
199112,25.4,4.0
199212,23.2,1.8
199312,25,3.6
199412,28.3,6.9
199512,19.9,-1.5
199612,22.9,1.5
199712,26.3,4.9
199812,26.1,4.7
199912,24,2.6
200012,9.3,-12.1
200112,27.9,6.5
200212,23.5,2.1
200312,26.2,4.8
200412,22.5,1.1
200512,19.1,-2.3
200612,27,5.6
200712,23,1.6
200812,17,-4.4
200912,22.2,0.8
201012,16.8,-4.6
201112,28.4,7.0
201212,29,7.6
201312,17.4,-4.0
201412,27.9,6.5
201512,33.9,12.5
