North Dakota, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.5,0.1
189612,7.8,4.4
189712,1.2,-2.2
189812,1.8,-1.6
189912,2.6,-0.8
190012,8.4,5.0
190112,3.6,0.2
190212,-4.6,-8.0
190312,1.3,-2.1
190412,3.6,0.2
190512,5.3,1.9
190612,-1.5,-4.9
190712,8.5,5.1
190812,5,1.6
190912,-3.3,-6.7
191012,2.3,-1.1
191112,7.6,4.2
191212,7.7,4.3
191312,10.8,7.4
191412,-4.7,-8.1
191512,5.8,2.4
191612,-8.6,-12.0
191712,-9.7,-13.1
191812,9,5.6
191912,-1.3,-4.7
192012,5.5,2.1
192112,7.5,4.1
192212,-1.5,-4.9
192312,10.7,7.3
192412,-7.6,-11.0
192512,7,3.6
192612,-1.6,-5.0
192712,-12.2,-15.6
192812,10.4,7.0
192912,1.2,-2.2
193012,10.4,7.0
193112,11,7.6
193212,1.9,-1.5
193312,-3.3,-6.7
193412,2.7,-0.7
193512,3,-0.4
193612,4.7,1.3
193712,.1,-3.3
193812,8.2,4.8
193912,14.7,11.3
194012,8.9,5.5
194112,11.9,8.5
194212,-.3,-3.7
194312,8.9,5.5
194412,5.3,1.9
194512,-2.9,-6.3
194612,3.5,0.1
194712,3.5,0.1
194812,-.4,-3.8
194912,-2.8,-6.2
195012,-.1,-3.5
195112,-4,-7.4
195212,8.4,5.0
195312,9.3,5.9
195412,12.9,9.5
195512,-5.1,-8.5
195612,7.5,4.1
195712,11.7,8.3
195812,.7,-2.7
195912,16.1,12.7
196012,3.2,-0.2
196112,-3.5,-6.9
196212,7,3.6
196312,-.8,-4.2
196412,-6.6,-10.0
196512,10.7,7.3
196612,4.2,0.8
196712,4,0.6
196812,0,-3.4
196912,7.7,4.3
197012,-1,-4.4
197112,-.2,-3.6
197212,-3.2,-6.6
197312,2.8,-0.6
197412,10.5,7.1
197512,5.6,2.2
197612,.3,-3.1
197712,-.7,-4.1
197812,-2.8,-6.2
197912,10.9,7.5
198012,4.8,1.4
198112,3.7,0.3
198212,10.5,7.1
198312,-11.1,-14.5
198412,-2.6,-6.0
198512,-3.7,-7.1
198612,11.2,7.8
198712,13.7,10.3
198812,5.9,2.5
198912,-3.8,-7.2
199012,-1.9,-5.3
199112,10.4,7.0
199212,.1,-3.3
199312,7.5,4.1
199412,8.5,5.1
199512,3.4,0.0
199612,-3.3,-6.7
199712,16.8,13.4
199812,8.4,5.0
199912,13.8,10.4
200012,-6.4,-9.8
200112,8.8,5.4
200212,11.9,8.5
200312,11.5,8.1
200412,10,6.6
200512,10.5,7.1
200612,10.9,7.5
200712,2.4,-1.0
200812,-4.6,-8.0
200912,-.3,-3.7
201012,2.2,-1.2
201112,13.9,10.5
201212,4.8,1.4
201312,-4.2,-7.6
201412,10.2,6.8
201512,13.5,10.1
