New Mexico, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,49.1,-0.7
189609,51.8,2.0
189709,52.9,3.1
189809,48.4,-1.4
189909,50.6,0.8
190009,51.5,1.7
190109,50,0.2
190209,48.4,-1.4
190309,49.3,-0.5
190409,51.1,1.3
190509,50.9,1.1
190609,49.2,-0.6
190709,49.7,-0.1
190809,47.5,-2.3
190909,48.3,-1.5
191009,51.9,2.1
191109,53.9,4.1
191209,45.7,-4.1
191309,46.4,-3.4
191409,50.8,1.0
191509,49.1,-0.7
191609,48.7,-1.1
191709,51,1.2
191809,48.6,-1.2
191909,52.3,2.5
192009,49.6,-0.2
192109,51.6,1.8
192209,51.9,2.1
192309,48.5,-1.3
192409,47.5,-2.3
192509,50.3,0.5
192609,52.6,2.8
192709,50.8,1.0
192809,47.5,-2.3
192909,50.2,0.4
193009,48.3,-1.5
193109,53.9,4.1
193209,48.1,-1.7
193309,53.3,3.5
193409,48.9,-0.9
193509,48.8,-1.0
193609,50.4,0.6
193709,51.8,2.0
193809,50.2,0.4
193909,51.9,2.1
194009,51.4,1.6
194109,49.7,-0.1
194209,48.2,-1.6
194309,49.3,-0.5
194409,48.9,-0.9
194509,48.9,-0.9
194609,52.2,2.4
194709,50.6,0.8
194809,49.8,0.0
194909,51,1.2
195009,48.1,-1.7
195109,48.4,-1.4
195209,48.8,-1.0
195309,47.3,-2.5
195409,52.4,2.6
195509,49.4,-0.4
195609,48.8,-1.0
195709,46.6,-3.2
195809,51.8,2.0
195909,47.9,-1.9
196009,50.3,0.5
196109,47.7,-2.1
196209,51.8,2.0
196309,52.2,2.4
196409,51.2,1.4
196509,49,-0.8
196609,50,0.2
196709,49.6,-0.2
196809,46,-3.8
196909,51.3,1.5
197009,48.8,-1.0
197109,48.1,-1.7
197209,50.5,0.7
197309,47.6,-2.2
197409,47.7,-2.1
197509,48,-1.8
197609,49.6,-0.2
197709,52,2.2
197809,50,0.2
197909,49.5,-0.3
198009,51.2,1.4
198109,50.7,0.9
198209,52,2.2
198309,53.1,3.3
198409,49.4,-0.4
198509,48.3,-1.5
198609,49,-0.8
198709,47.7,-2.1
198809,47.5,-2.3
198909,48.8,-1.0
199009,52.9,3.1
199109,49.5,-0.3
199209,49.2,-0.6
199309,47.6,-2.2
199409,50.4,0.6
199509,50.9,1.1
199609,48.6,-1.2
199709,54.2,4.4
199809,53.4,3.6
199909,50,0.2
200009,51.1,1.3
200109,50.7,0.9
200209,51.4,1.6
200309,50.7,0.9
200409,49.2,-0.6
200509,52.3,2.5
200609,47.4,-2.4
200709,52.6,2.8
200809,49.2,-0.6
200909,49.4,-0.4
201009,52.7,2.9
201109,51.6,1.8
201209,51.1,1.3
201309,53,3.2
201409,54.2,4.4
201509,54.2,4.4
