Maryland, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,59.2,2.9
189609,55.5,-0.8
189709,54.2,-2.1
189809,58.3,2.0
189909,53.9,-2.4
190009,61.8,5.5
190109,55.8,-0.5
190209,54.7,-1.6
190309,54.8,-1.5
190409,55.6,-0.7
190509,55.5,-0.8
190609,60.6,4.3
190709,58.5,2.2
190809,53.7,-2.6
190909,54.5,-1.8
191009,58.7,2.4
191109,59.6,3.3
191209,59.2,2.9
191309,55.5,-0.8
191409,51.5,-4.8
191509,57.5,1.2
191609,53,-3.3
191709,52,-4.3
191809,51.6,-4.7
191909,55.7,-0.6
192009,57,0.7
192109,61.8,5.5
192209,57.2,0.9
192309,58,1.7
192409,53.4,-2.9
192509,60.5,4.2
192609,58.2,1.9
192709,55.1,-1.2
192809,53.7,-2.6
192909,56.4,0.1
193009,60.3,4.0
193109,60.7,4.4
193209,55.7,-0.6
193309,60.4,4.1
193409,59.4,3.1
193509,54.1,-2.2
193609,58.4,2.1
193709,52.3,-4.0
193809,56.1,-0.2
193909,57,0.7
194009,52.4,-3.9
194109,56.9,0.6
194209,56.7,0.4
194309,52.7,-3.6
194409,58.2,1.9
194509,60.5,4.2
194609,55.1,-1.2
194709,57.3,1.0
194809,54.6,-1.7
194909,53.2,-3.1
195009,55.3,-1.0
195109,55.1,-1.2
195209,54.2,-2.1
195309,54.6,-1.7
195409,57.3,1.0
195509,57.1,0.8
195609,54.1,-2.2
195709,58.9,2.6
195809,54,-2.3
195909,58,1.7
196009,57.9,1.6
196109,60.9,4.6
196209,52.8,-3.5
196309,51.8,-4.5
196409,54.3,-2.0
196509,58.2,1.9
196609,54.6,-1.7
196709,52.2,-4.1
196809,54.9,-1.4
196909,55.6,-0.7
197009,58.5,2.2
197109,60.4,4.1
197209,57.5,1.2
197309,58.4,2.1
197409,55.5,-0.8
197509,55.4,-0.9
197609,54.3,-2.0
197709,59.6,3.3
197809,56.6,0.3
197909,57.5,1.2
198009,59.1,2.8
198109,55.4,-0.9
198209,55.3,-1.0
198309,55.4,-0.9
198409,53,-3.3
198509,56.1,-0.2
198609,57.5,1.2
198709,58.5,2.2
198809,54.6,-1.7
198909,58.1,1.8
199009,55.6,-0.7
199109,55.7,-0.6
199209,57,0.7
199309,57.8,1.5
199409,54.9,-1.4
199509,56.1,-0.2
199609,57.9,1.6
199709,55.5,-0.8
199809,59.9,3.6
199909,57.8,1.5
200009,55.7,-0.6
200109,54.4,-1.9
200209,58.5,2.2
200309,58.9,2.6
200409,59.3,3.0
200509,59.1,2.8
200609,56.3,0.0
200709,57.7,1.4
200809,58.8,2.5
200909,57.3,1.0
201009,58.5,2.2
201109,61,4.7
201209,57,0.7
201309,54.5,-1.8
201409,58,1.7
201509,60.7,4.4
