Alaska, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192502,-12.2,-9.2
192602,-4.7,-1.7
192702,-1,2.0
192802,5.4,8.4
192902,5.8,8.8
193002,-14.2,-11.2
193102,1.9,4.9
193202,-14.7,-11.7
193302,-5.8,-2.8
193402,5.9,8.9
193502,3.3,6.3
193602,-8.5,-5.5
193702,-9,-6.0
193802,-8.6,-5.6
193902,0,3.0
194002,1.3,4.3
194102,5.3,8.3
194202,11,14.0
194302,1.9,4.9
194402,7.4,10.4
194502,3.6,6.6
194602,-3.1,-0.1
194702,-.5,2.5
194802,-7.1,-4.1
194902,-10.6,-7.6
195002,-16,-13.0
195102,-6.8,-3.8
195202,-3.5,-0.5
195302,-1.9,1.1
195402,-15.2,-12.2
195502,-10.3,-7.3
195602,-10.7,-7.7
195702,-5.2,-2.2
195802,.2,3.2
195902,6.3,9.3
196002,4.2,7.2
196102,-7.4,-4.4
196202,6.1,9.1
196302,1.5,4.5
196402,-4.9,-1.9
196502,-12.4,-9.4
196602,-3.1,-0.1
196702,-3,0.0
196802,-4.8,-1.8
196902,-4.4,-1.4
197002,5.3,8.3
197102,-8.8,-5.8
197202,-10.5,-7.5
197302,-2.8,0.2
197402,-15.4,-12.4
197502,-7.6,-4.6
197602,-12.9,-9.9
197702,8.5,11.5
197802,3.2,6.2
197902,-17,-14.0
198002,4.6,7.6
198102,1.8,4.8
198202,-2.7,0.3
198302,.8,3.8
198402,-14,-11.0
198502,-7.9,-4.9
198602,2.9,5.9
198702,.8,3.8
198802,1.2,4.2
198902,6.6,9.6
199002,-20.7,-17.7
199102,-3.1,-0.1
199202,-7,-4.0
199302,3.1,6.1
199402,-3.3,-0.3
199502,.6,3.6
199602,-4.5,-1.5
199702,8.5,11.5
199802,3.2,6.2
199902,-11.6,-8.6
200002,9.5,12.5
200102,7,10.0
200202,1.5,4.5
200302,10.8,13.8
200402,3.2,6.2
200502,.4,3.4
200602,4.3,7.3
200702,-1.6,1.4
200802,-6.6,-3.6
200902,-3.8,-0.8
201002,3.6,6.6
201102,-2.7,0.3
201202,4.7,7.7
201302,-.8,2.2
201402,-1.1,1.9
201502,5.5,8.5
201602,10.2,13.2
