Arizona, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,35.4,-0.4
189603,38,2.2
189703,33,-2.8
189803,33.9,-1.9
189903,35.7,-0.1
190003,40.5,4.7
190103,34.6,-1.2
190203,32.9,-2.9
190303,36.3,0.5
190403,39.2,3.4
190503,41.3,5.5
190603,38.1,2.3
190703,37.5,1.7
190803,37.7,1.9
190903,33.5,-2.3
191003,39.8,4.0
191103,40.5,4.7
191203,36.6,0.8
191303,32,-3.8
191403,38.1,2.3
191503,35.6,-0.2
191603,39.4,3.6
191703,30,-5.8
191803,39.2,3.4
191903,34,-1.8
192003,34.5,-1.3
192103,39.1,3.3
192203,32.9,-2.9
192303,33,-2.8
192403,32.1,-3.7
192503,35.9,0.1
192603,38.2,2.4
192703,35,-0.8
192803,38.3,2.5
192903,34,-1.8
193003,35.6,-0.2
193103,34.9,-0.9
193203,35.7,-0.1
193303,34.6,-1.2
193403,40.3,4.5
193503,34.8,-1.0
193603,36.5,0.7
193703,35.2,-0.6
193803,35.7,-0.1
193903,35.9,0.1
194003,37.6,1.8
194103,36.9,1.1
194203,32.1,-3.7
194303,38.1,2.3
194403,33,-2.8
194503,33.1,-2.7
194603,35.1,-0.7
194703,35.9,0.1
194803,30.9,-4.9
194903,34,-1.8
195003,35.6,-0.2
195103,34,-1.8
195203,31.6,-4.2
195303,35.8,0.0
195403,34.7,-1.1
195503,33.9,-1.9
195603,33.5,-2.3
195703,38,2.2
195803,34.3,-1.5
195903,34.4,-1.4
196003,37.9,2.1
196103,35.5,-0.3
196203,31.4,-4.4
196303,34.2,-1.6
196403,31.2,-4.6
196503,33.4,-2.4
196603,35.6,-0.2
196703,37.4,1.6
196803,36.9,1.1
196903,31.8,-4.0
197003,34.5,-1.3
197103,34.3,-1.5
197203,40.2,4.4
197303,33.6,-2.2
197403,38.1,2.3
197503,34,-1.8
197603,33.7,-2.1
197703,31.5,-4.3
197803,40.7,4.9
197903,35.4,-0.4
198003,35.6,-0.2
198103,36.5,0.7
198203,37.2,1.4
198303,37.8,2.0
198403,35.4,-0.4
198503,36.7,0.9
198603,40.4,4.6
198703,34.1,-1.7
198803,34.7,-1.1
198903,39.9,4.1
199003,38.4,2.6
199103,33.7,-2.1
199203,38.4,2.6
199303,38.1,2.3
199403,39.1,3.3
199503,38.3,2.5
199603,37.2,1.4
199703,38.7,2.9
199803,35.7,-0.1
199903,37.3,1.5
200003,37,1.2
200103,37.9,2.1
200203,33.9,-1.9
200303,37.2,1.4
200403,43.3,7.5
200503,37.3,1.5
200603,35.5,-0.3
200703,39.5,3.7
200803,36.5,0.7
200903,37.5,1.7
201003,35.6,-0.2
201103,38.3,2.5
201203,36.1,0.3
201303,39.7,3.9
201403,39.5,3.7
201503,42.1,6.3
