Missouri, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,12.2,-11.0
189602,25,1.8
189702,26,2.8
189802,24.2,1.0
189902,9,-14.2
190002,15.1,-8.1
190102,18,-5.2
190202,13.4,-9.8
190302,19.6,-3.6
190402,19.9,-3.3
190502,10.1,-13.1
190602,20.6,-2.6
190702,22.6,-0.6
190802,23.7,0.5
190902,25.3,2.1
191002,16.9,-6.3
191102,27,3.8
191202,17.4,-5.8
191302,18.4,-4.8
191402,16.3,-6.9
191502,29.8,6.6
191602,20.4,-2.8
191702,16.6,-6.6
191802,20.9,-2.3
191902,23.7,0.5
192002,24.2,1.0
192102,29,5.8
192202,23.7,0.5
192302,19.5,-3.7
192402,23.2,0.0
192502,26.7,3.5
192602,28.3,5.1
192702,29.4,6.2
192802,25.8,2.6
192902,14,-9.2
193002,32.4,9.2
193102,29.5,6.3
193202,30,6.8
193302,19.7,-3.5
193402,19.8,-3.4
193502,27.3,4.1
193602,10.7,-12.5
193702,21.5,-1.7
193802,30.5,7.3
193902,20,-3.2
194002,23.9,0.7
194102,22,-1.2
194202,22.8,-0.4
194302,24.3,1.1
194402,25.2,2.0
194502,24.6,1.4
194602,26.8,3.6
194702,16.8,-6.4
194802,22.2,-1.0
194902,23.2,0.0
195002,24.7,1.5
195102,24,0.8
195202,28.7,5.5
195302,27.2,4.0
195402,30.5,7.3
195502,22.3,-0.9
195602,25.2,2.0
195702,29.8,6.6
195802,15,-8.2
195902,23.3,0.1
196002,20.7,-2.5
196102,26.5,3.3
196202,25.7,2.5
196302,18,-5.2
196402,22.3,-0.9
196502,20.6,-2.6
196602,21.8,-1.4
196702,19.7,-3.5
196802,19.9,-3.3
196902,26,2.8
197002,21.6,-1.6
197102,22.2,-1.0
197202,23,-0.2
197302,24,0.8
197402,26,2.8
197502,23.5,0.3
197602,31,7.8
197702,23.2,0.0
197802,12.6,-10.6
197902,12.7,-10.5
198002,18.3,-4.9
198102,23.3,0.1
198202,19.6,-3.6
198302,27.6,4.4
198402,28.8,5.6
198502,18.4,-4.8
198602,24.9,1.7
198702,29.4,6.2
198802,18.8,-4.4
198902,16.3,-6.9
199002,28.7,5.5
199102,27.8,4.6
199202,31,7.8
199302,21.1,-2.1
199402,21.9,-1.3
199502,24.8,1.6
199602,23.3,0.1
199702,29.5,6.3
199802,33.1,9.9
199902,32.6,9.4
200002,31.5,8.3
200102,24.2,1.0
200202,26.5,3.3
200302,21.8,-1.4
200402,22.8,-0.4
200502,30.7,7.5
200602,22.3,-0.9
200702,19.8,-3.4
200802,22.2,-1.0
200902,26.9,3.7
201002,19.7,-3.5
201102,23.3,0.1
201202,30.1,6.9
201302,24.9,1.7
201402,16.2,-7.0
201502,15.7,-7.5
