Oklahoma, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,63.2,2.6
189609,58.6,-2.0
189709,59.9,-0.7
189809,60.1,-0.5
189909,57.5,-3.1
190009,64.6,4.0
190109,60.4,-0.2
190209,54.4,-6.2
190309,57.5,-3.1
190409,62.4,1.8
190509,62,1.4
190609,62.6,2.0
190709,60.4,-0.2
190809,59.8,-0.8
190909,59.1,-1.5
191009,64.2,3.6
191109,67.3,6.7
191209,58.6,-2.0
191309,59,-1.6
191409,62.8,2.2
191509,63,2.4
191609,58.9,-1.7
191709,59.3,-1.3
191809,54.1,-6.5
191909,62.4,1.8
192009,62.2,1.6
192109,66.5,5.9
192209,61.1,0.5
192309,62.2,1.6
192409,56.3,-4.3
192509,64.8,4.2
192609,63,2.4
192709,61.4,0.8
192809,57.3,-3.3
192909,59.5,-1.1
193009,63,2.4
193109,66.9,6.3
193209,60.4,-0.2
193309,66.3,5.7
193409,57.9,-2.7
193509,58.3,-2.3
193609,65.8,5.2
193709,62,1.4
193809,60.7,0.1
193909,63.9,3.3
194009,59.7,-0.9
194109,63.1,2.5
194209,58.5,-2.1
194309,59,-1.6
194409,59.5,-1.1
194509,60.3,-0.3
194609,60.1,-0.5
194709,62.6,2.0
194809,59.2,-1.4
194909,56.6,-4.0
195009,59.7,-0.9
195109,59.3,-1.3
195209,57.9,-2.7
195309,58.9,-1.7
195409,63.4,2.8
195509,62.9,2.3
195609,60.4,-0.2
195709,57,-3.6
195809,63.1,2.5
195909,60.6,0.0
196009,61.4,0.8
196109,58.7,-1.9
196209,60.6,0.0
196309,62.1,1.5
196409,61.1,0.5
196509,60.6,0.0
196609,58.1,-2.5
196709,57.6,-3.0
196809,56.6,-4.0
196909,61.5,0.9
197009,62.7,2.1
197109,60.8,0.2
197209,63.8,3.2
197309,61.3,0.7
197409,54,-6.6
197509,55.8,-4.8
197609,58.7,-1.9
197709,64.3,3.7
197809,64.7,4.1
197909,58,-2.6
198009,63.8,3.2
198109,60.2,-0.4
198209,59.8,-0.8
198309,60.9,0.3
198409,58.3,-2.3
198509,61.3,0.7
198609,64.2,3.6
198709,58.6,-2.0
198809,59.6,-1.0
198909,56.3,-4.3
199009,62.8,2.2
199109,59.9,-0.7
199209,59.5,-1.1
199309,56.7,-3.9
199409,58.3,-2.3
199509,60,-0.6
199609,58.1,-2.5
199709,62,1.4
199809,66.7,6.1
199909,58.1,-2.5
200009,59.6,-1.0
200109,58.8,-1.8
200209,61.1,0.5
200309,57.6,-3.0
200409,60.3,-0.3
200509,63.3,2.7
200609,56,-4.6
200709,62.8,2.2
200809,58.5,-2.1
200909,59.6,-1.0
201009,62.9,2.3
201109,56.2,-4.4
201209,61,0.4
201309,62.5,1.9
201409,61.8,1.2
201509,64.4,3.8
