New Hampshire, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.7,-2.0
189601,5.4,-1.3
189701,7.2,0.5
189801,4.3,-2.4
189901,4.6,-2.1
190001,4.7,-2.0
190101,5.8,-0.9
190201,4.5,-2.2
190301,7,0.3
190401,-1.2,-7.9
190501,2.8,-3.9
190601,13.3,6.6
190701,3,-3.7
190801,8.2,1.5
190901,8.4,1.7
191001,9.5,2.8
191101,8.1,1.4
191201,-2.1,-8.8
191301,16.3,9.6
191401,4,-2.7
191501,10.3,3.6
191601,9.4,2.7
191701,5.9,-0.8
191801,-3.6,-10.3
191901,11.3,4.6
192001,-4,-10.7
192101,8.1,1.4
192201,.4,-6.3
192301,2.2,-4.5
192401,6.9,0.2
192501,-.7,-7.4
192601,7.2,0.5
192701,7.6,0.9
192801,10.3,3.6
192901,5.5,-1.2
193001,8.2,1.5
193101,5.4,-1.3
193201,18.2,11.5
193301,16.8,10.1
193401,6.8,0.1
193501,.2,-6.5
193601,6.2,-0.5
193701,15.4,8.7
193801,4.1,-2.6
193901,5.7,-1.0
194001,1.2,-5.5
194101,4.7,-2.0
194201,6,-0.7
194301,3.5,-3.2
194401,8.1,1.4
194501,.3,-6.4
194601,5.2,-1.5
194701,8,1.3
194801,.3,-6.4
194901,15.6,8.9
195001,14.2,7.5
195101,11.3,4.6
195201,10.1,3.4
195301,13.7,7.0
195401,4.6,-2.1
195501,8,1.3
195601,14.4,7.7
195701,-2.6,-9.3
195801,12.2,5.5
195901,6.1,-0.6
196001,9.2,2.5
196101,-1.8,-8.5
196201,4.3,-2.4
196301,6.9,0.2
196401,9.5,2.8
196501,4.3,-2.4
196601,8,1.3
196701,12.6,5.9
196801,.7,-6.0
196901,8.2,1.5
197001,-1.9,-8.6
197101,-.9,-7.6
197201,6.8,0.1
197301,9.9,3.2
197401,9.7,3.0
197501,10.7,4.0
197601,.1,-6.6
197701,.1,-6.6
197801,6.7,0.0
197901,10.2,3.5
198001,10,3.3
198101,-1.5,-8.2
198201,-3,-9.7
198301,10.2,3.5
198401,4.1,-2.6
198501,3.6,-3.1
198601,8.5,1.8
198701,6.6,-0.1
198801,4.4,-2.3
198901,11.3,4.6
199001,16.9,10.2
199101,7.3,0.6
199201,8.8,2.1
199301,12,5.3
199401,-3.2,-9.9
199501,17,10.3
199601,7.4,0.7
199701,8.1,1.4
199801,15,8.3
199901,8,1.3
200001,6.9,0.2
200101,7.9,1.2
200201,18.2,11.5
200301,1.5,-5.2
200401,1.6,-5.1
200501,6.1,-0.6
200601,17.2,10.5
200701,12.5,5.8
200801,12.1,5.4
200901,1.4,-5.3
201001,12.7,6.0
201101,7,0.3
201201,13.9,7.2
201301,10.1,3.4
201401,6.9,0.2
201501,3.3,-3.4
201601,14.5,7.8
