Idaho, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,38.3,-1.8
189609,39.5,-0.6
189709,41.4,1.3
189809,39,-1.1
189909,40.6,0.5
190009,39.6,-0.5
190109,37.7,-2.4
190209,37.2,-2.9
190309,37.4,-2.7
190409,40.7,0.6
190509,40.7,0.6
190609,40.4,0.3
190709,39.3,-0.8
190809,40.5,0.4
190909,42.9,2.8
191009,41.2,1.1
191109,38.5,-1.6
191209,35.3,-4.8
191309,39.6,-0.5
191409,38.4,-1.7
191509,39.3,-0.8
191609,38.9,-1.2
191709,41.7,1.6
191809,42.9,2.8
191909,41,0.9
192009,41.3,1.2
192109,35.9,-4.2
192209,40.8,0.7
192309,41.5,1.4
192409,39.1,-1.0
192509,41.6,1.5
192609,34.7,-5.4
192709,40.4,0.3
192809,38.5,-1.6
192909,36.6,-3.5
193009,40.8,0.7
193109,40.9,0.8
193209,37.6,-2.5
193309,38.3,-1.8
193409,38,-2.1
193509,40.4,0.3
193609,37.8,-2.3
193709,41.8,1.7
193809,44.3,4.2
193909,40.8,0.7
194009,45.6,5.5
194109,38.5,-1.6
194209,39.9,-0.2
194309,40.5,0.4
194409,40.4,0.3
194509,38.4,-1.7
194609,39.1,-1.0
194709,40.6,0.5
194809,39.7,-0.4
194909,41.3,1.2
195009,41.2,1.1
195109,39.1,-1.0
195209,40.5,0.4
195309,41,0.9
195409,39.3,-0.8
195509,39.5,-0.6
195609,38.9,-1.2
195709,39.7,-0.4
195809,40,-0.1
195909,41.4,1.3
196009,41.5,1.4
196109,37.9,-2.2
196209,39.8,-0.3
196309,46,5.9
196409,37.3,-2.8
196509,36.2,-3.9
196609,44.3,4.2
196709,43.8,3.7
196809,40.5,0.4
196909,41.8,1.7
197009,36.3,-3.8
197109,36,-4.1
197209,38,-2.1
197309,40.5,0.4
197409,38.3,-1.8
197509,38.5,-1.6
197609,41.8,1.7
197709,40.7,0.6
197809,41,0.9
197909,41.3,1.2
198009,42.1,2.0
198109,41,0.9
198209,41.5,1.4
198309,39.8,-0.3
198409,38.6,-1.5
198509,37.7,-2.4
198609,39.1,-1.0
198709,40.3,0.2
198809,39.3,-0.8
198909,40.2,0.1
199009,45.5,5.4
199109,41.9,1.8
199209,39.4,-0.7
199309,38.9,-1.2
199409,42.6,2.5
199509,41.7,1.6
199609,38.4,-1.7
199709,43.8,3.7
199809,46.4,6.3
199909,38,-2.1
200009,39.9,-0.2
200109,43.3,3.2
200209,41.2,1.1
200309,41.4,1.3
200409,40.4,0.3
200509,38.9,-1.2
200609,40.1,0.0
200709,40.4,0.3
200809,39.7,-0.4
200909,43.8,3.7
201009,41.2,1.1
201109,43.4,3.3
201209,42,1.9
201309,45,4.9
201409,43.4,3.3
201509,42.5,2.4
