Ohio, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,58.3,1.0
189606,57.6,0.3
189706,55.1,-2.2
189806,58.8,1.5
189906,59.1,1.8
190006,58.4,1.1
190106,59,1.7
190206,55.6,-1.7
190306,53.7,-3.6
190406,57.4,0.1
190506,58,0.7
190606,58.2,0.9
190706,54.4,-2.9
190806,56.3,-1.0
190906,59.5,2.2
191006,53.7,-3.6
191106,58.9,1.6
191206,53.9,-3.4
191306,55.4,-1.9
191406,57.6,0.3
191506,55,-2.3
191606,52.9,-4.4
191706,55,-2.3
191806,55.6,-1.7
191906,61.7,4.4
192006,56.8,-0.5
192106,60.6,3.3
192206,58.4,1.1
192306,58,0.7
192406,56.5,-0.8
192506,60,2.7
192606,52.8,-4.5
192706,52,-5.3
192806,54.2,-3.1
192906,54,-3.3
193006,55.4,-1.9
193106,57.5,0.2
193206,57.8,0.5
193306,59.7,2.4
193406,61.5,4.2
193506,55.5,-1.8
193606,55.5,-1.8
193706,58.4,1.1
193806,55.6,-1.7
193906,61.1,3.8
194006,58.9,1.6
194106,58.7,1.4
194206,59.5,2.2
194306,62.9,5.6
194406,60.2,2.9
194506,55.7,-1.6
194606,56.5,-0.8
194706,55.9,-1.4
194806,56.8,-0.5
194906,60.5,3.2
195006,55.5,-1.8
195106,57.9,0.6
195206,60.7,3.4
195306,59,1.7
195406,59.1,1.8
195506,53.3,-4.0
195606,57.6,0.3
195706,59.3,2.0
195806,53.6,-3.7
195906,56.8,-0.5
196006,55.9,-1.4
196106,54.6,-2.7
196206,57.7,0.4
196306,55.7,-1.6
196406,57.4,0.1
196506,56.1,-1.2
196606,56.1,-1.2
196706,59.1,1.8
196806,57.5,0.2
196906,56.3,-1.0
197006,57.9,0.6
197106,60.1,2.8
197206,53.5,-3.8
197306,60.1,2.8
197406,55.5,-1.8
197506,59.4,2.1
197606,58.4,1.1
197706,54.7,-2.6
197806,57.7,0.4
197906,56.7,-0.6
198006,53.9,-3.4
198106,59.2,1.9
198206,54.6,-2.7
198306,57.3,0.0
198406,59.7,2.4
198506,54.6,-2.7
198606,57.7,0.4
198706,59.9,2.6
198806,54.2,-3.1
198906,58.7,1.4
199006,57.2,-0.1
199106,60.2,2.9
199206,53.9,-3.4
199306,57.5,0.2
199406,59.3,2.0
199506,59.9,2.6
199606,59.5,2.2
199706,58.1,0.8
199806,59.2,1.9
199906,59.4,2.1
200006,59.3,2.0
200106,57.5,0.2
200206,60.1,2.8
200306,55.5,-1.8
200406,57.5,0.2
200506,61.2,3.9
200606,56.4,-0.9
200706,57.9,0.6
200806,59.9,2.6
200906,58,0.7
201006,62,4.7
201106,59.6,2.3
201206,57.4,0.1
201306,59,1.7
201406,60,2.7
201506,60.5,3.2
