Virginia, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,60.2,0.7
189606,60.6,1.1
189706,59.9,0.4
189806,60.2,0.7
189906,62.4,2.9
190006,62.1,2.6
190106,60.7,1.2
190206,58.5,-1.0
190306,56.8,-2.7
190406,59.9,0.4
190506,60.9,1.4
190606,61.7,2.2
190706,55.3,-4.2
190806,58.8,-0.7
190906,62.5,3.0
191006,58,-1.5
191106,60.6,1.1
191206,58,-1.5
191306,59.2,-0.3
191406,61.3,1.8
191506,58.2,-1.3
191606,57.2,-2.3
191706,58.2,-1.3
191806,57.8,-1.7
191906,61,1.5
192006,57.9,-1.6
192106,60.4,0.9
192206,62,2.5
192306,61,1.5
192406,60.1,0.6
192506,62.2,2.7
192606,56.6,-2.9
192706,56.4,-3.1
192806,59.1,-0.4
192906,58,-1.5
193006,58.1,-1.4
193106,59.1,-0.4
193206,59.9,0.4
193306,59.9,0.4
193406,63,3.5
193506,58.8,-0.7
193606,59,-0.5
193706,61.8,2.3
193806,58.5,-1.0
193906,63.3,3.8
194006,61.2,1.7
194106,59.9,0.4
194206,62.1,2.6
194306,65.1,5.6
194406,61.2,1.7
194506,59.4,-0.1
194606,58.4,-1.1
194706,58.2,-1.3
194806,59.7,0.2
194906,61,1.5
195006,58.6,-0.9
195106,59.8,0.3
195206,62.8,3.3
195306,60.7,1.2
195406,58.5,-1.0
195506,54.6,-4.9
195606,58.7,-0.8
195706,62,2.5
195806,57.7,-1.8
195906,58.4,-1.1
196006,59,-0.5
196106,57.8,-1.7
196206,59.3,-0.2
196306,58.1,-1.4
196406,59,-0.5
196506,57.7,-1.8
196606,56.7,-2.8
196706,57.1,-2.4
196806,58.6,-0.9
196906,61,1.5
197006,59.2,-0.3
197106,61.2,1.7
197206,55.7,-3.8
197306,62.1,2.6
197406,56.8,-2.7
197506,59.7,0.2
197606,59.5,0.0
197706,57.2,-2.3
197806,58.7,-0.8
197906,56.1,-3.4
198006,56.9,-2.6
198106,62.6,3.1
198206,59.4,-0.1
198306,58.4,-1.1
198406,60.6,1.1
198506,58.1,-1.4
198606,60.2,0.7
198706,61.3,1.8
198806,56.6,-2.9
198906,62.7,3.2
199006,58.9,-0.6
199106,60.4,0.9
199206,57.3,-2.2
199306,58.9,-0.6
199406,62.4,2.9
199506,60.9,1.4
199606,60.8,1.3
199706,57.7,-1.8
199806,61.3,1.8
199906,59.3,-0.2
200006,62.1,2.6
200106,60.6,1.1
200206,60.5,1.0
200306,59,-0.5
200406,61.3,1.8
200506,61.2,1.7
200606,59.6,0.1
200706,60.4,0.9
200806,61.4,1.9
200906,61.2,1.7
201006,64.8,5.3
201106,61.8,2.3
201206,57.9,-1.6
201306,62.3,2.8
201406,61.5,2.0
201506,63.8,4.3
