Georgia, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.3,0.6
189606,67.5,1.8
189706,69,3.3
189806,68.5,2.8
189906,67.8,2.1
190006,67.3,1.6
190106,66.6,0.9
190206,67.1,1.4
190306,63.6,-2.1
190406,65,-0.7
190506,67.3,1.6
190606,67.6,1.9
190706,63.7,-2.0
190806,65.6,-0.1
190906,67.7,2.0
191006,64.3,-1.4
191106,67.6,1.9
191206,65.1,-0.6
191306,63.9,-1.8
191406,69.3,3.6
191506,66.3,0.6
191606,65.5,-0.2
191706,64.6,-1.1
191806,66.5,0.8
191906,66.4,0.7
192006,65.1,-0.6
192106,67,1.3
192206,67,1.3
192306,65.8,0.1
192406,67.8,2.1
192506,67.4,1.7
192606,65.6,-0.1
192706,66.7,1.0
192806,65.2,-0.5
192906,64.6,-1.1
193006,63.8,-1.9
193106,65.3,-0.4
193206,66.9,1.2
193306,65.1,-0.6
193406,67.4,1.7
193506,64.9,-0.8
193606,65.7,0.0
193706,67.3,1.6
193806,64.3,-1.4
193906,68.3,2.6
194006,65.9,0.2
194106,67.2,1.5
194206,66.8,1.1
194306,68.4,2.7
194406,67.2,1.5
194506,66,0.3
194606,64.3,-1.4
194706,65.1,-0.6
194806,66,0.3
194906,66,0.3
195006,66.6,0.9
195106,65.9,0.2
195206,69.5,3.8
195306,67.5,1.8
195406,65.3,-0.4
195506,61.1,-4.6
195606,64.3,-1.4
195706,67.1,1.4
195806,66.5,0.8
195906,65.7,0.0
196006,64.7,-1.0
196106,63.3,-2.4
196206,65.6,-0.1
196306,65.5,-0.2
196406,66.5,0.8
196506,64.1,-1.6
196606,61.8,-3.9
196706,64.2,-1.5
196806,64.5,-1.2
196906,66.2,0.5
197006,64.2,-1.5
197106,65.4,-0.3
197206,61,-4.7
197306,66.3,0.6
197406,62.2,-3.5
197506,65.3,-0.4
197606,63.3,-2.4
197706,65.3,-0.4
197806,66.4,0.7
197906,63.5,-2.2
198006,65.4,-0.3
198106,68.6,2.9
198206,66,0.3
198306,63.7,-2.0
198406,64.6,-1.1
198506,66,0.3
198606,67.8,2.1
198706,66.5,0.8
198806,62.8,-2.9
198906,66.7,1.0
199006,65.7,0.0
199106,66.4,0.7
199206,65.1,-0.6
199306,66.3,0.6
199406,67.7,2.0
199506,64.8,-0.9
199606,65.3,-0.4
199706,64.2,-1.5
199806,68.3,2.6
199906,66.2,0.5
200006,65.4,-0.3
200106,66.1,0.4
200206,66.3,0.6
200306,65.9,0.2
200406,68.1,2.4
200506,67.3,1.6
200606,64.7,-1.0
200706,65.8,0.1
200806,66.9,1.2
200906,68.5,2.8
201006,69.9,4.2
201106,68.1,2.4
201206,64.3,-1.4
201306,68.2,2.5
201406,67.6,1.9
201506,68.1,2.4
