South Dakota, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,44.4,-1.6
189609,42,-4.0
189709,51.6,5.6
189809,44.5,-1.5
189909,43.5,-2.5
190009,46.5,0.5
190109,44.9,-1.1
190209,40.7,-5.3
190309,42.6,-3.4
190409,44.4,-1.6
190509,47.1,1.1
190609,48.9,2.9
190709,42.8,-3.2
190809,49.7,3.7
190909,46.6,0.6
191009,46.2,0.2
191109,47.5,1.5
191209,42.5,-3.5
191309,47,1.0
191409,47.6,1.6
191509,45.2,-0.8
191609,43.6,-2.4
191709,45.5,-0.5
191809,40.9,-5.1
191909,49.4,3.4
192009,47.4,1.4
192109,47.1,1.1
192209,47.7,1.7
192309,47.8,1.8
192409,44.3,-1.7
192509,50,4.0
192609,43.6,-2.4
192709,47.1,1.1
192809,43.2,-2.8
192909,44,-2.0
193009,45.5,-0.5
193109,51.5,5.5
193209,44,-2.0
193309,50,4.0
193409,40.9,-5.1
193509,45.8,-0.2
193609,49,3.0
193709,48.2,2.2
193809,50,4.0
193909,47.7,1.7
194009,51.5,5.5
194109,47.4,1.4
194209,43.1,-2.9
194309,43.7,-2.3
194409,45,-1.0
194509,44.3,-1.7
194609,45.9,-0.1
194709,46.4,0.4
194809,50.5,4.5
194909,42.3,-3.7
195009,46.3,0.3
195109,42.4,-3.6
195209,47.9,1.9
195309,44.7,-1.3
195409,47.5,1.5
195509,46.1,0.1
195609,43.7,-2.3
195709,43.9,-2.1
195809,47.1,1.1
195909,45.5,-0.5
196009,47.2,1.2
196109,42.9,-3.1
196209,43.1,-2.9
196309,51,5.0
196409,43.6,-2.4
196509,38.9,-7.1
196609,46.6,0.6
196709,46.9,0.9
196809,45.3,-0.7
196909,48.7,2.7
197009,45.7,-0.3
197109,45.1,-0.9
197209,45,-1.0
197309,45.5,-0.5
197409,40.9,-5.1
197509,43.1,-2.9
197609,45.8,-0.2
197709,48.1,2.1
197809,50.1,4.1
197909,48.1,2.1
198009,46.1,0.1
198109,46.2,0.2
198209,46.1,0.1
198309,46.2,0.2
198409,41.7,-4.3
198509,45.9,-0.1
198609,46.6,0.6
198709,46,0.0
198809,45.6,-0.4
198909,46.3,0.3
199009,50,4.0
199109,46.9,0.9
199209,45.1,-0.9
199309,41.8,-4.2
199409,48.6,2.6
199509,45.9,-0.1
199609,46.9,0.9
199709,49.3,3.3
199809,52,6.0
199909,43.6,-2.4
200009,46.6,0.6
200109,48.6,2.6
200209,49.3,3.3
200309,45.2,-0.8
200409,50,4.0
200509,50.6,4.6
200609,44.9,-1.1
200709,48.3,2.3
200809,46.3,0.3
200909,50,4.0
201009,46.1,0.1
201109,45,-1.0
201209,45.4,-0.6
201309,52.2,6.2
201409,47.2,1.2
201509,52.2,6.2
