Massachusetts, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,56.5,-0.2
189608,57.6,0.9
189708,55.6,-1.1
189808,59.5,2.8
189908,55.7,-1.0
190008,57.9,1.2
190108,58.2,1.5
190208,53.3,-3.4
190308,51.5,-5.2
190408,54.4,-2.3
190508,54.6,-2.1
190608,59.3,2.6
190708,53.9,-2.8
190808,55.4,-1.3
190908,54.1,-2.6
191008,54.8,-1.9
191108,55.5,-1.2
191208,54.1,-2.6
191308,55.1,-1.6
191408,57.4,0.7
191508,55.9,-0.8
191608,57.1,0.4
191708,59.2,2.5
191808,57.3,0.6
191908,54.4,-2.3
192008,59.1,2.4
192108,53.9,-2.8
192208,56.8,0.1
192308,52.7,-4.0
192408,56,-0.7
192508,55.1,-1.6
192608,57.6,0.9
192708,53.6,-3.1
192808,60.6,3.9
192908,53.3,-3.4
193008,55,-1.7
193108,58.1,1.4
193208,56.7,0.0
193308,57.6,0.9
193408,53.7,-3.0
193508,56.4,-0.3
193608,56.3,-0.4
193708,61.3,4.6
193808,59.5,2.8
193908,60.3,3.6
194008,53.2,-3.5
194108,53.6,-3.1
194208,56.1,-0.6
194308,56.2,-0.5
194408,58.3,1.6
194508,55.7,-1.0
194608,54.5,-2.2
194708,59.4,2.7
194808,58.4,1.7
194908,58.4,1.7
195008,56.2,-0.5
195108,56.3,-0.4
195208,57.5,0.8
195308,55,-1.7
195408,54.4,-2.3
195508,60.5,3.8
195608,55.8,-0.9
195708,52.7,-4.0
195808,56.8,0.1
195908,59.7,3.0
196008,57,0.3
196108,57.6,0.9
196208,56,-0.7
196308,54.3,-2.4
196408,51.5,-5.2
196508,57,0.3
196608,56.5,-0.2
196708,58.2,1.5
196808,55.4,-1.3
196908,59,2.3
197008,57.6,0.9
197108,56.8,0.1
197208,56.1,-0.6
197308,61.2,4.5
197408,57,0.3
197508,58,1.3
197608,56.4,-0.3
197708,57.9,1.2
197808,59.4,2.7
197908,58.4,1.7
198008,59.9,3.2
198108,55.8,-0.9
198208,54.6,-2.1
198308,58.4,1.7
198408,60.3,3.6
198508,57.2,0.5
198608,56,-0.7
198708,54.8,-1.9
198808,61.2,4.5
198908,58.1,1.4
199008,60.3,3.6
199108,59.5,2.8
199208,56.4,-0.3
199308,58.6,1.9
199408,56.9,0.2
199508,56.7,0.0
199608,58.6,1.9
199708,57.1,0.4
199808,59.5,2.8
199908,57.8,1.1
200008,57.3,0.6
200108,61.1,4.4
200208,59.9,3.2
200308,62.2,5.5
200408,59.5,2.8
200508,61.6,4.9
200608,57.9,1.2
200708,58.1,1.4
200808,56.8,0.1
200908,61.1,4.4
201008,59.3,2.6
201108,59.9,3.2
201208,60.5,3.8
201308,57.2,0.5
201408,56.2,-0.5
201508,60.2,3.5
