Contiguous U.S., Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,67.8,-0.69
189606,69.89,1.40
189706,68.11,-0.38
189806,69.31,0.82
189906,68.65,0.16
190006,70.3,1.81
190106,68.43,-0.06
190206,68.04,-0.45
190306,65.89,-2.60
190406,67.26,-1.23
190506,68,-0.49
190606,67.32,-1.17
190706,65.7,-2.79
190806,66.92,-1.57
190906,68.94,0.45
191006,68.29,-0.20
191106,70.75,2.26
191206,66.7,-1.79
191306,68.22,-0.27
191406,69.35,0.86
191506,66.07,-2.42
191606,66.31,-2.18
191706,66.97,-1.52
191806,71.15,2.66
191906,69.3,0.81
192006,67.37,-1.12
192106,70.36,1.87
192206,70.14,1.65
192306,68.04,-0.45
192406,68.59,0.10
192506,69.84,1.35
192606,68.2,-0.29
192706,67.21,-1.28
192806,65.91,-2.58
192906,67.5,-0.99
193006,68.41,-0.08
193106,70.7,2.21
193206,69.24,0.75
193306,71.56,3.07
193406,70.68,2.19
193506,67.64,-0.85
193606,70.61,2.12
193706,68.79,0.30
193806,68.77,0.28
193906,68.86,0.37
194006,69.6,1.11
194106,67.8,-0.69
194206,67.91,-0.58
194306,68.77,0.28
194406,68.36,-0.13
194506,65.88,-2.61
194606,68.32,-0.17
194706,66.72,-1.77
194806,68.76,0.27
194906,69.24,0.75
195006,67.93,-0.56
195106,66.65,-1.84
195206,70.75,2.26
195306,70.18,1.69
195406,68.85,0.36
195506,66.54,-1.95
195606,70.36,1.87
195706,68.7,0.21
195806,67.93,-0.56
195906,69.96,1.47
196006,69.08,0.59
196106,69.49,1.00
196206,67.91,-0.58
196306,68.67,0.18
196406,68,-0.49
196506,66.85,-1.64
196606,67.93,-0.56
196706,67.55,-0.94
196806,68.5,0.01
196906,66.83,-1.66
197006,68.74,0.25
197106,69.44,0.95
197206,68.22,-0.27
197306,68.95,0.46
197406,68.49,0.00
197506,67.51,-0.98
197606,67.8,-0.69
197706,70.34,1.85
197806,68.94,0.45
197906,67.82,-0.67
198006,68.74,0.25
198106,69.82,1.33
198206,66.33,-2.16
198306,67.1,-1.39
198406,68.61,0.12
198506,68.11,-0.38
198606,70.41,1.92
198706,70.25,1.76
198806,70.88,2.39
198906,68.13,-0.36
199006,70.23,1.74
199106,69.08,0.59
199206,67.44,-1.05
199306,67.21,-1.28
199406,70.95,2.46
199506,67.55,-0.94
199606,69.87,1.38
199706,68.31,-0.18
199806,68.13,-0.36
199906,68.31,-0.18
200006,69.03,0.54
200106,69.24,0.75
200206,70.86,2.37
200306,68.05,-0.44
200406,68.09,-0.40
200506,69.21,0.72
200606,70.75,2.26
200706,69.87,1.38
200806,69.6,1.11
200906,68.54,0.05
201006,70.48,1.99
201106,69.82,1.33
201206,70.54,2.05
201306,70.39,1.90
201406,69.58,1.09
201506,71.35,2.86
