Contiguous U.S., Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,155,-12
189605,116,-51
189705,171,4
189805,173,6
189905,169,2
190005,147,-20
190105,175,8
190205,154,-13
190305,149,-18
190405,151,-16
190505,179,12
190605,173,6
190705,254,87
190805,175,8
190905,200,33
191005,195,28
191105,127,-40
191205,153,-14
191305,173,6
191405,141,-26
191505,214,47
191605,172,5
191705,284,117
191805,135,-32
191905,172,5
192005,201,34
192105,170,3
192205,132,-35
192305,186,19
192405,223,56
192505,203,36
192605,159,-8
192705,190,23
192805,164,-3
192905,182,15
193005,165,-2
193105,165,-2
193205,158,-9
193305,163,-4
193405,107,-60
193505,223,56
193605,113,-54
193705,144,-23
193805,173,6
193905,129,-38
194005,168,1
194105,124,-43
194205,154,-13
194305,164,-3
194405,114,-53
194505,216,49
194605,186,19
194705,178,11
194805,186,19
194905,144,-23
195005,176,9
195105,150,-17
195205,168,1
195305,162,-5
195405,205,38
195505,140,-27
195605,171,4
195705,166,-1
195805,156,-11
195905,131,-36
196005,177,10
196105,213,46
196205,135,-32
196305,174,7
196405,140,-27
196505,131,-36
196605,197,30
196705,238,71
196805,204,37
196905,147,-20
197005,135,-32
197105,209,42
197205,150,-17
197305,192,25
197405,182,15
197505,132,-35
197605,189,22
197705,137,-30
197805,170,3
197905,160,-7
198005,157,-10
198105,177,10
198205,128,-39
198305,198,31
198405,179,12
198505,134,-33
198605,135,-32
198705,117,-50
198805,145,-22
198905,172,5
199005,193,26
199105,113,-54
199205,158,-9
199305,138,-29
199405,181,14
199505,186,19
199605,172,5
199705,199,32
199805,127,-40
199905,152,-15
200005,122,-45
200105,120,-47
200205,192,25
200305,173,6
200405,115,-52
200505,190,23
200605,142,-25
200705,117,-50
200805,188,21
200905,136,-31
201005,141,-26
201105,157,-10
201205,98,-69
201305,136,-31
201405,128,-39
201505,119,-48
