Contiguous U.S., Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,974,209
189602,749,-16
189702,749,-16
189802,746,-19
189902,945,180
190002,835,70
190102,895,130
190202,877,112
190302,821,56
190402,862,97
190502,955,190
190602,782,17
190702,797,32
190802,830,65
190902,699,-66
191002,855,90
191102,738,-27
191202,876,111
191302,837,72
191402,891,126
191502,703,-62
191602,805,40
191702,853,88
191802,766,1
191902,772,7
192002,811,46
192102,695,-70
192202,740,-25
192302,866,101
192402,784,19
192502,645,-120
192602,718,-47
192702,637,-128
192802,750,-15
192902,884,119
193002,621,-144
193102,687,-78
193202,655,-110
193302,797,32
193402,878,113
193502,747,-18
193602,947,182
193702,775,10
193802,669,-96
193902,768,3
194002,774,9
194102,810,45
194202,846,81
194302,720,-45
194402,732,-33
194502,737,-28
194602,747,-18
194702,862,97
194802,805,40
194902,723,-42
195002,731,-34
195102,743,-22
195202,698,-67
195302,689,-76
195402,596,-169
195502,780,15
195602,743,-22
195702,641,-124
195802,875,110
195902,776,11
196002,800,35
196102,684,-81
196202,750,-15
196302,841,76
196402,818,53
196502,788,23
196602,803,38
196702,824,59
196802,836,71
196902,786,21
197002,763,-2
197102,766,1
197202,786,21
197302,780,15
197402,757,-8
197502,746,-19
197602,614,-151
197702,750,-15
197802,952,187
197902,942,177
198002,827,62
198102,692,-73
198202,771,6
198302,707,-58
198402,649,-116
198502,804,39
198602,723,-42
198702,709,-56
198802,768,3
198902,822,57
199002,650,-115
199102,628,-137
199202,634,-131
199302,815,50
199402,798,33
199502,732,-33
199602,730,-35
199702,665,-100
199802,623,-142
199902,635,-130
200002,629,-136
200102,710,-55
200202,666,-99
200302,798,33
200402,762,-3
200502,670,-95
200602,722,-43
200702,838,73
200802,729,-36
200902,695,-70
201002,811,46
201102,744,-21
201202,632,-133
201302,738,-27
201402,806,41
201502,879,114
201602,637,-128
