Contiguous U.S., Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1017,92
189601,916,-9
189701,987,62
189801,886,-39
189901,937,12
190001,858,-67
190101,900,-25
190201,958,33
190301,930,5
190401,1057,132
190501,1032,107
190601,819,-106
190701,863,-62
190801,892,-33
190901,847,-78
191001,944,19
191101,835,-90
191201,1114,189
191301,825,-100
191401,836,-89
191501,953,28
191601,866,-59
191701,938,13
191801,1170,245
191901,867,-58
192001,1009,84
192101,831,-94
192201,1000,75
192301,842,-83
192401,994,69
192501,962,37
192601,937,12
192701,911,-14
192801,889,-36
192901,984,59
193001,1011,86
193101,871,-54
193201,768,-157
193301,760,-165
193401,811,-114
193501,915,-10
193601,1006,81
193701,890,-35
193801,894,-31
193901,843,-82
194001,1149,224
194101,893,-32
194201,944,19
194301,928,3
194401,869,-56
194501,991,66
194601,891,-34
194701,845,-80
194801,1046,121
194901,893,-32
195001,786,-139
195101,890,-35
195201,830,-95
195301,774,-151
195401,905,-20
195501,952,27
195601,923,-2
195701,993,68
195801,935,10
195901,959,34
196001,910,-15
196101,996,71
196201,994,69
196301,1073,148
196401,891,-34
196501,913,-12
196601,1024,99
196701,832,-93
196801,988,63
196901,946,21
197001,1067,142
197101,978,53
197201,898,-27
197301,911,-14
197401,845,-80
197501,830,-95
197601,976,51
197701,1184,259
197801,1061,136
197901,1084,159
198001,886,-39
198101,979,54
198201,1059,134
198301,876,-49
198401,994,69
198501,1054,129
198601,852,-73
198701,917,-8
198801,998,73
198901,785,-140
199001,727,-198
199101,912,-13
199201,844,-81
199301,853,-72
199401,1008,83
199501,840,-85
199601,931,6
199701,917,-8
199801,757,-168
199901,840,-85
200001,869,-56
200101,920,-5
200201,779,-146
200301,939,14
200401,960,35
200501,849,-76
200601,685,-240
200701,840,-85
200801,886,-39
200901,952,27
201001,930,5
201101,957,32
201201,764,-161
201301,833,-92
201401,979,54
201501,900,-25
201601,881,-44
