Contiguous U.S., Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,345,-14
189604,307,-52
189704,356,-3
189804,396,37
189904,351,-8
190004,357,-2
190104,419,60
190204,376,17
190304,375,16
190404,434,75
190504,368,9
190604,330,-29
190704,475,116
190804,333,-26
190904,389,30
191004,306,-53
191104,410,51
191204,367,8
191304,354,-5
191404,371,12
191504,278,-81
191604,384,25
191704,403,44
191804,398,39
191904,364,5
192004,443,84
192104,309,-50
192204,360,1
192304,386,27
192404,382,23
192504,293,-66
192604,420,61
192704,365,6
192804,429,70
192904,345,-14
193004,328,-31
193104,353,-6
193204,373,14
193304,374,15
193404,327,-32
193504,394,35
193604,403,44
193704,388,29
193804,330,-29
193904,381,22
194004,403,44
194104,297,-62
194204,303,-56
194304,389,30
194404,416,57
194504,324,-35
194604,319,-40
194704,350,-9
194804,312,-47
194904,349,-10
195004,427,68
195104,378,19
195204,338,-21
195304,398,39
195404,278,-81
195504,298,-61
195604,405,46
195704,331,-28
195804,348,-11
195904,323,-36
196004,298,-61
196104,428,69
196204,352,-7
196304,342,-17
196404,355,-4
196504,366,7
196604,387,28
196704,368,9
196804,329,-30
196904,322,-37
197004,362,3
197104,391,32
197204,387,28
197304,375,16
197404,327,-32
197504,460,101
197604,327,-32
197704,282,-77
197804,361,2
197904,373,14
198004,350,-9
198104,272,-87
198204,417,58
198304,434,75
198404,381,22
198504,270,-89
198604,305,-54
198704,315,-44
198804,349,-10
198904,343,-16
199004,325,-34
199104,297,-62
199204,343,-16
199304,374,15
199404,299,-60
199504,378,19
199604,360,1
199704,407,48
199804,338,-21
199904,327,-32
200004,338,-21
200104,306,-53
200204,290,-69
200304,355,-4
200404,308,-51
200504,312,-47
200604,273,-86
200704,373,14
200804,325,-34
200904,334,-25
201004,272,-87
201104,314,-45
201204,293,-66
201304,349,-10
201404,327,-32
201504,303,-56
