Contiguous U.S., Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,843,0
189612,819,-24
189712,874,31
189812,929,86
189912,858,15
190012,823,-20
190112,905,62
190212,895,52
190312,966,123
190412,914,71
190512,865,22
190612,816,-27
190712,799,-44
190812,821,-22
190912,1012,169
191012,941,98
191112,799,-44
191212,814,-29
191312,794,-49
191412,985,142
191512,865,22
191612,918,75
191712,1011,168
191812,764,-79
191912,954,111
192012,822,-21
192112,790,-53
192212,805,-38
192312,696,-147
192412,932,89
192512,876,33
192612,896,53
192712,889,46
192812,819,-24
192912,826,-17
193012,895,52
193112,719,-124
193212,868,25
193312,773,-70
193412,866,23
193512,957,114
193612,780,-63
193712,863,20
193812,814,-29
193912,750,-93
194012,745,-98
194112,746,-97
194212,882,39
194312,879,36
194412,930,87
194512,965,122
194612,754,-89
194712,854,11
194812,811,-32
194912,789,-54
195012,892,49
195112,838,-5
195212,818,-25
195312,796,-47
195412,835,-8
195512,902,59
195612,710,-133
195712,737,-106
195812,929,86
195912,761,-82
196012,953,110
196112,870,27
196212,898,55
196312,1025,182
196412,826,-17
196512,760,-83
196612,847,4
196712,814,-29
196812,908,65
196912,869,26
197012,812,-31
197112,739,-104
197212,848,5
197312,810,-33
197412,811,-32
197512,815,-28
197612,943,100
197712,846,3
197812,859,16
197912,759,-84
198012,831,-12
198112,848,5
198212,704,-139
198312,987,144
198412,710,-133
198512,948,105
198612,795,-48
198712,777,-66
198812,828,-15
198912,1057,214
199012,796,-47
199112,748,-95
199212,824,-19
199312,822,-21
199412,724,-119
199512,863,20
199612,757,-86
199712,802,-41
199812,717,-126
199912,755,-88
200012,984,141
200112,698,-145
200212,813,-30
200312,788,-55
200412,799,-44
200512,861,18
200612,691,-152
200712,798,-45
200812,827,-16
200912,873,30
201012,904,61
201112,727,-116
201212,702,-141
201312,835,-8
201412,712,-131
201512,584,-259
