Contiguous U.S., Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,692,65
189603,736,109
189703,646,19
189803,569,-58
189903,703,76
190003,695,68
190103,650,23
190203,596,-31
190303,535,-92
190403,638,11
190503,562,-65
190603,779,152
190703,533,-94
190803,558,-69
190903,676,49
191003,456,-171
191103,620,-7
191203,771,144
191303,640,13
191403,687,60
191503,766,139
191603,692,65
191703,671,44
191803,537,-90
191903,612,-15
192003,650,23
192103,451,-176
192203,630,3
192303,694,67
192403,727,100
192503,563,-64
192603,727,100
192703,590,-37
192803,617,-10
192903,545,-82
193003,656,29
193103,690,63
193203,734,107
193303,644,17
193403,649,22
193503,557,-70
193603,548,-79
193703,718,91
193803,526,-101
193903,615,-12
194003,684,57
194103,736,109
194203,608,-19
194303,686,59
194403,690,63
194503,466,-161
194603,463,-164
194703,733,106
194803,645,18
194903,633,6
195003,710,83
195103,654,27
195203,693,66
195303,577,-50
195403,669,42
195503,622,-5
195603,666,39
195703,631,4
195803,714,87
195903,638,11
196003,840,213
196103,581,-46
196203,707,80
196303,577,-50
196403,653,26
196503,750,123
196603,595,-32
196703,607,-20
196803,583,-44
196903,750,123
197003,695,68
197103,692,65
197203,609,-18
197303,522,-105
197403,562,-65
197503,694,67
197603,556,-71
197703,543,-84
197803,677,50
197903,584,-43
198003,684,57
198103,626,-1
198203,622,-5
198303,595,-32
198403,696,69
198503,562,-65
198603,542,-85
198703,578,-49
198803,593,-34
198903,595,-32
199003,532,-95
199103,568,-59
199203,596,-31
199303,653,26
199403,583,-44
199503,553,-74
199603,700,73
199703,541,-86
199803,593,-34
199903,636,9
200003,490,-137
200103,653,26
200203,621,-6
200303,573,-54
200403,491,-136
200503,643,16
200603,600,-27
200703,497,-130
200803,610,-17
200903,577,-50
201003,552,-75
201103,583,-44
201203,381,-246
201303,664,37
201403,690,63
201503,591,-36
