Contiguous U.S., Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,59,-15
189609,103,29
189709,63,-11
189809,55,-19
189909,85,11
190009,63,-11
190109,86,12
190209,96,22
190309,88,14
190409,77,3
190509,69,-5
190609,50,-24
190709,81,7
190809,59,-15
190909,89,15
191009,72,-2
191109,77,3
191209,82,8
191309,85,11
191409,88,14
191509,65,-9
191609,88,14
191709,104,30
191809,131,57
191909,65,-9
192009,65,-9
192109,50,-24
192209,50,-24
192309,67,-7
192409,118,44
192509,59,-15
192609,89,15
192709,68,-6
192809,109,35
192909,75,1
193009,58,-16
193109,40,-34
193209,70,-4
193309,54,-20
193409,69,-5
193509,82,8
193609,56,-18
193709,80,6
193809,73,-1
193909,50,-24
194009,82,8
194109,65,-9
194209,83,9
194309,89,15
194409,62,-12
194509,62,-12
194609,67,-7
194709,56,-18
194809,59,-15
194909,104,30
195009,96,22
195109,83,9
195209,64,-10
195309,60,-14
195409,66,-8
195509,66,-8
195609,92,18
195709,72,-2
195809,70,-4
195909,58,-16
196009,56,-18
196109,57,-17
196209,99,25
196309,84,10
196409,82,8
196509,88,14
196609,88,14
196709,90,16
196809,68,-6
196909,68,-6
197009,64,-10
197109,56,-18
197209,74,0
197309,69,-5
197409,100,26
197509,106,32
197609,88,14
197709,65,-9
197809,66,-8
197909,63,-11
198009,59,-15
198109,80,6
198209,81,7
198309,58,-16
198409,93,19
198509,77,3
198609,83,9
198709,65,-9
198809,76,2
198909,77,3
199009,59,-15
199109,72,-2
199209,78,4
199309,92,18
199409,68,-6
199509,80,6
199609,77,3
199709,66,-8
199809,36,-38
199909,64,-10
200009,73,-1
200109,72,-2
200209,42,-32
200309,66,-8
200409,52,-22
200509,42,-32
200609,86,12
200709,49,-25
200809,55,-19
200909,62,-12
201009,52,-22
201109,57,-17
201209,60,-14
201309,59,-15
201409,57,-17
201509,31,-43
