Contiguous U.S., Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.89,-1.34
189609,.46,0.01
189709,-1.95,-2.40
189809,1.05,0.60
189909,-1.22,-1.67
190009,.39,-0.06
190109,-1,-1.45
190209,.88,0.43
190309,-.03,-0.48
190409,-.09,-0.54
190509,2.82,2.37
190609,4.38,3.93
190709,4.44,3.99
190809,3.33,2.88
190909,1.9,1.45
191009,-3.46,-3.91
191109,.4,-0.05
191209,3.36,2.91
191309,.71,0.26
191409,-.28,-0.73
191509,4.48,4.03
191609,-.29,-0.74
191709,-.61,-1.06
191809,.19,-0.26
191909,1.13,0.68
192009,3.63,3.18
192109,-.84,-1.29
192209,-1.79,-2.24
192309,2.14,1.69
192409,-.23,-0.68
192509,.13,-0.32
192609,1.28,0.83
192709,2.97,2.52
192809,3.52,3.07
192909,.38,-0.07
193009,-3.48,-3.93
193109,-5.02,-5.47
193209,-.88,-1.33
193309,-2.07,-2.52
193409,-7.18,-7.63
193509,-1.48,-1.93
193609,-4.79,-5.24
193709,-3.27,-3.72
193809,-.57,-1.02
193909,-3.34,-3.79
194009,-4.16,-4.61
194109,2.39,1.94
194209,3.6,3.15
194309,-1.05,-1.50
194409,-.13,-0.58
194509,3.66,3.21
194609,1.71,1.26
194709,1.56,1.11
194809,-.96,-1.41
194909,1.17,0.72
195009,2.57,2.12
195109,1.64,1.19
195209,-2.94,-3.39
195309,-2.92,-3.37
195409,-4.62,-5.07
195509,-3.68,-4.13
195609,-4.39,-4.84
195709,2.21,1.76
195809,3.63,3.18
195909,.56,0.11
196009,-.65,-1.10
196109,1.71,1.26
196209,-.11,-0.56
196309,-2.78,-3.23
196409,-.48,-0.93
196509,2.77,2.32
196609,-1.85,-2.30
196709,2.07,1.62
196809,2.03,1.58
196909,1.66,1.21
197009,.54,0.09
197109,1,0.55
197209,1.77,1.32
197309,4.6,4.15
197409,3.13,2.68
197509,4.38,3.93
197609,.04,-0.41
197709,1.33,0.88
197809,-.12,-0.57
197909,2.74,2.29
198009,-1.52,-1.97
198109,1.35,0.90
198209,3.34,2.89
198309,3.25,2.80
198409,2.49,2.04
198509,.98,0.53
198609,2.18,1.73
198709,-1.51,-1.96
198809,-4.25,-4.70
198909,2.07,1.62
199009,-.8,-1.25
199109,1.21,0.76
199209,2.14,1.69
199309,4.82,4.37
199409,.68,0.23
199509,2.65,2.20
199609,3,2.55
199709,3.63,3.18
199809,-.89,-1.34
199909,-.24,-0.69
200009,-4.7,-5.15
200109,-2.69,-3.14
200209,-.04,-0.49
200309,.3,-0.15
200409,2.63,2.18
200509,-.79,-1.24
200609,-2.89,-3.34
200709,-2.1,-2.55
200809,1.24,0.79
200909,1.24,0.79
201009,2.95,2.50
201109,-1.57,-2.02
201209,-5,-5.45
201309,1.84,1.39
201409,1.66,1.21
201509,1.12,0.67
