Contiguous U.S., Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.47,0.99
189601,.28,-0.20
189701,1.25,0.77
189801,-1.88,-2.36
189901,2.11,1.63
190001,-1.81,-2.29
190101,-.72,-1.20
190201,-3.7,-4.18
190301,2.18,1.70
190401,-1.65,-2.13
190501,-2.7,-3.18
190601,3.22,2.74
190701,5.43,4.95
190801,3.66,3.18
190901,1.44,0.96
191001,1.77,1.29
191101,-4.63,-5.11
191201,1.56,1.08
191301,2.12,1.64
191401,1.05,0.57
191501,.11,-0.37
191601,5.4,4.92
191701,-.74,-1.22
191801,-4.18,-4.66
191901,.83,0.35
192001,3.67,3.19
192101,3.47,2.99
192201,-2.07,-2.55
192301,-2.35,-2.83
192401,2.8,2.32
192501,-2.23,-2.71
192601,1.33,0.85
192701,2.5,2.02
192801,2.74,2.26
192901,2.33,1.85
193001,.83,0.35
193101,-4.14,-4.62
193201,1.13,0.65
193301,1.06,0.58
193401,-5.04,-5.52
193501,-6.27,-6.75
193601,-1.97,-2.45
193701,-4.34,-4.82
193801,.17,-0.31
193901,-2.5,-2.98
194001,-6.93,-7.41
194101,.82,0.34
194201,3.53,3.05
194301,3.57,3.09
194401,-3.63,-4.11
194501,-1.19,-1.67
194601,3.86,3.38
194701,3.36,2.88
194801,.83,0.35
194901,2.27,1.79
195001,.55,0.07
195101,1.48,1.00
195201,3.19,2.71
195301,-3.98,-4.46
195401,-4.16,-4.64
195501,-5.9,-6.38
195601,-3.27,-3.75
195701,-6.24,-6.72
195801,4.23,3.75
195901,-2,-2.48
196001,2.24,1.76
196101,-1.83,-2.31
196201,2.08,1.60
196301,-2.05,-2.53
196401,-4.54,-5.02
196501,.88,0.40
196601,-1.01,-1.49
196701,-2.62,-3.10
196801,2.29,1.81
196901,3.72,3.24
197001,2.1,1.62
197101,1.26,0.78
197201,2.49,2.01
197301,4.87,4.39
197401,5.97,5.49
197501,2.23,1.75
197601,-.1,-0.58
197701,-2.32,-2.80
197801,2.95,2.47
197901,1.13,0.65
198001,2.23,1.75
198101,-4.78,-5.26
198201,3.02,2.54
198301,5.11,4.63
198401,4.69,4.21
198501,4.28,3.80
198601,2.91,2.43
198701,3.81,3.33
198801,-1.81,-2.29
198901,-4.27,-4.75
199001,-1.68,-2.16
199101,.77,0.29
199201,1.42,0.94
199301,4.34,3.86
199401,4.04,3.56
199501,2.69,2.21
199601,3.03,2.55
199701,5.61,5.13
199801,4.19,3.71
199901,1.21,0.73
200001,-4.31,-4.79
200101,-3.67,-4.15
200201,-3.34,-3.82
200301,.76,0.28
200401,-.74,-1.22
200501,4.98,4.50
200601,-1.2,-1.68
200701,-.84,-1.32
200801,-2.38,-2.86
200901,-.35,-0.83
201001,4.65,4.17
201101,1.05,0.57
201201,-2.3,-2.78
201301,-5.31,-5.79
201401,.73,0.25
201501,-.15,-0.63
201601,3.61,3.13
