Contiguous U.S., Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.45,-0.95
189602,.32,-0.18
189702,1.96,1.46
189802,-2.03,-2.53
189902,2.27,1.77
190002,.61,0.11
190102,-.41,-0.91
190202,-3.39,-3.89
190302,3.05,2.55
190402,.41,-0.09
190502,.14,-0.36
190602,2.69,2.19
190702,4.7,4.20
190802,4.15,3.65
190902,2.15,1.65
191002,1.81,1.31
191102,-4.36,-4.86
191202,1.42,0.92
191302,1.92,1.42
191402,1.13,0.63
191502,.81,0.31
191602,4.72,4.22
191702,-.74,-1.24
191802,-4.86,-5.36
191902,1.47,0.97
192002,2.98,2.48
192102,-.3,-0.80
192202,.53,0.03
192302,-.02,-0.52
192402,-.16,-0.66
192502,-2.37,-2.87
192602,-.07,-0.57
192702,2.8,2.30
192802,2.35,1.85
192902,2.22,1.72
193002,-.52,-1.02
193102,-4.66,-5.16
193202,1.16,0.66
193302,1.01,0.51
193402,-5.8,-6.30
193502,-5.96,-6.46
193602,-1.06,-1.56
193702,-3.57,-4.07
193802,.51,0.01
193902,-1.28,-1.78
194002,-6.75,-7.25
194102,.6,0.10
194202,3.28,2.78
194302,2.44,1.94
194402,-3.38,-3.88
194502,.72,0.22
194602,3.54,3.04
194702,2.2,1.70
194802,1.37,0.87
194902,2.54,2.04
195002,.7,0.20
195102,1.62,1.12
195202,2.85,2.35
195302,-3.54,-4.04
195402,-4.61,-5.11
195502,-5.86,-6.36
195602,-2.23,-2.73
195702,-6.58,-7.08
195802,4.32,3.82
195902,-1.51,-2.01
196002,2.69,2.19
196102,.39,-0.11
196202,2.41,1.91
196302,-2.52,-3.02
196402,-4.6,-5.10
196502,1.05,0.55
196602,-.47,-0.97
196702,-2.81,-3.31
196802,1.65,1.15
196902,3.65,3.15
197002,1.53,1.03
197102,1.56,1.06
197202,2.12,1.62
197302,4.4,3.90
197402,5.07,4.57
197502,2.68,2.18
197602,-.44,-0.94
197702,-3.34,-3.84
197802,2.54,2.04
197902,1.7,1.20
198002,2.02,1.52
198102,-5.75,-6.25
198202,3.03,2.53
198302,5.15,4.65
198402,4.2,3.70
198502,4.05,3.55
198602,3.37,2.87
198702,3.63,3.13
198802,-2.01,-2.51
198902,-3.84,-4.34
199002,.58,0.08
199102,.1,-0.40
199202,1.32,0.82
199302,4.18,3.68
199402,3.88,3.38
199502,1.92,1.42
199602,2.59,2.09
199702,5.37,4.87
199802,4.84,4.34
199902,.78,0.28
200002,-5.14,-5.64
200102,-3.04,-3.54
200202,-3.83,-4.33
200302,1.33,0.83
200402,-.16,-0.66
200502,-.08,-0.58
200602,-1.51,-2.01
200702,-.87,-1.37
200802,.48,-0.02
200902,-.81,-1.31
201002,4.3,3.80
201102,1.02,0.52
201202,-2.38,-2.88
201302,-4.91,-5.41
201402,1.01,0.51
201502,-.29,-0.79
201602,2.97,2.47
