Contiguous U.S., Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.2,-0.09
189606,-.59,-0.88
189706,-.84,-1.13
189806,.48,0.19
189906,-.48,-0.77
190006,-.61,-0.90
190106,-.74,-1.03
190206,.08,-0.21
190306,2.5,2.21
190406,.67,0.38
190506,1.81,1.52
190606,2.77,2.48
190706,4.43,4.14
190806,3.83,3.54
190906,2,1.71
191006,-3.13,-3.42
191106,-5.11,-5.40
191206,2.63,2.34
191306,-.77,-1.06
191406,-.8,-1.09
191506,1.66,1.37
191606,3.21,2.92
191706,-.22,-0.51
191806,-4.69,-4.98
191906,1.4,1.11
192006,3.41,3.12
192106,-.75,-1.04
192206,-.31,-0.60
192306,1.31,1.02
192406,-.38,-0.67
192506,-4.1,-4.39
192606,-1.27,-1.56
192706,2.75,2.46
192806,2.9,2.61
192906,-.09,-0.38
193006,-1.7,-1.99
193106,-4.71,-5.00
193206,-.62,-0.91
193306,-1.66,-1.95
193406,-7.16,-7.45
193506,-2.04,-2.33
193606,-3.63,-3.92
193706,-2.7,-2.99
193806,1.37,1.08
193906,-2.11,-2.40
194006,-4.72,-5.01
194106,1.07,0.78
194206,3.21,2.92
194306,2.47,2.18
194406,1.44,1.15
194506,2.19,1.90
194606,1.87,1.58
194706,3.24,2.95
194806,1.49,1.20
194906,1.42,1.13
195006,.61,0.32
195106,1.54,1.25
195206,-1.2,-1.49
195306,-1.82,-2.11
195406,-3.81,-4.10
195506,-4.53,-4.82
195606,-3.35,-3.64
195706,2.92,2.63
195806,3.36,3.07
195906,-1.74,-2.03
196006,-.5,-0.79
196106,.8,0.51
196206,-.43,-0.72
196306,-2.55,-2.84
196406,-.74,-1.03
196506,1.03,0.74
196606,-2.08,-2.37
196706,1.35,1.06
196806,1.57,1.28
196906,2.43,2.14
197006,-.45,-0.74
197106,-.75,-1.04
197206,1.06,0.77
197306,5.03,4.74
197406,3.12,2.83
197506,3.99,3.70
197606,-.33,-0.62
197706,-3.21,-3.50
197806,-.31,-0.60
197906,2.04,1.75
198006,-.53,-0.82
198106,1.11,0.82
198206,3.26,2.97
198306,6.1,5.81
198406,3.8,3.51
198506,-1.69,-1.98
198606,1.01,0.72
198706,-1.48,-1.77
198806,-4.28,-4.57
198906,1.2,0.91
199006,-.5,-0.79
199106,1.53,1.24
199206,.56,0.27
199306,4.22,3.93
199406,1.62,1.33
199506,3.59,3.30
199606,1.89,1.60
199706,4.44,4.15
199806,-.04,-0.33
199906,.94,0.65
200006,-4.04,-4.33
200106,-2.65,-2.94
200206,-3.34,-3.63
200306,1.61,1.32
200406,.87,0.58
200506,.2,-0.09
200606,-2.95,-3.24
200706,-1.58,-1.87
200806,.63,0.34
200906,.68,0.39
201006,3.03,2.74
201106,-.38,-0.67
201206,-4.12,-4.41
201306,1.08,0.79
201406,1.33,1.04
201506,1.72,1.43
