Contiguous U.S., Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,.95,0.50
189608,-.94,-1.39
189708,-.98,-1.43
189808,1.34,0.89
189908,-.34,-0.79
190008,-.66,-1.11
190108,-1.33,-1.78
190208,.44,-0.01
190308,3.51,3.06
190408,1.45,1.00
190508,3.04,2.59
190608,4.39,3.94
190708,4.73,4.28
190808,4.39,3.94
190908,2.23,1.78
191008,-3.36,-3.81
191108,.34,-0.11
191208,3.39,2.94
191308,-1.69,-2.14
191408,.47,0.02
191508,4.35,3.90
191608,3.55,3.10
191708,-.41,-0.86
191808,-4.9,-5.35
191908,1.47,1.02
192008,4.05,3.60
192108,-.82,-1.27
192208,-.59,-1.04
192308,1.95,1.50
192408,-.95,-1.40
192508,-4.43,-4.88
192608,.52,0.07
192708,3.23,2.78
192808,4.03,3.58
192908,-.92,-1.37
193008,-3.49,-3.94
193108,-4.67,-5.12
193208,-.63,-1.08
193308,-1.82,-2.27
193408,-8.39,-8.84
193508,-1.63,-2.08
193608,-5.54,-5.99
193708,-2.96,-3.41
193808,-.42,-0.87
193908,-2.43,-2.88
194008,-4.03,-4.48
194108,1.82,1.37
194208,3.56,3.11
194308,-.57,-1.02
194408,1.25,0.80
194508,2.94,2.49
194608,1.67,1.22
194708,2.26,1.81
194808,-.22,-0.67
194908,1.45,1.00
195008,2.34,1.89
195108,1.62,1.17
195208,-2.03,-2.48
195308,-2,-2.45
195408,-4.31,-4.76
195508,-3.57,-4.02
195608,-3.65,-4.10
195708,1.98,1.53
195808,3.69,3.24
195908,.23,-0.22
196008,-.26,-0.71
196108,1.2,0.75
196208,-.52,-0.97
196308,-2.6,-3.05
196408,-.71,-1.16
196508,1.55,1.10
196608,-2.01,-2.46
196708,2.11,1.66
196808,2.26,1.81
196908,2.13,1.68
197008,-1.35,-1.80
197108,.63,0.18
197208,1.57,1.12
197308,4,3.55
197408,2.93,2.48
197508,4.38,3.93
197608,-.48,-0.93
197708,.81,0.36
197808,.31,-0.14
197908,3.06,2.61
198008,-1.79,-2.24
198108,1.88,1.43
198208,3.58,3.13
198308,4,3.55
198408,3.19,2.74
198508,.3,-0.15
198608,1.08,0.63
198708,-1.3,-1.75
198808,-5,-5.45
198908,1.93,1.48
199008,-.14,-0.59
199108,1.29,0.84
199208,2.39,1.94
199308,4.97,4.52
199408,1.23,0.78
199508,3.22,2.77
199608,2.11,1.66
199708,4.1,3.65
199808,-.49,-0.94
199908,-.36,-0.81
200008,-4.74,-5.19
200108,-2.81,-3.26
200208,-3.76,-4.21
200308,-.24,-0.69
200408,2.33,1.88
200508,.37,-0.08
200608,-3.64,-4.09
200708,-1.77,-2.22
200808,1.16,0.71
200908,1.42,0.97
201008,3.12,2.67
201108,-1.52,-1.97
201208,-5.11,-5.56
201308,1.7,1.25
201408,1.78,1.33
201508,2.01,1.56
