Contiguous U.S., Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.83,-1.20
189603,.45,0.08
189703,3.11,2.74
189803,-1.89,-2.26
189903,2.66,2.29
190003,.31,-0.06
190103,-.54,-0.91
190203,-2.67,-3.04
190303,3.16,2.79
190403,.92,0.55
190503,.19,-0.18
190603,3.6,3.23
190703,3.71,3.34
190803,3.13,2.76
190903,1.7,1.33
191003,-2.38,-2.75
191103,-5,-5.37
191203,2.61,2.24
191303,2.44,2.07
191403,-.64,-1.01
191503,-.68,-1.05
191603,3.75,3.38
191703,.22,-0.15
191803,-5.49,-5.86
191903,1.55,1.18
192003,3.04,2.67
192103,-.79,-1.16
192203,1.53,1.16
192303,.16,-0.21
192403,-.11,-0.48
192503,-3.39,-3.76
192603,-.14,-0.51
192703,2.5,2.13
192803,1.81,1.44
192903,2.08,1.71
193003,-.93,-1.30
193103,-4.23,-4.60
193203,1.15,0.78
193303,.81,0.44
193403,-5.52,-5.89
193503,-5.33,-5.70
193603,-1.57,-1.94
193703,-3.36,-3.73
193803,.91,0.54
193903,-1.72,-2.09
194003,-6.33,-6.70
194103,.28,-0.09
194203,2.89,2.52
194303,2.8,2.43
194403,.77,0.40
194503,.86,0.49
194603,2.79,2.42
194703,1.93,1.56
194803,1.95,1.58
194903,2.27,1.90
195003,.82,0.45
195103,1.78,1.41
195203,3.28,2.91
195303,-3.31,-3.68
195403,-4.32,-4.69
195503,-5.7,-6.07
195603,-2.67,-3.04
195703,-.01,-0.38
195803,4.32,3.95
195903,-1.76,-2.13
196003,.02,-0.35
196103,.81,0.44
196203,-.09,-0.46
196303,-2.54,-2.91
196403,.54,0.17
196503,1.03,0.66
196603,-1.51,-1.88
196703,-3.35,-3.72
196803,.89,0.52
196903,3.05,2.68
197003,1.78,1.41
197103,-.31,-0.68
197203,1.25,0.88
197303,5.19,4.82
197403,4.37,4.00
197503,3.54,3.17
197603,-.43,-0.80
197703,-2.57,-2.94
197803,2.02,1.65
197903,1.74,1.37
198003,2.88,2.51
198103,-5.83,-6.20
198203,2.65,2.28
198303,5.74,5.37
198403,4.11,3.74
198503,-.24,-0.61
198603,1.99,1.62
198703,.04,-0.33
198803,-2.4,-2.77
198903,-3.17,-3.54
199003,.4,0.03
199103,.74,0.37
199203,-.33,-0.70
199303,4.05,3.68
199403,3.02,2.65
199503,2.03,1.66
199603,2.24,1.87
199703,4.42,4.05
199803,5.07,4.70
199903,.22,-0.15
200003,-5.15,-5.52
200103,-2.69,-3.06
200203,-3.2,-3.57
200303,.97,0.60
200403,-1.28,-1.65
200503,-.34,-0.71
200603,-1.69,-2.06
200703,-1.64,-2.01
200803,.38,0.01
200903,.04,-0.33
201003,3.42,3.05
201103,1.15,0.78
201203,-2.72,-3.09
201303,-5.18,-5.55
201403,.82,0.45
201503,-1.06,-1.43
