Contiguous U.S., Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.42,-1.74
189604,-.02,-0.34
189704,-.06,-0.38
189804,-2.09,-2.41
189904,-.6,-0.92
190004,1.12,0.80
190104,-.23,-0.55
190204,-2.95,-3.27
190304,2.48,2.16
190404,.68,0.36
190504,.56,0.24
190604,2.66,2.34
190704,3.6,3.28
190804,2.82,2.50
190904,1.59,1.27
191004,-3.16,-3.48
191104,-3.99,-4.31
191204,3.24,2.92
191304,-.44,-0.76
191404,-.31,-0.63
191504,-1.18,-1.50
191604,3.11,2.79
191704,.69,0.37
191804,-4.34,-4.66
191904,1.31,0.99
192004,4.01,3.69
192104,-.38,-0.70
192204,2.06,1.74
192304,.64,0.32
192404,-.2,-0.52
192504,-3.83,-4.15
192604,-.27,-0.59
192704,2.74,2.42
192804,2.4,2.08
192904,2.3,1.98
193004,-1.85,-2.17
193104,-4.18,-4.50
193204,-.37,-0.69
193304,.95,0.63
193404,-5.94,-6.26
193504,-4.37,-4.69
193604,-1.76,-2.08
193704,-2.7,-3.02
193804,.96,0.64
193904,-1.88,-2.20
194004,-5.02,-5.34
194104,.67,0.35
194204,2.71,2.39
194304,1.97,1.65
194404,1.73,1.41
194504,1.44,1.12
194604,1.3,0.98
194704,2.27,1.95
194804,1.56,1.24
194904,1.56,1.24
195004,.64,0.32
195104,1.65,1.33
195204,-.13,-0.45
195304,-2.23,-2.55
195404,-4.31,-4.63
195504,-5.31,-5.63
195604,-2.58,-2.90
195704,1.19,0.87
195804,4.53,4.21
195904,-1.95,-2.27
196004,-.48,-0.80
196104,.84,0.52
196204,-.52,-0.84
196304,-2.53,-2.85
196404,1.25,0.93
196504,.88,0.56
196604,-1.21,-1.53
196704,.21,-0.11
196804,.85,0.53
196904,2.69,2.37
197004,2.09,1.77
197104,-.77,-1.09
197204,.96,0.64
197304,5.75,5.43
197404,3.96,3.64
197504,3.85,3.53
197604,-.64,-0.96
197704,-2.86,-3.18
197804,1.82,1.50
197904,2.26,1.94
198004,-.12,-0.44
198104,-5.99,-6.31
198204,2.72,2.40
198304,6.32,6.00
198404,4.33,4.01
198504,-1.1,-1.42
198604,1.35,1.03
198704,-1.26,-1.58
198804,-2.37,-2.69
198904,-3.71,-4.03
199004,.21,-0.11
199104,1.35,1.03
199204,-.86,-1.18
199304,4.21,3.89
199404,2.85,2.53
199504,2.36,2.04
199604,2.15,1.83
199704,4.83,4.51
199804,4.65,4.33
199904,.54,0.22
200004,-4.94,-5.26
200104,-3,-3.32
200204,-3.36,-3.68
200304,.93,0.61
200404,-1.3,-1.62
200504,-.35,-0.67
200604,-1.95,-2.27
200704,-1.38,-1.70
200804,.49,0.17
200904,.41,0.09
201004,2.73,2.41
201104,1.84,1.52
201204,-3.11,-3.43
201304,.58,0.26
201404,1.07,0.75
201504,.1,-0.22
