Contiguous U.S., Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.04,-0.30
189605,-.25,-0.59
189705,-.89,-1.23
189805,.37,0.03
189905,-.63,-0.97
190005,-.6,-0.94
190105,-.54,-0.88
190205,-2.77,-3.11
190305,2.44,2.10
190405,.35,0.01
190505,1.45,1.11
190605,2.73,2.39
190705,4.3,3.96
190805,3.88,3.54
190905,1.84,1.50
191005,-3.09,-3.43
191105,-4.56,-4.90
191205,2.88,2.54
191305,-.72,-1.06
191405,-.77,-1.11
191505,1.2,0.86
191605,2.9,2.56
191705,1.03,0.69
191805,-4.24,-4.58
191905,1.51,1.17
192005,3.63,3.29
192105,-.64,-0.98
192205,1.93,1.59
192305,.9,0.56
192405,-.32,-0.66
192505,-4.33,-4.67
192605,-.97,-1.31
192705,2.62,2.28
192805,1.48,1.14
192905,2.82,2.48
193005,-1.35,-1.69
193105,-4.19,-4.53
193205,-.8,-1.14
193305,1.38,1.04
193405,-7.01,-7.35
193505,-2.76,-3.10
193605,-2.6,-2.94
193705,-3.15,-3.49
193805,1.25,0.91
193905,-2.65,-2.99
194005,-5.19,-5.53
194105,.13,-0.21
194205,2.84,2.50
194305,2.31,1.97
194405,1.43,1.09
194505,1.52,1.18
194605,2,1.66
194705,2.34,2.00
194805,1.3,0.96
194905,1.3,0.96
195005,.67,0.33
195105,.92,0.58
195205,-.35,-0.69
195305,-1.52,-1.86
195405,-3.84,-4.18
195505,-4.86,-5.20
195605,-2.78,-3.12
195705,2.4,2.06
195805,3.39,3.05
195905,-1.52,-1.86
196005,-.33,-0.67
196105,.92,0.58
196205,-.9,-1.24
196305,-2.86,-3.20
196405,-.74,-1.08
196505,.56,0.22
196605,-1.68,-2.02
196705,.59,0.25
196805,1.44,1.10
196905,2.05,1.71
197005,-.37,-0.71
197105,-.41,-0.75
197205,.89,0.55
197305,5.43,5.09
197405,3.7,3.36
197505,3.82,3.48
197605,-.37,-0.71
197705,-2.95,-3.29
197805,2.41,2.07
197905,2.5,2.16
198005,.19,-0.15
198105,.77,0.43
198205,2.87,2.53
198305,6.51,6.17
198405,4.15,3.81
198505,-1.59,-1.93
198605,1.17,0.83
198705,-1.33,-1.67
198805,-3.01,-3.35
198905,.27,-0.07
199005,1.25,0.91
199105,1.76,1.42
199205,-1.45,-1.79
199305,3.74,3.40
199405,2.08,1.74
199505,3.47,3.13
199605,2.23,1.89
199705,4.34,4.00
199805,-.54,-0.88
199905,.53,0.19
200005,-5.02,-5.36
200105,-3.12,-3.46
200205,-3.12,-3.46
200305,1.1,0.76
200405,.21,-0.13
200505,-.35,-0.69
200605,-2.58,-2.92
200705,-1.63,-1.97
200805,.66,0.32
200905,.58,0.24
201005,2.9,2.56
201105,2.31,1.97
201205,-3.58,-3.92
201305,.88,0.54
201405,.75,0.41
201505,1.47,1.13
