Contiguous U.S., Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,.05,-0.37
189611,1.5,1.08
189711,-2.1,-2.52
189811,1.84,1.42
189911,-1.23,-1.65
190011,.8,0.38
190111,-2.43,-2.85
190211,1.08,0.66
190311,-.42,-0.84
190411,-1.6,-2.02
190511,2.76,2.34
190611,4.35,3.93
190711,3.79,3.37
190811,2.38,1.96
190911,1.51,1.09
191011,-3.66,-4.08
191111,.89,0.47
191211,2.37,1.95
191311,.98,0.56
191411,-.82,-1.24
191511,3.62,3.20
191611,-.51,-0.93
191711,-2.25,-2.67
191811,.71,0.29
191911,3.17,2.75
192011,3.21,2.79
192111,-1.47,-1.89
192211,-2.33,-2.75
192311,2.28,1.86
192411,-1.73,-2.15
192511,1.45,1.03
192611,1.98,1.56
192711,2.88,2.46
192811,2.99,2.57
192911,.69,0.27
193011,-2.59,-3.01
193111,-4.69,-5.11
193211,.33,-0.09
193311,-3.59,-4.01
193411,-6.4,-6.82
193511,-1.76,-2.18
193611,-5.13,-5.55
193711,.29,-0.13
193811,-1.6,-2.02
193911,-4.71,-5.13
194011,.5,0.08
194111,3.26,2.84
194211,2.98,2.56
194311,-1.87,-2.29
194411,-.61,-1.03
194511,3.1,2.68
194611,2.91,2.49
194711,1.48,1.06
194811,.83,0.41
194911,-1.02,-1.44
195011,1.77,1.35
195111,1.95,1.53
195211,-3.98,-4.40
195311,-3.93,-4.35
195411,-4.63,-5.05
195511,-3.37,-3.79
195611,-4.91,-5.33
195711,3.61,3.19
195811,-.68,-1.10
195911,1.77,1.35
196011,-.63,-1.05
196111,1.53,1.11
196211,-.39,-0.81
196311,-3.77,-4.19
196411,-1.1,-1.52
196511,-.84,-1.26
196611,-2.31,-2.73
196711,1.57,1.15
196811,2.22,1.80
196911,1.69,1.27
197011,1.31,0.89
197111,1.27,0.85
197211,3.34,2.92
197311,4.58,4.16
197411,2.36,1.94
197511,3.87,3.45
197611,-.63,-1.05
197711,1.58,1.16
197811,.15,-0.27
197911,2.52,2.10
198011,-2.06,-2.48
198111,2.03,1.61
198211,3.88,3.46
198311,4.25,3.83
198411,4.24,3.82
198511,3.22,2.80
198611,3.39,2.97
198711,-2.05,-2.47
198811,-3.69,-4.11
198911,-.64,-1.06
199011,.25,-0.17
199111,1.19,0.77
199211,2.52,2.10
199311,4.43,4.01
199411,1.73,1.31
199511,2.71,2.29
199611,3.9,3.48
199711,3.51,3.09
199811,.74,0.32
199911,-2.07,-2.49
200011,-3.38,-3.80
200111,-2.74,-3.16
200211,.71,0.29
200311,-.37,-0.79
200411,3.99,3.57
200511,-.92,-1.34
200611,-1.53,-1.95
200711,-2.48,-2.90
200811,-.37,-0.79
200911,3.05,2.63
201011,1.96,1.54
201111,-1.57,-1.99
201211,-5.24,-5.66
201311,1.6,1.18
201411,1.43,1.01
201511,2.12,1.70
