Contiguous U.S., Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.42,-1.85
189610,.63,0.20
189710,-2.13,-2.56
189810,1.55,1.12
189910,-.84,-1.27
190010,.71,0.28
190110,-1.6,-2.03
190210,.63,0.20
190310,-.25,-0.68
190410,-.43,-0.86
190510,2.87,2.44
190610,4.15,3.72
190710,4,3.57
190810,3.16,2.73
190910,1.32,0.89
191010,-3.35,-3.78
191110,.8,0.37
191210,3.18,2.75
191310,1.21,0.78
191410,-.02,-0.45
191510,3.84,3.41
191610,-.06,-0.49
191710,-.88,-1.31
191810,.65,0.22
191910,2.35,1.92
192010,3.31,2.88
192110,-1.47,-1.90
192210,-2.08,-2.51
192310,2.6,2.17
192410,-.81,-1.24
192510,1.33,0.90
192610,1.41,0.98
192710,2.76,2.33
192810,3.24,2.81
192910,.78,0.35
193010,-2.8,-3.23
193110,-4.99,-5.42
193210,.47,0.04
193310,-2.41,-2.84
193410,-7.13,-7.56
193510,-1.74,-2.17
193610,-4.36,-4.79
193710,.41,-0.02
193810,-1.45,-1.88
193910,-3.57,-4.00
194010,-4.26,-4.69
194110,3.58,3.15
194210,3.22,2.79
194310,-1.12,-1.55
194410,-.92,-1.35
194510,3.26,2.83
194610,2.17,1.74
194710,1.08,0.65
194810,-1.31,-1.74
194910,1.68,1.25
195010,1.89,1.46
195110,1.67,1.24
195210,-4.01,-4.44
195310,-3.4,-3.83
195410,-4.05,-4.48
195510,-3.47,-3.90
195610,-4.3,-4.73
195710,2.79,2.36
195810,-.55,-0.98
195910,1.83,1.40
196010,-.4,-0.83
196110,1.3,0.87
196210,-.09,-0.52
196310,-4.07,-4.50
196410,-1.09,-1.52
196510,-.55,-0.98
196610,-1.97,-2.40
196710,2.13,1.70
196810,1.78,1.35
196910,2.29,1.86
197010,1.31,0.88
197110,1.39,0.96
197210,2.36,1.93
197310,4.2,3.77
197410,2.75,2.32
197510,4.11,3.68
197610,.7,0.27
197710,1.27,0.84
197810,-1.02,-1.45
197910,2.48,2.05
198010,-1.49,-1.92
198110,2.29,1.86
198210,3.31,2.88
198310,3.24,2.81
198410,3.65,3.22
198510,1.82,1.39
198610,2.66,2.23
198710,-2.13,-2.56
198810,-4.49,-4.92
198910,-.16,-0.59
199010,.57,0.14
199110,1.01,0.58
199210,1.57,1.14
199310,4.58,4.15
199410,1.24,0.81
199510,2.81,2.38
199610,3.13,2.70
199710,3.66,3.23
199810,.63,0.20
199910,-.78,-1.21
200010,-4.24,-4.67
200110,-2.52,-2.95
200210,.97,0.54
200310,-.48,-0.91
200410,3.16,2.73
200510,-.63,-1.06
200610,-1.8,-2.23
200710,-1.63,-2.06
200810,1.21,0.78
200910,3.41,2.98
201010,2.35,1.92
201110,-1.53,-1.96
201210,-4.44,-4.87
201310,1.86,1.43
201410,1.52,1.09
201510,1.41,0.98
