Contiguous U.S., Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,.78,0.40
189607,-.28,-0.66
189707,-.74,-1.12
189807,.81,0.43
189907,-.13,-0.51
190007,-.4,-0.78
190107,-1.45,-1.83
190207,.57,0.19
190307,2.9,2.52
190407,1.1,0.72
190507,2.87,2.49
190607,3.44,3.06
190707,4.76,4.38
190807,4.08,3.70
190907,2.45,2.07
191007,-3.22,-3.60
191107,-4.97,-5.35
191207,2.81,2.43
191307,-.83,-1.21
191407,-1.22,-1.60
191507,2.93,2.55
191607,3.66,3.28
191707,-.34,-0.72
191807,-4.92,-5.30
191907,1.66,1.28
192007,3.25,2.87
192107,-.8,-1.18
192207,-.15,-0.53
192307,1.49,1.11
192407,-.56,-0.94
192507,-4.11,-4.49
192607,-1.3,-1.68
192707,2.92,2.54
192807,3.38,3.00
192907,-.05,-0.43
193007,-2.62,-3.00
193107,-4.95,-5.33
193207,-.82,-1.20
193307,-2.02,-2.40
193407,-8.08,-8.46
193507,-1.65,-2.03
193607,-4.73,-5.11
193707,-2.76,-3.14
193807,2.06,1.68
193907,-2.52,-2.90
194007,-4.72,-5.10
194107,1.56,1.18
194207,3.09,2.71
194307,2.33,1.95
194407,1.01,0.63
194507,2.81,2.43
194607,1.72,1.34
194707,2.78,2.40
194807,1.8,1.42
194907,1.63,1.25
195007,1.93,1.55
195107,1.64,1.26
195207,-1.85,-2.23
195307,-1.78,-2.16
195407,-4.34,-4.72
195507,-3.96,-4.34
195607,-3.37,-3.75
195707,2.6,2.22
195807,4.13,3.75
195907,.16,-0.22
196007,-.52,-0.90
196107,1.19,0.81
196207,-.05,-0.43
196307,-2.47,-2.85
196407,-1.08,-1.46
196507,1.2,0.82
196607,-2.65,-3.03
196707,1.93,1.55
196807,1.79,1.41
196907,2.65,2.27
197007,-.88,-1.26
197107,.36,-0.02
197207,1.42,1.04
197307,4.96,4.58
197407,2.23,1.85
197507,4.21,3.83
197607,-.08,-0.46
197707,-3.46,-3.84
197807,.07,-0.31
197907,2.54,2.16
198007,-1.48,-1.86
198107,1.61,1.23
198207,3.65,3.27
198307,5.14,4.76
198407,3.71,3.33
198507,-1.83,-2.21
198607,.9,0.52
198707,-1.49,-1.87
198807,-4.79,-5.17
198907,1.62,1.24
199007,-.25,-0.63
199107,1.47,1.09
199207,1.64,1.26
199307,4.8,4.42
199407,1.54,1.16
199507,3.53,3.15
199607,2.14,1.76
199707,4.26,3.88
199807,-.05,-0.43
199907,.88,0.50
200007,-4.06,-4.44
200107,-2.55,-2.93
200207,-3.56,-3.94
200307,1.59,1.21
200407,1.5,1.12
200507,.11,-0.27
200607,-3.66,-4.04
200707,-1.56,-1.94
200807,.71,0.33
200907,1.18,0.80
201007,3.48,3.10
201107,-.81,-1.19
201207,-4.8,-5.18
201307,1.73,1.35
201407,1.27,0.89
201507,2.25,1.87
