year,value,anomaly,month,state,type
1934,-4.96,-5.40,02,MN,drought
1935,-4.41,-4.85,02,MN,drought
1936,1.35,0.91,02,MN,drought
1937,-4.69,-5.13,02,MN,drought
1938,-3.09,-3.53,02,MN,drought
1939,-1.35,-1.79,02,MN,drought
1940,-4.51,-4.95,02,MN,drought
1941,.73,0.29,02,MN,drought
1942,1.21,0.77,02,MN,drought
1943,2.94,2.50,02,MN,drought
1944,.96,0.52,02,MN,drought
1945,2.81,2.37,02,MN,drought
1946,2.95,2.51,02,MN,drought
1947,2.5,2.06,02,MN,drought
1948,.45,0.01,02,MN,drought
1949,-2.06,-2.50,02,MN,drought
1950,1.06,0.62,02,MN,drought
1951,.45,0.01,02,MN,drought
1952,3.76,3.32,02,MN,drought
1953,-.03,-0.47,02,MN,drought
1954,1.47,1.03,02,MN,drought
1955,-1.1,-1.54,02,MN,drought
1956,-2.34,-2.78,02,MN,drought
1957,-.02,-0.46,02,MN,drought
1958,-.2,-0.64,02,MN,drought
1959,-2.22,-2.66,02,MN,drought
1960,1.13,0.69,02,MN,drought
1961,-1.78,-2.22,02,MN,drought
1962,.76,0.32,02,MN,drought
1963,-.95,-1.39,02,MN,drought
1964,-3.29,-3.73,02,MN,drought
1965,1.01,0.57,02,MN,drought
1966,4.6,4.16,02,MN,drought
1967,.88,0.44,02,MN,drought
1968,-4.01,-4.45,02,MN,drought
1969,5.33,4.89,02,MN,drought
1970,.56,0.12,02,MN,drought
1971,2.98,2.54,02,MN,drought
1972,3.17,2.73,02,MN,drought
1973,2.71,2.27,02,MN,drought
1974,2.61,2.17,02,MN,drought
1975,1.01,0.57,02,MN,drought
1976,.42,-0.02,02,MN,drought
1977,-7.44,-7.88,02,MN,drought
1978,3.01,2.57,02,MN,drought
1979,2.56,2.12,02,MN,drought
1980,2.76,2.32,02,MN,drought
1981,-1.92,-2.36,02,MN,drought
1982,2.31,1.87,02,MN,drought
1983,3.42,2.98,02,MN,drought
1984,3.29,2.85,02,MN,drought
1985,2.08,1.64,02,MN,drought
1986,3.83,3.39,02,MN,drought
1987,-.11,-0.55,02,MN,drought
1988,-3.52,-3.96,02,MN,drought
1989,-3.8,-4.24,02,MN,drought
1990,-4.51,-4.95,02,MN,drought
1991,.08,-0.36,02,MN,drought
1992,2.91,2.47,02,MN,drought
1993,2.42,1.98,02,MN,drought
1994,4.26,3.82,02,MN,drought
1995,2.48,2.04,02,MN,drought
1996,3.83,3.39,02,MN,drought
1997,3.42,2.98,02,MN,drought
1998,1.86,1.42,02,MN,drought
