year,value,anomaly,month,state,type
1915,-4.17,-4.08,02,IN,drought
1916,-.42,-0.33,02,IN,drought
1917,-1.8,-1.71,02,IN,drought
1918,-.86,-0.77,02,IN,drought
1919,-.71,-0.62,02,IN,drought
1920,-1.04,-0.95,02,IN,drought
1921,-1.51,-1.42,02,IN,drought
1922,1.3,1.39,02,IN,drought
1923,.13,0.22,02,IN,drought
1924,1.3,1.39,02,IN,drought
1925,-1.74,-1.65,02,IN,drought
1926,.3,0.39,02,IN,drought
1927,2.5,2.59,02,IN,drought
1928,2.92,3.01,02,IN,drought
1929,1.36,1.45,02,IN,drought
1930,-.03,0.06,02,IN,drought
1931,-6.8,-6.71,02,IN,drought
1932,-.33,-0.24,02,IN,drought
1933,2,2.09,02,IN,drought
1934,-3.94,-3.85,02,IN,drought
1935,-4.33,-4.24,02,IN,drought
1936,-1.69,-1.60,02,IN,drought
1937,2.55,2.64,02,IN,drought
1938,1.48,1.57,02,IN,drought
1939,1.34,1.43,02,IN,drought
1940,-3.61,-3.52,02,IN,drought
1941,-4.58,-4.49,02,IN,drought
1942,.94,1.03,02,IN,drought
1943,-.74,-0.65,02,IN,drought
1944,-2.81,-2.72,02,IN,drought
1945,-4.7,-4.61,02,IN,drought
1946,.39,0.48,02,IN,drought
1947,-1.59,-1.50,02,IN,drought
1948,.24,0.33,02,IN,drought
1949,2.86,2.95,02,IN,drought
1950,5.02,5.11,02,IN,drought
1951,4.29,4.38,02,IN,drought
1952,2.47,2.56,02,IN,drought
1953,-1.88,-1.79,02,IN,drought
1954,-4.96,-4.87,02,IN,drought
1955,.86,0.95,02,IN,drought
1956,.92,1.01,02,IN,drought
1957,-2.48,-2.39,02,IN,drought
1958,-.89,-0.80,02,IN,drought
1959,3.32,3.41,02,IN,drought
1960,.64,0.73,02,IN,drought
1961,.1,0.19,02,IN,drought
1962,2,2.09,02,IN,drought
1963,-2.17,-2.08,02,IN,drought
1964,-5.27,-5.18,02,IN,drought
1965,-2.93,-2.84,02,IN,drought
1966,-1.04,-0.95,02,IN,drought
1967,-.43,-0.34,02,IN,drought
1968,-.33,-0.24,02,IN,drought
1969,-.61,-0.52,02,IN,drought
1970,-.97,-0.88,02,IN,drought
1971,.99,1.08,02,IN,drought
1972,-.68,-0.59,02,IN,drought
1973,1.82,1.91,02,IN,drought
1974,2.14,2.23,02,IN,drought
1975,2.44,2.53,02,IN,drought
1976,1.8,1.89,02,IN,drought
1977,-1.47,-1.38,02,IN,drought
1978,1.49,1.58,02,IN,drought
1979,1.67,1.76,02,IN,drought
1980,2.39,2.48,02,IN,drought
1981,-1.16,-1.07,02,IN,drought
1982,2.42,2.51,02,IN,drought
1983,-.98,-0.89,02,IN,drought
1984,.58,0.67,02,IN,drought
1985,1.57,1.66,02,IN,drought
1986,-.13,-0.04,02,IN,drought
1987,-1.02,-0.93,02,IN,drought
1988,-.74,-0.65,02,IN,drought
1989,.6,0.69,02,IN,drought
1990,3.02,3.11,02,IN,drought
1991,-.28,-0.19,02,IN,drought
1992,-2.37,-2.28,02,IN,drought
1993,3.08,3.17,02,IN,drought
1994,-.34,-0.25,02,IN,drought
1995,-1.33,-1.24,02,IN,drought
1996,-1.61,-1.52,02,IN,drought
1997,3.26,3.35,02,IN,drought
1998,-1.05,-0.96,02,IN,drought
1999,1.33,1.42,02,IN,drought
2000,-3.41,-3.32,02,IN,drought
2001,-.16,-0.07,02,IN,drought
2002,2.99,3.08,02,IN,drought
2003,-1.58,-1.49,02,IN,drought
2004,2.93,3.02,02,IN,drought
2005,0,0.09,02,IN,drought
2006,-.23,-0.14,02,IN,drought
2007,4.42,4.51,02,IN,drought
2008,2.04,2.13,02,IN,drought
2009,1.97,2.06,02,IN,drought
2010,-.59,-0.50,02,IN,drought
2011,.93,1.02,02,IN,drought
2012,-.34,-0.25,02,IN,drought
2013,.88,0.97,02,IN,drought
2014,1.21,1.30,02,IN,drought
2015,1.93,2.02,02,IN,drought
1895,-1.38,-1.23,03,IN,drought
1896,-2.61,-2.46,03,IN,drought
1897,3.54,3.69,03,IN,drought
1898,2.71,2.86,03,IN,drought
1899,1.83,1.98,03,IN,drought
1900,-2.39,-2.24,03,IN,drought
1901,-1.96,-1.81,03,IN,drought
1902,-4.07,-3.92,03,IN,drought
1903,-.56,-0.41,03,IN,drought
1904,2.47,2.62,03,IN,drought
1905,-2.82,-2.67,03,IN,drought
1906,2.22,2.37,03,IN,drought
1907,1.58,1.73,03,IN,drought
1908,3.6,3.75,03,IN,drought
1909,.81,0.96,03,IN,drought
