year,value,anomaly,month,state,type
1895,.31,-0.35,01,NE,drought
1896,-.73,-1.39,01,NE,drought
1897,2.77,2.11,01,NE,drought
1898,2.36,1.70,01,NE,drought
1899,-.43,-1.09,01,NE,drought
1900,-1.58,-2.24,01,NE,drought
1901,-1.72,-2.38,01,NE,drought
1902,-.97,-1.63,01,NE,drought
1903,3,2.34,01,NE,drought
1904,3.76,3.10,01,NE,drought
1905,3.13,2.47,01,NE,drought
1906,5.21,4.55,01,NE,drought
1907,5.2,4.54,01,NE,drought
1908,2.35,1.69,01,NE,drought
1909,3.67,3.01,01,NE,drought
1910,5.45,4.79,01,NE,drought
1911,-1.83,-2.49,01,NE,drought
1912,1.37,0.71,01,NE,drought
1913,-.65,-1.31,01,NE,drought
1914,-.27,-0.93,01,NE,drought
1915,.36,-0.30,01,NE,drought
1916,7,6.34,01,NE,drought
1917,2.38,1.72,01,NE,drought
1918,-.64,-1.30,01,NE,drought
1919,.95,0.29,01,NE,drought
1920,2.65,1.99,01,NE,drought
1921,3.72,3.06,01,NE,drought
1922,-.87,-1.53,01,NE,drought
1923,-.48,-1.14,01,NE,drought
1924,3.68,3.02,01,NE,drought
1925,-.08,-0.74,01,NE,drought
1926,.88,0.22,01,NE,drought
1927,.56,-0.10,01,NE,drought
1928,-1.01,-1.67,01,NE,drought
1929,.94,0.28,01,NE,drought
1930,.29,-0.37,01,NE,drought
1931,2.09,1.43,01,NE,drought
1932,1.43,0.77,01,NE,drought
1933,-1.46,-2.12,01,NE,drought
1934,-2.61,-3.27,01,NE,drought
1935,-6.04,-6.70,01,NE,drought
1936,-1.79,-2.45,01,NE,drought
1937,-4.99,-5.65,01,NE,drought
1938,-5.29,-5.95,01,NE,drought
1939,-3.41,-4.07,01,NE,drought
1940,-5.12,-5.78,01,NE,drought
1941,-4.12,-4.78,01,NE,drought
1942,1.08,0.42,01,NE,drought
1943,-.38,-1.04,01,NE,drought
1944,.6,-0.06,01,NE,drought
1945,2.65,1.99,01,NE,drought
1946,-.61,-1.27,01,NE,drought
1947,3.14,2.48,01,NE,drought
1948,-.54,-1.20,01,NE,drought
1949,1.7,1.04,01,NE,drought
1950,1.56,0.90,01,NE,drought
1951,1.59,0.93,01,NE,drought
1952,6.23,5.57,01,NE,drought
1953,-1.17,-1.83,01,NE,drought
1954,-1.46,-2.12,01,NE,drought
1955,-2.76,-3.42,01,NE,drought
1956,-4.9,-5.56,01,NE,drought
1957,-5.95,-6.61,01,NE,drought
1958,2.16,1.50,01,NE,drought
1959,1.85,1.19,01,NE,drought
1960,2.4,1.74,01,NE,drought
1961,-1.12,-1.78,01,NE,drought
1962,.7,0.04,01,NE,drought
1963,.48,-0.18,01,NE,drought
1964,-1.79,-2.45,01,NE,drought
1965,-2.3,-2.96,01,NE,drought
1966,3.3,2.64,01,NE,drought
1967,-.71,-1.37,01,NE,drought
1968,-.51,-1.17,01,NE,drought
1969,1.61,0.95,01,NE,drought
1970,-.35,-1.01,01,NE,drought
1971,.39,-0.27,01,NE,drought
1972,-.23,-0.89,01,NE,drought
1973,2.35,1.69,01,NE,drought
1974,5.4,4.74,01,NE,drought
1975,-1.61,-2.27,01,NE,drought
1976,-1.13,-1.79,01,NE,drought
1977,-2.96,-3.62,01,NE,drought
1978,1.7,1.04,01,NE,drought
1979,1.61,0.95,01,NE,drought
1980,3.38,2.72,01,NE,drought
1981,-2.66,-3.32,01,NE,drought
