year,value,anomaly,month,state,type
1895,.08,0.06,01,RI,drought
1896,.69,0.67,01,RI,drought
1897,-.47,-0.49,01,RI,drought
1898,2.19,2.17,01,RI,drought
1899,4.4,4.38,01,RI,drought
1900,.21,0.19,01,RI,drought
1901,-1.73,-1.75,01,RI,drought
1902,1.83,1.81,01,RI,drought
1903,.89,0.87,01,RI,drought
1904,-.39,-0.41,01,RI,drought
1905,-.57,-0.59,01,RI,drought
1906,.71,0.69,01,RI,drought
1907,-.28,-0.30,01,RI,drought
1908,2.01,1.99,01,RI,drought
1909,.17,0.15,01,RI,drought
1910,.71,0.69,01,RI,drought
1911,-1.72,-1.74,01,RI,drought
1912,.81,0.79,01,RI,drought
1913,.37,0.35,01,RI,drought
1914,-.46,-0.48,01,RI,drought
1915,1.8,1.78,01,RI,drought
1916,-.87,-0.89,01,RI,drought
1917,-1.54,-1.56,01,RI,drought
1918,-1.08,-1.10,01,RI,drought
1919,.37,0.35,01,RI,drought
1920,1.6,1.58,01,RI,drought
1921,-.88,-0.90,01,RI,drought
1922,-.97,-0.99,01,RI,drought
1923,2.2,2.18,01,RI,drought
1924,1.47,1.45,01,RI,drought
1925,-1.52,-1.54,01,RI,drought
1926,.72,0.70,01,RI,drought
1927,-.3,-0.32,01,RI,drought
1928,3.14,3.12,01,RI,drought
1929,.13,0.11,01,RI,drought
1930,-1.13,-1.15,01,RI,drought
1931,-2.74,-2.76,01,RI,drought
1932,-1.69,-1.71,01,RI,drought
1933,1.27,1.25,01,RI,drought
1934,-.52,-0.54,01,RI,drought
1935,.79,0.77,01,RI,drought
1936,1.14,1.12,01,RI,drought
1937,1.7,1.68,01,RI,drought
1938,.92,0.90,01,RI,drought
1939,2.05,2.03,01,RI,drought
1940,-1.67,-1.69,01,RI,drought
1941,-.65,-0.67,01,RI,drought
1942,-2.48,-2.50,01,RI,drought
1943,-.14,-0.16,01,RI,drought
1944,-2.78,-2.80,01,RI,drought
1945,-.41,-0.43,01,RI,drought
1946,-.13,-0.15,01,RI,drought
1947,-2.19,-2.21,01,RI,drought
1948,-.4,-0.42,01,RI,drought
1949,-.96,-0.98,01,RI,drought
1950,-3.79,-3.81,01,RI,drought
1951,-2.25,-2.27,01,RI,drought
1952,1.24,1.22,01,RI,drought
1953,.7,0.68,01,RI,drought
1954,.61,0.59,01,RI,drought
1955,-1.02,-1.04,01,RI,drought
1956,2.56,2.54,01,RI,drought
1957,-1.13,-1.15,01,RI,drought
1958,1.61,1.59,01,RI,drought
1959,-1.33,-1.35,01,RI,drought
1960,.56,0.54,01,RI,drought
1961,-.65,-0.67,01,RI,drought
1962,.36,0.34,01,RI,drought
1963,-.39,-0.41,01,RI,drought
1964,.42,0.40,01,RI,drought
1965,-2.67,-2.69,01,RI,drought
1966,-4.77,-4.79,01,RI,drought
1967,-3.26,-3.28,01,RI,drought
1968,-.17,-0.19,01,RI,drought
1969,-1.55,-1.57,01,RI,drought
1970,-.96,-0.98,01,RI,drought
1971,-1.03,-1.05,01,RI,drought
1972,-2.02,-2.04,01,RI,drought
1973,4.23,4.21,01,RI,drought
1974,2.69,2.67,01,RI,drought
1975,1.08,1.06,01,RI,drought
1976,2.89,2.87,01,RI,drought
1977,-.9,-0.92,01,RI,drought
1978,3.83,3.81,01,RI,drought
1979,2.89,2.87,01,RI,drought
1980,-1.44,-1.46,01,RI,drought
1981,-2.98,-3.00,01,RI,drought
1982,1.35,1.33,01,RI,drought
1983,.25,0.23,01,RI,drought
1984,2.08,2.06,01,RI,drought
1985,-2.52,-2.54,01,RI,drought
1986,-.2,-0.22,01,RI,drought
1987,2.78,2.76,01,RI,drought
1988,-1.74,-1.76,01,RI,drought
1989,-1.48,-1.50,01,RI,drought
1990,3.39,3.37,01,RI,drought
1991,-.39,-0.41,01,RI,drought
1992,-.27,-0.29,01,RI,drought
1993,1.94,1.92,01,RI,drought
1994,1.14,1.12,01,RI,drought
1995,-1.11,-1.13,01,RI,drought
1996,1.31,1.29,01,RI,drought
1997,3.06,3.04,01,RI,drought
1998,.85,0.83,01,RI,drought
1999,.98,0.96,01,RI,drought
2000,.44,0.42,01,RI,drought
2001,-.66,-0.68,01,RI,drought
2002,-2.81,-2.83,01,RI,drought
2003,.69,0.67,01,RI,drought
2004,-.8,-0.82,01,RI,drought
2005,1.62,1.60,01,RI,drought
2006,3.64,3.62,01,RI,drought
2007,2.85,2.83,01,RI,drought
2008,-2.39,-2.41,01,RI,drought
2009,2.42,2.40,01,RI,drought
2010,2.9,2.88,01,RI,drought
2011,1.04,1.02,01,RI,drought
2012,-.31,-0.33,01,RI,drought
2013,-.95,-0.97,01,RI,drought
2014,-1.53,-1.55,01,RI,drought
2015,-.05,-0.07,01,RI,drought
2016,-1.77,-1.79,01,RI,drought
1895,-1,-0.97,02,RI,drought
1896,1.8,1.83,02,RI,drought
1897,-.7,-0.67,02,RI,drought
1898,2.84,2.87,02,RI,drought
1899,4.54,4.57,02,RI,drought
1900,1.66,1.69,02,RI,drought
1901,-2.54,-2.51,02,RI,drought
1902,2.59,2.62,02,RI,drought
1903,1.77,1.80,02,RI,drought
1904,-.26,-0.23,02,RI,drought
1905,-1.11,-1.08,02,RI,drought
1906,.81,0.84,02,RI,drought
1907,-.38,-0.35,02,RI,drought
1908,2.49,2.52,02,RI,drought
1909,1.34,1.37,02,RI,drought
1910,1.1,1.13,02,RI,drought
1911,-1.91,-1.88,02,RI,drought
1912,.61,0.64,02,RI,drought
1913,.27,0.30,02,RI,drought
1914,.02,0.05,02,RI,drought
1915,2.07,2.10,02,RI,drought
1916,.8,0.83,02,RI,drought
1917,-1.72,-1.69,02,RI,drought
1918,-.8,-0.77,02,RI,drought
1919,.53,0.56,02,RI,drought
1920,2.31,2.34,02,RI,drought
1921,-1.08,-1.05,02,RI,drought
1922,-.95,-0.92,02,RI,drought
1923,1.4,1.43,02,RI,drought
1924,1.36,1.39,02,RI,drought
1925,-1.95,-1.92,02,RI,drought
1926,1.47,1.50,02,RI,drought
1927,-.46,-0.43,02,RI,drought
1928,2.95,2.98,02,RI,drought
1929,.37,0.40,02,RI,drought
1930,-1.15,-1.12,02,RI,drought
1931,-2.9,-2.87,02,RI,drought
1932,-2,-1.97,02,RI,drought
1933,1.4,1.43,02,RI,drought
1934,.06,0.09,02,RI,drought
1935,-.2,-0.17,02,RI,drought
1936,.76,0.79,02,RI,drought
1937,-.62,-0.59,02,RI,drought
1938,-.25,-0.22,02,RI,drought
1939,2.35,2.38,02,RI,drought
1940,.23,0.26,02,RI,drought
1941,-1.07,-1.04,02,RI,drought
1942,-2.27,-2.24,02,RI,drought
1943,-.81,-0.78,02,RI,drought
1944,-2.99,-2.96,02,RI,drought
1945,-.19,-0.16,02,RI,drought
1946,-.42,-0.39,02,RI,drought
1947,-2.63,-2.60,02,RI,drought
1948,-.97,-0.94,02,RI,drought
1949,-.82,-0.79,02,RI,drought
1950,-3.18,-3.15,02,RI,drought
1951,-1.81,-1.78,02,RI,drought
1952,1.2,1.23,02,RI,drought
1953,1.03,1.06,02,RI,drought
1954,.25,0.28,02,RI,drought
1955,-.47,-0.44,02,RI,drought
1956,2.73,2.76,02,RI,drought
1957,-1.74,-1.71,02,RI,drought
1958,1.44,1.47,02,RI,drought
1959,-1.22,-1.19,02,RI,drought
1960,1.35,1.38,02,RI,drought
1961,-.47,-0.44,02,RI,drought
1962,.84,0.87,02,RI,drought
1963,-.41,-0.38,02,RI,drought
1964,.4,0.43,02,RI,drought
1965,-2.34,-2.31,02,RI,drought
1966,-4.2,-4.17,02,RI,drought
1967,-3.17,-3.14,02,RI,drought
1968,-1.02,-0.99,02,RI,drought
1969,-.87,-0.84,02,RI,drought
1970,.86,0.89,02,RI,drought
1971,.89,0.92,02,RI,drought
1972,.92,0.95,02,RI,drought
1973,3.84,3.87,02,RI,drought
1974,-.25,-0.22,02,RI,drought
1975,1.02,1.05,02,RI,drought
1976,-.26,-0.23,02,RI,drought
1977,-1.06,-1.03,02,RI,drought
1978,-.38,-0.35,02,RI,drought
1979,2.92,2.95,02,RI,drought
1980,-2.24,-2.21,02,RI,drought
1981,-1.66,-1.63,02,RI,drought
1982,-.11,-0.08,02,RI,drought
1983,.83,0.86,02,RI,drought
1984,3.05,3.08,02,RI,drought
1985,-2.84,-2.81,02,RI,drought
1986,-.25,-0.22,02,RI,drought
1987,1.37,1.40,02,RI,drought
1988,-.76,-0.73,02,RI,drought
1989,-1.53,-1.50,02,RI,drought
1990,3.04,3.07,02,RI,drought
1991,-.9,-0.87,02,RI,drought
1992,-.71,-0.68,02,RI,drought
1993,2.11,2.14,02,RI,drought
1994,.74,0.77,02,RI,drought
1995,-1.08,-1.05,02,RI,drought
1996,1.09,1.12,02,RI,drought
1997,-.59,-0.56,02,RI,drought
1998,1.63,1.66,02,RI,drought
1999,1.59,1.62,02,RI,drought
2000,.29,0.32,02,RI,drought
2001,-.93,-0.90,02,RI,drought
2002,-3.19,-3.16,02,RI,drought
2003,.97,1.00,02,RI,drought
2004,-1.18,-1.15,02,RI,drought
2005,1.3,1.33,02,RI,drought
2006,3.02,3.05,02,RI,drought
2007,2.18,2.21,02,RI,drought
2008,1.52,1.55,02,RI,drought
2009,1.59,1.62,02,RI,drought
2010,3.2,3.23,02,RI,drought
2011,1.45,1.48,02,RI,drought
2012,-1.29,-1.26,02,RI,drought
2013,-.24,-0.21,02,RI,drought
2014,.38,0.41,02,RI,drought
2015,-.32,-0.29,02,RI,drought
2016,-.85,-0.82,02,RI,drought
1895,-1.15,-1.16,03,RI,drought
1896,2.21,2.20,03,RI,drought
1897,-.84,-0.85,03,RI,drought
1898,1.96,1.95,03,RI,drought
1899,5.4,5.39,03,RI,drought
1900,1.98,1.97,03,RI,drought
1901,1.15,1.14,03,RI,drought
1902,2.87,2.86,03,RI,drought
1903,2.5,2.49,03,RI,drought
1904,-.62,-0.63,03,RI,drought
1905,-1.36,-1.37,03,RI,drought
1906,1.39,1.38,03,RI,drought
1907,-.94,-0.95,03,RI,drought
1908,-.1,-0.11,03,RI,drought
1909,1.12,1.11,03,RI,drought
1910,-.98,-0.99,03,RI,drought
1911,-1.79,-1.80,03,RI,drought
1912,1.89,1.88,03,RI,drought
1913,.29,0.28,03,RI,drought
1914,.11,0.10,03,RI,drought
1915,-1.27,-1.28,03,RI,drought
1916,.66,0.65,03,RI,drought
1917,.48,0.47,03,RI,drought
1918,-1.26,-1.27,03,RI,drought
1919,.81,0.80,03,RI,drought
1920,2.23,2.22,03,RI,drought
1921,-1.44,-1.45,03,RI,drought
1922,-.59,-0.60,03,RI,drought
1923,1.52,1.51,03,RI,drought
1924,.55,0.54,03,RI,drought
1925,-1.8,-1.81,03,RI,drought
1926,-.29,-0.30,03,RI,drought
1927,-1.29,-1.30,03,RI,drought
1928,2.16,2.15,03,RI,drought
1929,.13,0.12,03,RI,drought
1930,-1.43,-1.44,03,RI,drought
1931,.6,0.59,03,RI,drought
1932,-1.36,-1.37,03,RI,drought
1933,1.86,1.85,03,RI,drought
1934,.02,0.01,03,RI,drought
1935,-.94,-0.95,03,RI,drought
1936,1.92,1.91,03,RI,drought
1937,-.57,-0.58,03,RI,drought
1938,-.81,-0.82,03,RI,drought
1939,2.52,2.51,03,RI,drought
1940,.41,0.40,03,RI,drought
1941,-1.44,-1.45,03,RI,drought
1942,-.98,-0.99,03,RI,drought
1943,-.87,-0.88,03,RI,drought
1944,-2.3,-2.31,03,RI,drought
1945,-1,-1.01,03,RI,drought
1946,-1.39,-1.40,03,RI,drought
1947,-2.72,-2.73,03,RI,drought
1948,-.89,-0.90,03,RI,drought
1949,-1.27,-1.28,03,RI,drought
1950,-2.96,-2.97,03,RI,drought
1951,-1.48,-1.49,03,RI,drought
1952,1.17,1.16,03,RI,drought
1953,2.43,2.42,03,RI,drought
1954,.06,0.05,03,RI,drought
1955,-.38,-0.39,03,RI,drought
1956,3.13,3.12,03,RI,drought
1957,-1.96,-1.97,03,RI,drought
1958,1.21,1.20,03,RI,drought
1959,-.48,-0.49,03,RI,drought
1960,-.24,-0.25,03,RI,drought
1961,-.59,-0.60,03,RI,drought
1962,-.8,-0.81,03,RI,drought
1963,-.53,-0.54,03,RI,drought
1964,-.56,-0.57,03,RI,drought
1965,-2.84,-2.85,03,RI,drought
1966,-4.41,-4.42,03,RI,drought
1967,.57,0.56,03,RI,drought
1968,1.21,1.20,03,RI,drought
1969,-1,-1.01,03,RI,drought
1970,1,0.99,03,RI,drought
1971,-.28,-0.29,03,RI,drought
1972,1.72,1.71,03,RI,drought
1973,2.94,2.93,03,RI,drought
1974,-.12,-0.13,03,RI,drought
1975,-.24,-0.25,03,RI,drought
1976,-.58,-0.59,03,RI,drought
1977,.32,0.31,03,RI,drought
1978,-.59,-0.60,03,RI,drought
1979,2.04,2.03,03,RI,drought
1980,1.34,1.33,03,RI,drought
1981,-2.63,-2.64,03,RI,drought
1982,-.44,-0.45,03,RI,drought
1983,1.95,1.94,03,RI,drought
1984,3.38,3.37,03,RI,drought
1985,-3.04,-3.05,03,RI,drought
1986,-.63,-0.64,03,RI,drought
1987,1.36,1.35,03,RI,drought
1988,-.75,-0.76,03,RI,drought
1989,-1.47,-1.48,03,RI,drought
1990,1.91,1.90,03,RI,drought
1991,-.34,-0.35,03,RI,drought
1992,-.67,-0.68,03,RI,drought
1993,2.8,2.79,03,RI,drought
1994,1.69,1.68,03,RI,drought
1995,-1.61,-1.62,03,RI,drought
1996,.63,0.62,03,RI,drought
1997,.25,0.24,03,RI,drought
1998,1.96,1.95,03,RI,drought
1999,1.58,1.57,03,RI,drought
2000,.43,0.42,03,RI,drought
2001,1.93,1.92,03,RI,drought
2002,-2.82,-2.83,03,RI,drought
2003,1.23,1.22,03,RI,drought
2004,-1.54,-1.55,03,RI,drought
2005,1.6,1.59,03,RI,drought
2006,1.47,1.46,03,RI,drought
2007,2.56,2.55,03,RI,drought
2008,1.82,1.81,03,RI,drought
2009,.91,0.90,03,RI,drought
2010,6.2,6.19,03,RI,drought
2011,.69,0.68,03,RI,drought
2012,-2.4,-2.41,03,RI,drought
2013,-.81,-0.82,03,RI,drought
2014,1.02,1.01,03,RI,drought
2015,-.19,-0.20,03,RI,drought
1895,-.69,-0.67,04,RI,drought
1896,-1.02,-1.00,04,RI,drought
1897,-.83,-0.81,04,RI,drought
1898,2.45,2.47,04,RI,drought
1899,-.6,-0.58,04,RI,drought
1900,-.46,-0.44,04,RI,drought
1901,2.89,2.91,04,RI,drought
1902,-.04,-0.02,04,RI,drought
1903,2.23,2.25,04,RI,drought
1904,1.71,1.73,04,RI,drought
1905,-1.66,-1.64,04,RI,drought
1906,.98,1.00,04,RI,drought
1907,-.89,-0.87,04,RI,drought
1908,-.7,-0.68,04,RI,drought
1909,1.64,1.66,04,RI,drought
1910,-1.65,-1.63,04,RI,drought
1911,-1.53,-1.51,04,RI,drought
1912,1.75,1.77,04,RI,drought
1913,.95,0.97,04,RI,drought
1914,.52,0.54,04,RI,drought
1915,-1.98,-1.96,04,RI,drought
1916,.69,0.71,04,RI,drought
1917,.17,0.19,04,RI,drought
1918,-.86,-0.84,04,RI,drought
1919,.68,0.70,04,RI,drought
1920,2.68,2.70,04,RI,drought
1921,-.03,-0.01,04,RI,drought
1922,-1.02,-1.00,04,RI,drought
1923,2.05,2.07,04,RI,drought
1924,1.24,1.26,04,RI,drought
1925,-2.18,-2.16,04,RI,drought
1926,-.72,-0.70,04,RI,drought
1927,-1.85,-1.83,04,RI,drought
1928,2.39,2.41,04,RI,drought
1929,1.36,1.38,04,RI,drought
1930,-2.08,-2.06,04,RI,drought
1931,.07,0.09,04,RI,drought
1932,-1.91,-1.89,04,RI,drought
1933,2.66,2.68,04,RI,drought
1934,.38,0.40,04,RI,drought
1935,-.87,-0.85,04,RI,drought
1936,-.09,-0.07,04,RI,drought
1937,-.13,-0.11,04,RI,drought
1938,-1.15,-1.13,04,RI,drought
1939,2.7,2.72,04,RI,drought
1940,1.28,1.30,04,RI,drought
1941,-2.29,-2.27,04,RI,drought
1942,-2.04,-2.02,04,RI,drought
1943,-.78,-0.76,04,RI,drought
1944,-1.95,-1.93,04,RI,drought
1945,-1.49,-1.47,04,RI,drought
1946,-1.68,-1.66,04,RI,drought
1947,.38,0.40,04,RI,drought
1948,-.8,-0.78,04,RI,drought
1949,-1.14,-1.12,04,RI,drought
1950,-2.88,-2.86,04,RI,drought
1951,-1.68,-1.66,04,RI,drought
1952,-.18,-0.16,04,RI,drought
1953,2.83,2.85,04,RI,drought
1954,.34,0.36,04,RI,drought
1955,-.64,-0.62,04,RI,drought
1956,-.14,-0.12,04,RI,drought
1957,-1.77,-1.75,04,RI,drought
1958,2.18,2.20,04,RI,drought
1959,-.5,-0.48,04,RI,drought
1960,-.45,-0.43,04,RI,drought
1961,.82,0.84,04,RI,drought
1962,-.9,-0.88,04,RI,drought
1963,-1.39,-1.37,04,RI,drought
1964,.76,0.78,04,RI,drought
1965,-2.85,-2.83,04,RI,drought
1966,-4.77,-4.75,04,RI,drought
1967,.72,0.74,04,RI,drought
1968,-.93,-0.91,04,RI,drought
1969,-.8,-0.78,04,RI,drought
1970,.87,0.89,04,RI,drought
1971,-.67,-0.65,04,RI,drought
1972,1.68,1.70,04,RI,drought
1973,3.44,3.46,04,RI,drought
1974,-.44,-0.42,04,RI,drought
1975,-.38,-0.36,04,RI,drought
1976,-1.37,-1.35,04,RI,drought
1977,-.1,-0.08,04,RI,drought
1978,-1.13,-1.11,04,RI,drought
1979,2.2,2.22,04,RI,drought
1980,1.66,1.68,04,RI,drought
1981,-2.4,-2.38,04,RI,drought
1982,-.2,-0.18,04,RI,drought
1983,4.02,4.04,04,RI,drought
1984,3.26,3.28,04,RI,drought
1985,-3.7,-3.68,04,RI,drought
1986,-1.4,-1.38,04,RI,drought
1987,2.68,2.70,04,RI,drought
1988,-1.04,-1.02,04,RI,drought
1989,.42,0.44,04,RI,drought
1990,2.14,2.16,04,RI,drought
1991,-.43,-0.41,04,RI,drought
1992,-1.06,-1.04,04,RI,drought
1993,2.78,2.80,04,RI,drought
1994,-.75,-0.73,04,RI,drought
1995,-1.86,-1.84,04,RI,drought
1996,1.29,1.31,04,RI,drought
1997,.48,0.50,04,RI,drought
1998,2.11,2.13,04,RI,drought
1999,-1.01,-0.99,04,RI,drought
2000,1.06,1.08,04,RI,drought
2001,.98,1.00,04,RI,drought
2002,-2.83,-2.81,04,RI,drought
2003,1.47,1.49,04,RI,drought
2004,1.26,1.28,04,RI,drought
2005,1.82,1.84,04,RI,drought
2006,.84,0.86,04,RI,drought
2007,3.79,3.81,04,RI,drought
2008,1.55,1.57,04,RI,drought
2009,1.22,1.24,04,RI,drought
2010,4.6,4.62,04,RI,drought
2011,.96,0.98,04,RI,drought
2012,-2.6,-2.58,04,RI,drought
2013,-1.57,-1.55,04,RI,drought
2014,1.07,1.09,04,RI,drought
2015,-.75,-0.73,04,RI,drought
1895,-.91,-0.74,05,RI,drought
1896,-1.38,-1.21,05,RI,drought
1897,.2,0.37,05,RI,drought
1898,2.71,2.88,05,RI,drought
1899,-1.14,-0.97,05,RI,drought
1900,.53,0.70,05,RI,drought
1901,3.77,3.94,05,RI,drought
1902,-.76,-0.59,05,RI,drought
1903,.98,1.15,05,RI,drought
1904,1.14,1.31,05,RI,drought
1905,-2.19,-2.02,05,RI,drought
1906,1.18,1.35,05,RI,drought
1907,-.3,-0.13,05,RI,drought
1908,-.19,-0.02,05,RI,drought
1909,-.18,-0.01,05,RI,drought
1910,-1.75,-1.58,05,RI,drought
1911,-2.2,-2.03,05,RI,drought
1912,1.84,2.01,05,RI,drought
1913,-.3,-0.13,05,RI,drought
1914,-.41,-0.24,05,RI,drought
1915,-2.08,-1.91,05,RI,drought
1916,.82,0.99,05,RI,drought
1917,.67,0.84,05,RI,drought
