year,value,anomaly,month,state,type
1895,.78,0.87,01,AL,drought
1896,-1.65,-1.56,01,AL,drought
1897,-3.49,-3.40,01,AL,drought
1898,-4.16,-4.07,01,AL,drought
1899,1.44,1.53,01,AL,drought
1900,-3.12,-3.03,01,AL,drought
1901,1.51,1.60,01,AL,drought
1902,.92,1.01,01,AL,drought
1903,-2.76,-2.67,01,AL,drought
1904,-1.86,-1.77,01,AL,drought
1905,-2.78,-2.69,01,AL,drought
1906,-.96,-0.87,01,AL,drought
1907,-1.65,-1.56,01,AL,drought
1908,1.49,1.58,01,AL,drought
1909,-3.18,-3.09,01,AL,drought
1910,-2.05,-1.96,01,AL,drought
1911,-1.54,-1.45,01,AL,drought
1912,1.19,1.28,01,AL,drought
1913,2.19,2.28,01,AL,drought
1914,-2.6,-2.51,01,AL,drought
1915,-1.56,-1.47,01,AL,drought
1916,-1.18,-1.09,01,AL,drought
1917,.38,0.47,01,AL,drought
1918,.78,0.87,01,AL,drought
1919,2.1,2.19,01,AL,drought
1920,2.94,3.03,01,AL,drought
1921,-.65,-0.56,01,AL,drought
1922,.46,0.55,01,AL,drought
1923,-2.11,-2.02,01,AL,drought
1924,.92,1.01,01,AL,drought
1925,-.62,-0.53,01,AL,drought
1926,1.46,1.55,01,AL,drought
1927,-1.22,-1.13,01,AL,drought
1928,-2.99,-2.90,01,AL,drought
1929,.79,0.88,01,AL,drought
1930,-.48,-0.39,01,AL,drought
1931,-2.01,-1.92,01,AL,drought
1932,1.28,1.37,01,AL,drought
1933,-.78,-0.69,01,AL,drought
1934,-3.5,-3.41,01,AL,drought
1935,-1.09,-1.00,01,AL,drought
1936,2,2.09,01,AL,drought
1937,1.25,1.34,01,AL,drought
1938,-1.01,-0.92,01,AL,drought
1939,-2.24,-2.15,01,AL,drought
1940,-1.74,-1.65,01,AL,drought
1941,-1.52,-1.43,01,AL,drought
1942,-2.25,-2.16,01,AL,drought
1943,-.31,-0.22,01,AL,drought
1944,-2.28,-2.19,01,AL,drought
1945,-1.28,-1.19,01,AL,drought
1946,1.43,1.52,01,AL,drought
1947,3.29,3.38,01,AL,drought
1948,.98,1.07,01,AL,drought
1949,3.05,3.14,01,AL,drought
1950,-1.47,-1.38,01,AL,drought
1951,-.96,-0.87,01,AL,drought
1952,-1.43,-1.34,01,AL,drought
1953,-2.12,-2.03,01,AL,drought
1954,-.3,-0.21,01,AL,drought
1955,-4.36,-4.27,01,AL,drought
1956,-3.64,-3.55,01,AL,drought
