year,value,anomaly,month,state,type
1895,.94,0.96,01,OR,drought
1896,1.32,1.34,01,OR,drought
1897,1.69,1.71,01,OR,drought
1898,-.75,-0.73,01,OR,drought
1899,.08,0.10,01,OR,drought
1900,-.44,-0.42,01,OR,drought
1901,1.11,1.13,01,OR,drought
1902,-2.12,-2.10,01,OR,drought
1903,2.82,2.84,01,OR,drought
1904,-1,-0.98,01,OR,drought
1905,-1.58,-1.56,01,OR,drought
1906,.2,0.22,01,OR,drought
1907,1.27,1.29,01,OR,drought
1908,-.69,-0.67,01,OR,drought
1909,1.46,1.48,01,OR,drought
1910,-.51,-0.49,01,OR,drought
1911,-.23,-0.21,01,OR,drought
1912,.85,0.87,01,OR,drought
1913,2.55,2.57,01,OR,drought
1914,3.23,3.25,01,OR,drought
1915,-1.95,-1.93,01,OR,drought
1916,1.24,1.26,01,OR,drought
1917,-1.45,-1.43,01,OR,drought
1918,.29,0.31,01,OR,drought
1919,.23,0.25,01,OR,drought
1920,-1.76,-1.74,01,OR,drought
1921,2.79,2.81,01,OR,drought
1922,-1.21,-1.19,01,OR,drought
1923,1.01,1.03,01,OR,drought
1924,-1.72,-1.70,01,OR,drought
1925,1.26,1.28,01,OR,drought
1926,-2.17,-2.15,01,OR,drought
1927,1.12,1.14,01,OR,drought
1928,-.75,-0.73,01,OR,drought
1929,-3.01,-2.99,01,OR,drought
1930,-3.72,-3.70,01,OR,drought
1931,-4.26,-4.24,01,OR,drought
1932,-.05,-0.03,01,OR,drought
1933,-1.02,-1.00,01,OR,drought
1934,-1.28,-1.26,01,OR,drought
1935,-1.83,-1.81,01,OR,drought
1936,-1.78,-1.76,01,OR,drought
1937,-3.88,-3.86,01,OR,drought
1938,1.89,1.91,01,OR,drought
1939,-2.6,-2.58,01,OR,drought
1940,-4.13,-4.11,01,OR,drought
1941,-1.37,-1.35,01,OR,drought
1942,2.49,2.51,01,OR,drought
1943,3.25,3.27,01,OR,drought
1944,-2.24,-2.22,01,OR,drought
1945,-2.35,-2.33,01,OR,drought
1946,1.33,1.35,01,OR,drought
1947,-.98,-0.96,01,OR,drought
1948,1.83,1.85,01,OR,drought
1949,-1.26,-1.24,01,OR,drought
1950,1.26,1.28,01,OR,drought
1951,2.93,2.95,01,OR,drought
1952,1.56,1.58,01,OR,drought
1953,1.58,1.60,01,OR,drought
1954,2.95,2.97,01,OR,drought
1955,-2.03,-2.01,01,OR,drought
1956,3.92,3.94,01,OR,drought
1957,.7,0.72,01,OR,drought
1958,1.52,1.54,01,OR,drought
1959,-.72,-0.70,01,OR,drought
1960,-2.39,-2.37,01,OR,drought
1961,-1.4,-1.38,01,OR,drought
1962,-.97,-0.95,01,OR,drought
1963,-1.48,-1.46,01,OR,drought
1964,1.75,1.77,01,OR,drought
1965,3.56,3.58,01,OR,drought
1966,-.83,-0.81,01,OR,drought
1967,-.8,-0.78,01,OR,drought
1968,-2.49,-2.47,01,OR,drought
1969,3.09,3.11,01,OR,drought
1970,2.28,2.30,01,OR,drought
1971,1.87,1.89,01,OR,drought
1972,3.03,3.05,01,OR,drought
1973,-1.7,-1.68,01,OR,drought
1974,3.49,3.51,01,OR,drought
1975,.34,0.36,01,OR,drought
1976,1.22,1.24,01,OR,drought
1977,-4.68,-4.66,01,OR,drought
1978,-.12,-0.10,01,OR,drought
1979,-2.28,-2.26,01,OR,drought
1980,.54,0.56,01,OR,drought
1981,-1.34,-1.32,01,OR,drought
1982,3.31,3.33,01,OR,drought
1983,2.93,2.95,01,OR,drought
1984,3.12,3.14,01,OR,drought
1985,-1.91,-1.89,01,OR,drought
1986,-.9,-0.88,01,OR,drought
1987,-1.12,-1.10,01,OR,drought
1988,-2.71,-2.69,01,OR,drought
1989,-.54,-0.52,01,OR,drought
1990,-1.79,-1.77,01,OR,drought
1991,-2.36,-2.34,01,OR,drought
1992,-2.15,-2.13,01,OR,drought
1993,-2.28,-2.26,01,OR,drought
1994,-2.72,-2.70,01,OR,drought
1995,1.35,1.37,01,OR,drought
1996,3.41,3.43,01,OR,drought
1997,5.03,5.05,01,OR,drought
1998,2.06,2.08,01,OR,drought
1999,2.65,2.67,01,OR,drought
2000,-1.22,-1.20,01,OR,drought
2001,-3.46,-3.44,01,OR,drought
2002,-1.61,-1.59,01,OR,drought
2003,-3.24,-3.22,01,OR,drought
2004,-2.1,-2.08,01,OR,drought
2005,-2.53,-2.51,01,OR,drought
2006,2.88,2.90,01,OR,drought
2007,-.75,-0.73,01,OR,drought
2008,-.56,-0.54,01,OR,drought
2009,-2.65,-2.63,01,OR,drought
2010,-1.61,-1.59,01,OR,drought
2011,2.04,2.06,01,OR,drought
2012,.34,0.36,01,OR,drought
2013,-.76,-0.74,01,OR,drought
2014,-3.12,-3.10,01,OR,drought
2015,-1.9,-1.88,01,OR,drought
1895,-.88,-0.90,02,OR,drought
1896,-.44,-0.46,02,OR,drought
1897,2.4,2.38,02,OR,drought
1898,-.77,-0.79,02,OR,drought
1899,.31,0.29,02,OR,drought
1900,-.56,-0.58,02,OR,drought
1901,1.75,1.73,02,OR,drought
1902,1.7,1.68,02,OR,drought
1903,-.9,-0.92,02,OR,drought
1904,2.43,2.41,02,OR,drought
1905,-2.23,-2.25,02,OR,drought
1906,.57,0.55,02,OR,drought
1907,1.85,1.83,02,OR,drought
1908,-1.06,-1.08,02,OR,drought
1909,2.16,2.14,02,OR,drought
1910,.55,0.53,02,OR,drought
1911,-.64,-0.66,02,OR,drought
1912,.92,0.90,02,OR,drought
1913,1.23,1.21,02,OR,drought
1914,-.34,-0.36,02,OR,drought
1915,-1.64,-1.66,02,OR,drought
1916,1.79,1.77,02,OR,drought
1917,.12,0.10,02,OR,drought
1918,.82,0.80,02,OR,drought
1919,1.48,1.46,02,OR,drought
1920,-2.93,-2.95,02,OR,drought
1921,3.11,3.09,02,OR,drought
1922,.18,0.16,02,OR,drought
1923,-.84,-0.86,02,OR,drought
1924,-1.91,-1.93,02,OR,drought
1925,1.35,1.33,02,OR,drought
1926,-1.18,-1.20,02,OR,drought
1927,2.01,1.99,02,OR,drought
1928,-1.56,-1.58,02,OR,drought
1929,-3.76,-3.78,02,OR,drought
1930,-3.35,-3.37,02,OR,drought
1931,-4.51,-4.53,02,OR,drought
1932,-.63,-0.65,02,OR,drought
1933,-1.02,-1.04,02,OR,drought
1934,-2.22,-2.24,02,OR,drought
1935,-2.24,-2.26,02,OR,drought
1936,-1.32,-1.34,02,OR,drought
1937,.59,0.57,02,OR,drought
1938,2.72,2.70,02,OR,drought
1939,-2.08,-2.10,02,OR,drought
1940,-2,-2.02,02,OR,drought
1941,-1.79,-1.81,02,OR,drought
1942,2.43,2.41,02,OR,drought
1943,2.37,2.35,02,OR,drought
1944,-2.16,-2.18,02,OR,drought
1945,.49,0.47,02,OR,drought
1946,1.2,1.18,02,OR,drought
1947,-1.66,-1.68,02,OR,drought
1948,2.16,2.14,02,OR,drought
1949,-.03,-0.05,02,OR,drought
1950,1.09,1.07,02,OR,drought
1951,2.82,2.80,02,OR,drought
1952,1.6,1.58,02,OR,drought
1953,1.61,1.59,02,OR,drought
1954,-.5,-0.52,02,OR,drought
1955,-2.41,-2.43,02,OR,drought
1956,3.99,3.97,02,OR,drought
1957,.88,0.86,02,OR,drought
1958,2.21,2.19,02,OR,drought
1959,-.68,-0.70,02,OR,drought
1960,.54,0.52,02,OR,drought
1961,1.23,1.21,02,OR,drought
1962,-.98,-1.00,02,OR,drought
1963,-1.37,-1.39,02,OR,drought
1964,-1.06,-1.08,02,OR,drought
1965,-1.01,-1.03,02,OR,drought
1966,-1.37,-1.39,02,OR,drought
1967,-1.73,-1.75,02,OR,drought
1968,-2.13,-2.15,02,OR,drought
1969,-.35,-0.37,02,OR,drought
1970,-.63,-0.65,02,OR,drought
1971,1.31,1.29,02,OR,drought
1972,2.78,2.76,02,OR,drought
1973,-2.55,-2.57,02,OR,drought
1974,3.31,3.29,02,OR,drought
1975,.9,0.88,02,OR,drought
1976,1.34,1.32,02,OR,drought
1977,-4.84,-4.86,02,OR,drought
1978,-.36,-0.38,02,OR,drought
1979,.86,0.84,02,OR,drought
1980,.28,0.26,02,OR,drought
1981,-1.29,-1.31,02,OR,drought
1982,3.53,3.51,02,OR,drought
1983,3.68,3.66,02,OR,drought
1984,3.16,3.14,02,OR,drought
1985,-1.95,-1.97,02,OR,drought
1986,1.65,1.63,02,OR,drought
1987,-1.24,-1.26,02,OR,drought
1988,-3.58,-3.60,02,OR,drought
1989,-1.01,-1.03,02,OR,drought
1990,-1.53,-1.55,02,OR,drought
1991,-2.91,-2.93,02,OR,drought
1992,-2.61,-2.63,02,OR,drought
1993,-2.56,-2.58,02,OR,drought
1994,-2.44,-2.46,02,OR,drought
1995,.51,0.49,02,OR,drought
1996,4.15,4.13,02,OR,drought
1997,3.87,3.85,02,OR,drought
1998,2.27,2.25,02,OR,drought
1999,4.08,4.06,02,OR,drought
2000,-.79,-0.81,02,OR,drought
2001,-3.95,-3.97,02,OR,drought
2002,-2.07,-2.09,02,OR,drought
2003,-3.5,-3.52,02,OR,drought
2004,-1.83,-1.85,02,OR,drought
2005,-3.48,-3.50,02,OR,drought
2006,-.54,-0.56,02,OR,drought
2007,-.38,-0.40,02,OR,drought
2008,-1.09,-1.11,02,OR,drought
2009,-2.94,-2.96,02,OR,drought
2010,-2.03,-2.05,02,OR,drought
2011,1.71,1.69,02,OR,drought
2012,-.35,-0.37,02,OR,drought
2013,-1.6,-1.62,02,OR,drought
2014,-1.92,-1.94,02,OR,drought
2015,-2.02,-2.04,02,OR,drought
1895,-.87,-0.79,03,OR,drought
1896,-.53,-0.45,03,OR,drought
1897,3.11,3.19,03,OR,drought
1898,-1.43,-1.35,03,OR,drought
1899,.74,0.82,03,OR,drought
1900,-1.14,-1.06,03,OR,drought
1901,-.27,-0.19,03,OR,drought
1902,1.68,1.76,03,OR,drought
1903,-.69,-0.61,03,OR,drought
1904,4.54,4.62,03,OR,drought
1905,-1.77,-1.69,03,OR,drought
1906,.75,0.83,03,OR,drought
1907,2.34,2.42,03,OR,drought
1908,-1.12,-1.04,03,OR,drought
1909,-.72,-0.64,03,OR,drought
1910,-.9,-0.82,03,OR,drought
1911,-1.86,-1.78,03,OR,drought
1912,.52,0.60,03,OR,drought
1913,1.08,1.16,03,OR,drought
1914,-1.27,-1.19,03,OR,drought
1915,-2.23,-2.15,03,OR,drought
1916,2.51,2.59,03,OR,drought
1917,.51,0.59,03,OR,drought
1918,-.42,-0.34,03,OR,drought
1919,1.45,1.53,03,OR,drought
1920,.14,0.22,03,OR,drought
1921,-.4,-0.32,03,OR,drought
1922,.85,0.93,03,OR,drought
1923,-1.58,-1.50,03,OR,drought
1924,-2.46,-2.38,03,OR,drought
1925,.26,0.34,03,OR,drought
1926,-2.56,-2.48,03,OR,drought
1927,1.57,1.65,03,OR,drought
1928,.93,1.01,03,OR,drought
1929,-3.97,-3.89,03,OR,drought
1930,-4,-3.92,03,OR,drought
1931,-3.55,-3.47,03,OR,drought
1932,.66,0.74,03,OR,drought
1933,-.89,-0.81,03,OR,drought
1934,-2.77,-2.69,03,OR,drought
1935,-1.99,-1.91,03,OR,drought
1936,-1.84,-1.76,03,OR,drought
1937,.4,0.48,03,OR,drought
1938,3.91,3.99,03,OR,drought
1939,-2.33,-2.25,03,OR,drought
1940,-1.49,-1.41,03,OR,drought
1941,-2.92,-2.84,03,OR,drought
1942,1.26,1.34,03,OR,drought
1943,2.17,2.25,03,OR,drought
1944,-2.6,-2.52,03,OR,drought
1945,.96,1.04,03,OR,drought
1946,1.2,1.28,03,OR,drought
1947,-1.65,-1.57,03,OR,drought
1948,2.1,2.18,03,OR,drought
1949,-.4,-0.32,03,OR,drought
1950,1.63,1.71,03,OR,drought
1951,2.67,2.75,03,OR,drought
1952,1.51,1.59,03,OR,drought
1953,1.45,1.53,03,OR,drought
1954,-.76,-0.68,03,OR,drought
1955,.17,0.25,03,OR,drought
1956,3.42,3.50,03,OR,drought
1957,2.06,2.14,03,OR,drought
1958,1.67,1.75,03,OR,drought
1959,-.83,-0.75,03,OR,drought
1960,1.29,1.37,03,OR,drought
1961,2.04,2.12,03,OR,drought
1962,-.56,-0.48,03,OR,drought
1963,-1.3,-1.22,03,OR,drought
1964,-.93,-0.85,03,OR,drought
1965,-2.22,-2.14,03,OR,drought
1966,-1.03,-0.95,03,OR,drought
1967,-1.4,-1.32,03,OR,drought
1968,-2.65,-2.57,03,OR,drought
1969,-1.18,-1.10,03,OR,drought
1970,-1.03,-0.95,03,OR,drought
1971,2.12,2.20,03,OR,drought
1972,2.98,3.06,03,OR,drought
1973,-2.66,-2.58,03,OR,drought
