year,value,anomaly,month,state,type
1895,.09,-0.24,01,IA,drought
1896,-1.45,-1.78,01,IA,drought
1897,3.11,2.78,01,IA,drought
1898,-3.46,-3.79,01,IA,drought
1899,-.62,-0.95,01,IA,drought
1900,-2.3,-2.63,01,IA,drought
1901,1.8,1.47,01,IA,drought
1902,-3.76,-4.09,01,IA,drought
1903,4.37,4.04,01,IA,drought
1904,3.41,3.08,01,IA,drought
1905,-1.11,-1.44,01,IA,drought
1906,2.16,1.83,01,IA,drought
1907,.94,0.61,01,IA,drought
1908,1.44,1.11,01,IA,drought
1909,1.98,1.65,01,IA,drought
1910,3.93,3.60,01,IA,drought
1911,-5.17,-5.50,01,IA,drought
1912,1.05,0.72,01,IA,drought
1913,-.59,-0.92,01,IA,drought
1914,-2.65,-2.98,01,IA,drought
1915,1.58,1.25,01,IA,drought
1916,4.04,3.71,01,IA,drought
1917,-1.89,-2.22,01,IA,drought
1918,-2.49,-2.82,01,IA,drought
1919,.39,0.06,01,IA,drought
1920,1.64,1.31,01,IA,drought
1921,-.68,-1.01,01,IA,drought
1922,.05,-0.28,01,IA,drought
1923,-1.47,-1.80,01,IA,drought
1924,-.5,-0.83,01,IA,drought
1925,-.6,-0.93,01,IA,drought
1926,1.08,0.75,01,IA,drought
1927,1.9,1.57,01,IA,drought
1928,-1.9,-2.23,01,IA,drought
1929,3.77,3.44,01,IA,drought
1930,-.78,-1.11,01,IA,drought
1931,-3.1,-3.43,01,IA,drought
1932,3.33,3.00,01,IA,drought
1933,1.71,1.38,01,IA,drought
1934,-4.13,-4.46,01,IA,drought
1935,-.31,-0.64,01,IA,drought
1936,1.05,0.72,01,IA,drought
1937,-2.7,-3.03,01,IA,drought
1938,-3.3,-3.63,01,IA,drought
1939,1.01,0.68,01,IA,drought
1940,-4.19,-4.52,01,IA,drought
1941,-1.13,-1.46,01,IA,drought
1942,2.81,2.48,01,IA,drought
1943,1.93,1.60,01,IA,drought
1944,1.2,0.87,01,IA,drought
1945,1.61,1.28,01,IA,drought
1946,1.81,1.48,01,IA,drought
1947,1.99,1.66,01,IA,drought
1948,-2.66,-2.99,01,IA,drought
1949,1.21,0.88,01,IA,drought
1950,.05,-0.28,01,IA,drought
1951,-1.9,-2.23,01,IA,drought
1952,4,3.67,01,IA,drought
1953,-1.15,-1.48,01,IA,drought
1954,-4.21,-4.54,01,IA,drought
1955,-.4,-0.73,01,IA,drought
1956,-5.13,-5.46,01,IA,drought
1957,-6.39,-6.72,01,IA,drought
1958,0,-0.33,01,IA,drought
1959,-1.51,-1.84,01,IA,drought
1960,2.89,2.56,01,IA,drought
1961,.84,0.51,01,IA,drought
1962,3.16,2.83,01,IA,drought
1963,-.69,-1.02,01,IA,drought
1964,-3.34,-3.67,01,IA,drought
1965,.4,0.07,01,IA,drought
1966,2.96,2.63,01,IA,drought
1967,-2.3,-2.63,01,IA,drought
1968,-.93,-1.26,01,IA,drought
1969,2.6,2.27,01,IA,drought
1970,-.28,-0.61,01,IA,drought
1971,2.04,1.71,01,IA,drought
1972,.68,0.35,01,IA,drought
1973,3.88,3.55,01,IA,drought
1974,4.46,4.13,01,IA,drought
1975,1.72,1.39,01,IA,drought
1976,-2.15,-2.48,01,IA,drought
1977,-4.82,-5.15,01,IA,drought
1978,2.43,2.10,01,IA,drought
1979,2.92,2.59,01,IA,drought
1980,2.66,2.33,01,IA,drought
1981,-.83,-1.16,01,IA,drought
1982,2.33,2.00,01,IA,drought
1983,4.81,4.48,01,IA,drought
1984,2.64,2.31,01,IA,drought
1985,2.6,2.27,01,IA,drought
1986,1.14,0.81,01,IA,drought
1987,-.23,-0.56,01,IA,drought
1988,.03,-0.30,01,IA,drought
1989,-4.54,-4.87,01,IA,drought
1990,-4.28,-4.61,01,IA,drought
1991,1.78,1.45,01,IA,drought
1992,2.03,1.70,01,IA,drought
1993,3.88,3.55,01,IA,drought
1994,5.99,5.66,01,IA,drought
1995,1.82,1.49,01,IA,drought
1996,-.87,-1.20,01,IA,drought
1997,1.76,1.43,01,IA,drought
1998,.08,-0.25,01,IA,drought
1999,2.03,1.70,01,IA,drought
2000,-2.18,-2.51,01,IA,drought
2001,.57,0.24,01,IA,drought
2002,-1.25,-1.58,01,IA,drought
2003,-1.17,-1.50,01,IA,drought
2004,.37,0.04,01,IA,drought
2005,1.32,0.99,01,IA,drought
2006,-1.66,-1.99,01,IA,drought
2007,.94,0.61,01,IA,drought
2008,3.42,3.09,01,IA,drought
2009,4.55,4.22,01,IA,drought
2010,5.26,4.93,01,IA,drought
2011,4.64,4.31,01,IA,drought
2012,-1.71,-2.04,01,IA,drought
2013,-4.23,-4.56,01,IA,drought
2014,-2.9,-3.23,01,IA,drought
2015,2.75,2.42,01,IA,drought
1895,-.13,-0.46,02,IA,drought
1896,-1.49,-1.82,02,IA,drought
1897,2.89,2.56,02,IA,drought
1898,-3.28,-3.61,02,IA,drought
1899,-.54,-0.87,02,IA,drought
1900,-2.08,-2.41,02,IA,drought
1901,1.8,1.47,02,IA,drought
1902,-3.86,-4.19,02,IA,drought
1903,4.16,3.83,02,IA,drought
1904,2.93,2.60,02,IA,drought
1905,.36,0.03,02,IA,drought
1906,2.28,1.95,02,IA,drought
1907,.85,0.52,02,IA,drought
1908,1.86,1.53,02,IA,drought
1909,2.29,1.96,02,IA,drought
1910,-.17,-0.50,02,IA,drought
1911,-4.08,-4.41,02,IA,drought
1912,1.21,0.88,02,IA,drought
1913,.06,-0.27,02,IA,drought
1914,-2.67,-3.00,02,IA,drought
1915,2.73,2.40,02,IA,drought
1916,-.09,-0.42,02,IA,drought
1917,-2.14,-2.47,02,IA,drought
1918,-2.47,-2.80,02,IA,drought
1919,1.35,1.02,02,IA,drought
1920,1.35,1.02,02,IA,drought
1921,-.61,-0.94,02,IA,drought
1922,.57,0.24,02,IA,drought
1923,-1.67,-2.00,02,IA,drought
1924,.3,-0.03,02,IA,drought
1925,-.5,-0.83,02,IA,drought
1926,0,-0.33,02,IA,drought
1927,1.95,1.62,02,IA,drought
1928,-1.18,-1.51,02,IA,drought
1929,3.75,3.42,02,IA,drought
1930,-.8,-1.13,02,IA,drought
1931,-3.58,-3.91,02,IA,drought
1932,3.04,2.71,02,IA,drought
1933,1.29,0.96,02,IA,drought
1934,-4.48,-4.81,02,IA,drought
1935,-.12,-0.45,02,IA,drought
1936,1.31,0.98,02,IA,drought
1937,-2.35,-2.68,02,IA,drought
1938,-3.22,-3.55,02,IA,drought
1939,1.55,1.22,02,IA,drought
1940,-4.18,-4.51,02,IA,drought
1941,-1.16,-1.49,02,IA,drought
1942,2.74,2.41,02,IA,drought
1943,1.76,1.43,02,IA,drought
1944,1.3,0.97,02,IA,drought
1945,1.88,1.55,02,IA,drought
1946,1.41,1.08,02,IA,drought
1947,1.53,1.20,02,IA,drought
1948,-2.01,-2.34,02,IA,drought
1949,1.19,0.86,02,IA,drought
1950,.25,-0.08,02,IA,drought
1951,.8,0.47,02,IA,drought
1952,3.55,3.22,02,IA,drought
1953,.55,0.22,02,IA,drought
1954,-4.07,-4.40,02,IA,drought
1955,-.01,-0.34,02,IA,drought
1956,-5.51,-5.84,02,IA,drought
1957,-6.58,-6.91,02,IA,drought
1958,-.15,-0.48,02,IA,drought
