year,value,anomaly,month,state,type
1895,1.69,1.21,01,MT,drought
1896,1.08,0.60,01,MT,drought
1897,3.44,2.96,01,MT,drought
1898,3.57,3.09,01,MT,drought
1899,3.59,3.11,01,MT,drought
1900,2.57,2.09,01,MT,drought
1901,-1.45,-1.93,01,MT,drought
1902,0,-0.48,01,MT,drought
1903,1.59,1.11,01,MT,drought
1904,2.43,1.95,01,MT,drought
1905,-4.63,-5.11,01,MT,drought
1906,-3.8,-4.28,01,MT,drought
1907,4.19,3.71,01,MT,drought
1908,1.84,1.36,01,MT,drought
1909,2.97,2.49,01,MT,drought
1910,4.17,3.69,01,MT,drought
1911,-.17,-0.65,01,MT,drought
1912,3.68,3.20,01,MT,drought
1913,4.32,3.84,01,MT,drought
1914,1.99,1.51,01,MT,drought
1915,-1.1,-1.58,01,MT,drought
1916,4.84,4.36,01,MT,drought
1917,5.33,4.85,01,MT,drought
1918,2.07,1.59,01,MT,drought
1919,-1.54,-2.02,01,MT,drought
1920,1.6,1.12,01,MT,drought
1921,-1.69,-2.17,01,MT,drought
1922,.86,0.38,01,MT,drought
1923,-.05,-0.53,01,MT,drought
1924,2.6,2.12,01,MT,drought
1925,1.48,1.00,01,MT,drought
1926,1.88,1.40,01,MT,drought
1927,1.32,0.84,01,MT,drought
1928,6.8,6.32,01,MT,drought
1929,-.78,-1.26,01,MT,drought
1930,-.17,-0.65,01,MT,drought
1931,-1.95,-2.43,01,MT,drought
1932,-5.26,-5.74,01,MT,drought
1933,.99,0.51,01,MT,drought
1934,1.08,0.60,01,MT,drought
1935,-4.01,-4.49,01,MT,drought
1936,-4.79,-5.27,01,MT,drought
1937,-6.43,-6.91,01,MT,drought
1938,-5.29,-5.77,01,MT,drought
1939,-.55,-1.03,01,MT,drought
1940,-2.86,-3.34,01,MT,drought
1941,-3.12,-3.60,01,MT,drought
1942,2.35,1.87,01,MT,drought
1943,3.84,3.36,01,MT,drought
1944,-2.28,-2.76,01,MT,drought
1945,-1.53,-2.01,01,MT,drought
1946,-.19,-0.67,01,MT,drought
1947,4.28,3.80,01,MT,drought
1948,2.53,2.05,01,MT,drought
1949,2.58,2.10,01,MT,drought
1950,.34,-0.14,01,MT,drought
1951,2.15,1.67,01,MT,drought
1952,4.37,3.89,01,MT,drought
1953,.22,-0.26,01,MT,drought
1954,.5,0.02,01,MT,drought
1955,-2.54,-3.02,01,MT,drought
1956,1.87,1.39,01,MT,drought
1957,-1.23,-1.71,01,MT,drought
1958,-.64,-1.12,01,MT,drought
1959,1.88,1.40,01,MT,drought
1960,-.43,-0.91,01,MT,drought
1961,-3.52,-4.00,01,MT,drought
1962,-.21,-0.69,01,MT,drought
1963,1.67,1.19,01,MT,drought
1964,-1.38,-1.86,01,MT,drought
1965,3.53,3.05,01,MT,drought
1966,.37,-0.11,01,MT,drought
1967,.51,0.03,01,MT,drought
1968,1.66,1.18,01,MT,drought
1969,4.47,3.99,01,MT,drought
1970,1.36,0.88,01,MT,drought
1971,2.51,2.03,01,MT,drought
1972,2.17,1.69,01,MT,drought
1973,-.62,-1.10,01,MT,drought
1974,1.43,0.95,01,MT,drought
1975,.27,-0.21,01,MT,drought
1976,5.54,5.06,01,MT,drought
1977,-1.83,-2.31,01,MT,drought
1978,1.84,1.36,01,MT,drought
1979,3.56,3.08,01,MT,drought
1980,-3.39,-3.87,01,MT,drought
1981,-2.34,-2.82,01,MT,drought
1982,.46,-0.02,01,MT,drought
1983,2.44,1.96,01,MT,drought
1984,-.24,-0.72,01,MT,drought
1985,-.7,-1.18,01,MT,drought
1986,1.73,1.25,01,MT,drought
1987,-.49,-0.97,01,MT,drought
1988,-2.85,-3.33,01,MT,drought
1989,-5.33,-5.81,01,MT,drought
1990,1.6,1.12,01,MT,drought
1991,-1.26,-1.74,01,MT,drought
1992,-.81,-1.29,01,MT,drought
1993,-1.98,-2.46,01,MT,drought
1994,4.6,4.12,01,MT,drought
1995,.38,-0.10,01,MT,drought
1996,4.54,4.06,01,MT,drought
1997,3.3,2.82,01,MT,drought
1998,-.83,-1.31,01,MT,drought
1999,1.1,0.62,01,MT,drought
2000,-1.44,-1.92,01,MT,drought
2001,-4.16,-4.64,01,MT,drought
2002,-6.08,-6.56,01,MT,drought
2003,-3.93,-4.41,01,MT,drought
2004,-3.32,-3.80,01,MT,drought
2005,-3.85,-4.33,01,MT,drought
2006,.89,0.41,01,MT,drought
2007,-.71,-1.19,01,MT,drought
2008,-1.99,-2.47,01,MT,drought
2009,.86,0.38,01,MT,drought
2010,-.74,-1.22,01,MT,drought
2011,3.69,3.21,01,MT,drought
2012,-1.1,-1.58,01,MT,drought
2013,-2.43,-2.91,01,MT,drought
2014,1.02,0.54,01,MT,drought
2015,.65,0.17,01,MT,drought
1895,2.3,1.81,02,MT,drought
1896,1.28,0.79,02,MT,drought
1897,4.17,3.68,02,MT,drought
1898,3.77,3.28,02,MT,drought
1899,4.1,3.61,02,MT,drought
1900,2.49,2.00,02,MT,drought
1901,-1.51,-2.00,02,MT,drought
1902,.21,-0.28,02,MT,drought
1903,1.35,0.86,02,MT,drought
1904,3.46,2.97,02,MT,drought
1905,-5.17,-5.66,02,MT,drought
1906,-3.87,-4.36,02,MT,drought
1907,4.7,4.21,02,MT,drought
1908,1.48,0.99,02,MT,drought
1909,2.84,2.35,02,MT,drought
1910,4.9,4.41,02,MT,drought
1911,-.03,-0.52,02,MT,drought
1912,3.61,3.12,02,MT,drought
1913,4.09,3.60,02,MT,drought
1914,2,1.51,02,MT,drought
1915,-1.4,-1.89,02,MT,drought
1916,5.32,4.83,02,MT,drought
1917,5.83,5.34,02,MT,drought
1918,2.18,1.69,02,MT,drought
1919,-1.47,-1.96,02,MT,drought
1920,1.58,1.09,02,MT,drought
1921,-2.32,-2.81,02,MT,drought
1922,.91,0.42,02,MT,drought
1923,-.15,-0.64,02,MT,drought
1924,2.65,2.16,02,MT,drought
1925,1.38,0.89,02,MT,drought
1926,1.99,1.50,02,MT,drought
1927,1.68,1.19,02,MT,drought
1928,6.34,5.85,02,MT,drought
1929,-.74,-1.23,02,MT,drought
1930,-.27,-0.76,02,MT,drought
1931,-2.54,-3.03,02,MT,drought
1932,-5.31,-5.80,02,MT,drought
1933,1.09,0.60,02,MT,drought
1934,.71,0.22,02,MT,drought
1935,-4.73,-5.22,02,MT,drought
1936,-4.07,-4.56,02,MT,drought
1937,-6.35,-6.84,02,MT,drought
1938,-5.1,-5.59,02,MT,drought
1939,-.59,-1.08,02,MT,drought
1940,-2.49,-2.98,02,MT,drought
1941,-3.77,-4.26,02,MT,drought
1942,2.48,1.99,02,MT,drought
1943,3.97,3.48,02,MT,drought
1944,-2.75,-3.24,02,MT,drought
1945,-1.76,-2.25,02,MT,drought
1946,-.43,-0.92,02,MT,drought
1947,4.44,3.95,02,MT,drought
1948,2.64,2.15,02,MT,drought
1949,3,2.51,02,MT,drought
1950,.06,-0.43,02,MT,drought
1951,2.46,1.97,02,MT,drought
1952,4.69,4.20,02,MT,drought
1953,.25,-0.24,02,MT,drought
1954,.32,-0.17,02,MT,drought
1955,-2.81,-3.30,02,MT,drought
1956,2.01,1.52,02,MT,drought
1957,-1.18,-1.67,02,MT,drought
1958,.22,-0.27,02,MT,drought
1959,2.64,2.15,02,MT,drought
1960,.02,-0.47,02,MT,drought
1961,-3.53,-4.02,02,MT,drought
1962,-.17,-0.66,02,MT,drought
1963,1.81,1.32,02,MT,drought
1964,-1.76,-2.25,02,MT,drought
1965,3.73,3.24,02,MT,drought
1966,.45,-0.04,02,MT,drought
1967,.57,0.08,02,MT,drought
1968,1.53,1.04,02,MT,drought
1969,4.24,3.75,02,MT,drought
1970,1.21,0.72,02,MT,drought
1971,2.69,2.20,02,MT,drought
1972,2.94,2.45,02,MT,drought
1973,-1.17,-1.66,02,MT,drought
1974,1.48,0.99,02,MT,drought
1975,.37,-0.12,02,MT,drought
1976,5.67,5.18,02,MT,drought
1977,-2.55,-3.04,02,MT,drought
1978,2.21,1.72,02,MT,drought
1979,3.99,3.50,02,MT,drought
1980,-3.52,-4.01,02,MT,drought
1981,-2.4,-2.89,02,MT,drought
1982,.86,0.37,02,MT,drought
1983,2.07,1.58,02,MT,drought
1984,-.57,-1.06,02,MT,drought
1985,-1.12,-1.61,02,MT,drought
1986,2.47,1.98,02,MT,drought
1987,-.62,-1.11,02,MT,drought
1988,-3.19,-3.68,02,MT,drought
1989,-5.24,-5.73,02,MT,drought
1990,1.5,1.01,02,MT,drought
1991,-1.79,-2.28,02,MT,drought
1992,-1.44,-1.93,02,MT,drought
1993,-2.19,-2.68,02,MT,drought
1994,4.75,4.26,02,MT,drought
1995,.05,-0.44,02,MT,drought
1996,4.95,4.46,02,MT,drought
1997,3.31,2.82,02,MT,drought
1998,-1.25,-1.74,02,MT,drought
1999,1.49,1.00,02,MT,drought
2000,-1.46,-1.95,02,MT,drought
2001,-4.62,-5.11,02,MT,drought
2002,-6.28,-6.77,02,MT,drought
2003,-3.85,-4.34,02,MT,drought
2004,-3.59,-4.08,02,MT,drought
2005,-4.63,-5.12,02,MT,drought
2006,.83,0.34,02,MT,drought
2007,-.53,-1.02,02,MT,drought
2008,-2.13,-2.62,02,MT,drought
2009,.59,0.10,02,MT,drought
2010,-1.15,-1.64,02,MT,drought
2011,4.19,3.70,02,MT,drought
2012,-1.28,-1.77,02,MT,drought
2013,-2.72,-3.21,02,MT,drought
2014,1.39,0.90,02,MT,drought
2015,.61,0.12,02,MT,drought
1895,2.44,2.03,03,MT,drought
1896,1.95,1.54,03,MT,drought
1897,4.74,4.33,03,MT,drought
1898,5.28,4.87,03,MT,drought
1899,4.49,4.08,03,MT,drought
1900,2.62,2.21,03,MT,drought
1901,-1.61,-2.02,03,MT,drought
1902,.65,0.24,03,MT,drought
1903,1.51,1.10,03,MT,drought
1904,4.77,4.36,03,MT,drought
1905,-6.11,-6.52,03,MT,drought
1906,-3.88,-4.29,03,MT,drought
1907,5.13,4.72,03,MT,drought
1908,1.77,1.36,03,MT,drought
1909,3.05,2.64,03,MT,drought
1910,-.51,-0.92,03,MT,drought
1911,-.79,-1.20,03,MT,drought
1912,3.7,3.29,03,MT,drought
1913,4.5,4.09,03,MT,drought
1914,1.75,1.34,03,MT,drought
1915,-1.74,-2.15,03,MT,drought
1916,5.49,5.08,03,MT,drought
1917,5.77,5.36,03,MT,drought
1918,2.07,1.66,03,MT,drought
1919,-1.95,-2.36,03,MT,drought
1920,1.95,1.54,03,MT,drought
1921,-2.35,-2.76,03,MT,drought
1922,.85,0.44,03,MT,drought
1923,-.35,-0.76,03,MT,drought
1924,3.34,2.93,03,MT,drought
