year,value,anomaly,month,state,type
1895,.37,0.41,01,AR,drought
1896,-.44,-0.40,01,AR,drought
1897,-2.46,-2.42,01,AR,drought
1898,1.27,1.31,01,AR,drought
1899,.62,0.66,01,AR,drought
1900,-2.6,-2.56,01,AR,drought
1901,-.93,-0.89,01,AR,drought
1902,-2.82,-2.78,01,AR,drought
1903,1.43,1.47,01,AR,drought
1904,-1.63,-1.59,01,AR,drought
1905,.27,0.31,01,AR,drought
1906,3.55,3.59,01,AR,drought
1907,4.2,4.24,01,AR,drought
1908,-1,-0.96,01,AR,drought
1909,-1.65,-1.61,01,AR,drought
1910,-1.95,-1.91,01,AR,drought
1911,-1.82,-1.78,01,AR,drought
1912,.56,0.60,01,AR,drought
1913,1.05,1.09,01,AR,drought
1914,-1.27,-1.23,01,AR,drought
1915,.51,0.55,01,AR,drought
1916,3.36,3.40,01,AR,drought
1917,-2.2,-2.16,01,AR,drought
1918,-1.6,-1.56,01,AR,drought
1919,-.24,-0.20,01,AR,drought
1920,2.34,2.38,01,AR,drought
1921,.9,0.94,01,AR,drought
1922,-1.39,-1.35,01,AR,drought
1923,.38,0.42,01,AR,drought
1924,-.09,-0.05,01,AR,drought
1925,-2.76,-2.72,01,AR,drought
1926,-1.76,-1.72,01,AR,drought
1927,1.64,1.68,01,AR,drought
1928,-.78,-0.74,01,AR,drought
1929,.51,0.55,01,AR,drought
1930,1.55,1.59,01,AR,drought
1931,-2.84,-2.80,01,AR,drought
1932,2.85,2.89,01,AR,drought
1933,-.19,-0.15,01,AR,drought
1934,-1.09,-1.05,01,AR,drought
1935,.84,0.88,01,AR,drought
1936,-1.61,-1.57,01,AR,drought
1937,2.52,2.56,01,AR,drought
1938,1.69,1.73,01,AR,drought
1939,.64,0.68,01,AR,drought
1940,-3.04,-3.00,01,AR,drought
1941,-.41,-0.37,01,AR,drought
1942,-.58,-0.54,01,AR,drought
1943,-1.3,-1.26,01,AR,drought
1944,-3.96,-3.92,01,AR,drought
1945,.6,0.64,01,AR,drought
1946,4.49,4.53,01,AR,drought
