Contiguous U.S., Cooling Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1,-6
189602,4,-3
189702,9,2
189802,5,-2
189902,5,-2
190002,5,-2
190102,3,-4
190202,2,-5
190302,8,1
190402,9,2
190502,5,-2
190602,5,-2
190702,6,-1
190802,4,-3
190902,7,0
191002,4,-3
191102,10,3
191202,2,-5
191302,7,0
191402,5,-2
191502,5,-2
191602,5,-2
191702,5,-2
191802,10,3
191902,5,-2
192002,4,-3
192102,7,0
192202,10,3
192302,6,-1
192402,3,-4
192502,9,2
192602,6,-1
192702,16,9
192802,7,0
192902,7,0
193002,11,4
193102,5,-2
193202,17,10
193302,9,2
193402,4,-3
193502,5,-2
193602,4,-3
193702,6,-1
193802,10,3
193902,11,4
194002,3,-4
194102,3,-4
194202,2,-5
194302,5,-2
194402,12,5
194502,9,2
194602,7,0
194702,2,-5
194802,9,2
194902,14,7
195002,11,4
195102,5,-2
195202,7,0
195302,8,1
195402,10,3
195502,6,-1
195602,11,4
195702,16,9
195802,1,-6
195902,12,5
196002,4,-3
196102,8,1
196202,14,7
196302,4,-3
196402,3,-4
196502,7,0
196602,5,-2
196702,5,-2
196802,2,-5
196902,3,-4
197002,3,-4
197102,7,0
197202,6,-1
197302,3,-4
197402,6,-1
197502,11,4
197602,10,3
197702,4,-3
197802,1,-6
197902,4,-3
198002,3,-4
198102,6,-1
198202,11,4
198302,5,-2
198402,6,-1
198502,6,-1
198602,11,4
198702,7,0
198802,5,-2
198902,7,0
199002,15,8
199102,10,3
199202,10,3
199302,6,-1
199402,10,3
199502,8,1
199602,6,-1
199702,11,4
199802,7,0
199902,12,5
200002,11,4
200102,13,6
200202,6,-1
200302,8,1
200402,6,-1
200502,8,1
200602,6,-1
200702,6,-1
200802,12,5
200902,8,1
201002,2,-5
201102,8,1
201202,12,5
201302,10,3
201402,11,4
201502,6,-1
201602,9,2
